技能ID	备注	TagID(对应skilltag.txt)
ID	Comment	TbTagID
1001101	安卡希雅技能	{1,4}
1001301	安卡希雅大招	{2,5}
1001401	安卡希雅连携技	{3,5}
1002201	星期三技能	{1,4}
1002301	星期三大招	{2,4}
1002401	星期三连携技	{3,5}
1102101	狂猎技能	{1,4}
1102301	狂猎大招	{2,5}
1102401	狂猎连携技	{3,5}
1003202	丽达2技能	{1,4}
1003301	丽达大招	{2,4}
1003401	丽达连携技	{3,8,11}
1004201	普罗米2技能	{1,11}
1004301	普罗米大招	{2,4}
1004401	普罗米连携技	{3,6,5}
1005101	茉莉安2技能	{1,6}
1005301	茉莉安大招	{2,4}
1005401	茉莉安连携技	{3,4}
1105101	雨燕2技能	{1,4}
1105301	雨燕大招	{2,11}
1105201	雨燕连携技	{3,11}
1006201	提尔2技能	{1,4}
1006301	提尔大招	{2,6}
1006401	提尔连携技	{3,4}
1007201	琴诺2技能	{1,11}
1007301	琴诺大招	{2,4}
1007401	琴诺连携技	{3,5}
1008201	芬妮2技能	{1,8,11}
1008301	芬妮大招	{2,4}
1008401	芬妮连携技	{3,5,11}
1010101	肴2技能	{1,6,16}
1010301	肴大招	{2,12}
1010401	肴连携技	{3,12}
1011101	恩雅技能	{1,11}
1011301	恩雅大招	{2,4}
1011401	恩雅连携技	{3,4}
1104101	缄默技能	{1,5,11}
1104301	缄默大招	{2,4}
1104401	缄默连携技	{3,9}
1101101	辉夜技能	{1,4}
1101301	辉夜大招	{2,4}
1101401	辉夜连携技	{3,7}
1108101	咎冠技能	{1,6}
1108301	咎冠大招	{2,11}
1108401	咎冠连携技	{3,6}
1110101	冬至技能	{1,6,11}
1110301	冬至大招	{2,6}
1110401	冬至连携技	{3,4}
1012101	猫技能	{1,14}
1012301	猫大招	{2,14}
1012401	猫连携技	{3,14}
1014201	辰星技能	{1,4}
1014301	辰星大招	{2,6}
1014401	辰星连携技	{3,12}
1013101	瑟瑞斯常规技	{1,14}
1013301	瑟瑞斯大招	{2,9}
1013401	瑟瑞斯支援技	{3,9}
1114101	云篆技能	{1,4}
1114301	云篆大招	{2,4}
1114401	云篆连携技	{3,4}
1106101	藏锋技能	{1,4}
1106301	藏锋大招	{2,4}
1106401	藏锋连携技	{3,14}
1112101	溯影技能	{1,4}
1112301	溯影大招	{2,14}
1112401	溯影连携技	{3,4,5}
1017101	苔丝技能	{1,4,14}
1017301	苔丝大招	{2,15}
1017401	苔丝连携技	{3,6}
1015101	凯茜娅技能	{1,4}
1015301	凯茜娅大招	{2,4}
1015401	凯茜娅连携技	{3,4}
1016101	伊切尔技能	{1,4,12}
1016301	伊切尔大招	{2,12}
1016401	伊切尔连携技	{3,12}
1107101	悖谬技能	{1,4}
1107301	悖谬大招	{2,4,14}
1107401	悖谬连携技	{3,4,5}
1111101	羽蜕技能	{1,4}
1111301	羽蜕大招	{2,14,12}
1111401	羽蜕连携技	{3,4,6}
1113101	瞬刻技能	{1,4}
1113301	瞬刻大招	{2,4}
1113401	瞬刻连携技	{3,13}
1202101	无限之视常规技	{1,4}
1202301	无限之视爆发技	{2,4}
1202401	无限之视支援技	{3,4}
1208101	辉耀常规技	{1,16}
1208301	辉耀爆发技	{2,4}
1208400	辉耀支援技	{3,16}
1018101	薇蒂雅常规技	{1,4}
1018301	薇蒂雅爆发技	{2,4}
1018401	薇蒂雅支援技	{3,4}
1115101	朝翼常规技	{1,4}
1115301	朝翼爆发技	{2,4,5}
1115401	朝翼支援技	{3,4}
1205101	幽潮常规技	{1,16,4}
1205301	幽潮爆发技	{2,4}
1205401	幽潮支援技	{3,6}
1204101	驰掣常规技	{1,4}
1204301	驰掣爆发技	{2,4}
1204401	驰掣支援技	{3,8,4}
1020108	卜卜常规技	{1,15}
1020301	卜卜爆发技	{2,6}
1020401	卜卜支援技	{3,4}
1214101	琼弦常规技	{1,4}
1214301	琼弦爆发技	{2,4}
1214401	琼弦支援技	{3,4}
1210101	夜天光常规技	{1,4,15}
1210301	夜天光爆发技	{2,6}
1210401	夜天光支援技	{3,15}
1211101	澜风常规技	{1,4}
1211301	澜风爆发技	{2,4}
1211401	澜风支援技	{3,14}
1021101	奈莉德常规技	{1,4}
1021301	奈莉德爆发技	{2,6,14}
1021401	奈莉德支援技	{3,4}
1103101	悸响常规技	{1,4}
1103301	悸响爆发技	{2,4}
1103401	悸响支援技	{3,14}
1118101	天鹅座常规技	{1,4}
1118301	天鹅座爆发技	{2,4,14}
1118401	天鹅座支援技	{3,7}
1215101	狂诗常规技	{1,4}
1215301	狂诗爆发技	{2,4}
1215401	狂诗支援技	{3,4}
1117102	绮幻常规技	{1,4,17}
1117301	绮幻爆发技	{2,6}
1117401	绮幻支援技	{3,6}
1022101	克罗瑞娜常规技	{1,4,12}
1022301	克罗瑞娜爆发技	{2,4,12}
1022401	克罗瑞娜支援技	{3,4,5}
1308101	澄意常规技	{1,4,8}
1308301	澄意爆发技	{2,4}
1308401	澄意支援技	{3,4}
1213101	悠游常规技	{1,4}
1213301	悠游爆发技	{2,6,13}
1213401	悠游支援技	{3,6}
1023101	米娅常规技	{1,4}
1023301	米娅爆发技	{2,6}
1023401	米娅支援技	{3,4,5}
1206101	霆光常规技	{1,4}
1206301	霆光爆发技	{2,4}
1206401	霆光支援技	{3,4}
1212101	莲驱常规技	{1,4}
1212301	莲驱爆发技	{2,6}
1212401	莲驱支援技	{3,4}
1120101	灵鉴常规技	{1,4}
1120301	灵鉴爆发技	{2,6}
1120401	灵鉴支援技	{3,4}
1201101	时之重奏常规技	{1,4}
1201301	时之重奏爆发技	{2,6}
1201401	时之重奏支援技	{3,4}
1305101	霄鹰常规技	{1,4}
1305301	霄鹰爆发技	{2,4}
1305401	霄鹰支援技	{3,4,6}
1024201	胧嫣常规技	{1,4}
1024301	胧嫣爆发技	{2,4}
1024401	胧嫣支援技	{3,4,5}
1304101	炬芯常规技	{1,4}
1304304	炬芯爆发技	{2,4}
1304401	炬芯支援技	{3,4}
