ID	备注	定义（11=后勤 12=角色 13=武器 14=武器配件）	Logo	头像图标200*200	头像图标130*130	道具图标200*200	道具图标130*130	皮肤切图800*800	皮肤切图400*400	皮肤切图1888*1784	皮肤切图372*144
ID	Comment	Define	Logo	P2	P3	P2	P3	P4	P11	P12	P13
1701011	安卡希雅（默认）	17	130020000	130020002	130020003			130020004	130020005		
1701012	安卡希雅-不灭榜首	17	130020000	130020008	130020007	110200091	110200090	130020010	130020009	130020012	130020011
1701013	安卡希雅-叶荫闲趣	17	130020000	130020014	130020013	110200345	110200344	130020016	130020015	130020018	130020017
1701021	安卡希雅-辉夜（默认）	17	130030000	130030002	130030003			130030004	130030005		
1701022	安卡希雅-辉夜-次元追忆	17	130030000	130030007	130030008	110200013	110200012	130030009	130030010	130030011	130030012
1701023	安卡希雅-辉夜-东流映荷	17	130030000	130030014	130030013	110200051	110200050	130030016	130030015	130030018	130030017
1701031	安卡希雅-时之重奏（默认）	17	130510000	130510002	130510004			130510007	130510006		
1701032	安卡希雅-时之重奏-缘音回响	17	130510000	130510013	130510012	110200381	110200380	130510015	130510014	130510017	130510016
1702011	里芙（默认）	17	130040000	130040003	130040002			130040004	130040005		
1702012	里芙-星宇巡游	17	130040000	130040007	130040008	110200001	110200000	130040009	130040010	130040011	130040012
1702013	里芙-归航一心	17	130040000	130040013	130040014	110200087	110200086	130040015	130040016	130040017	130040018
1702014	里芙-不灭银星	17	130040000	130040026	130040025	110200197	110200196	130040028	130040027	130040030	130040029
1702021	里芙-狂猎（默认）	17	130050000	130050002	130050003			130050004	130050005		
1702022	里芙-狂猎-宵宴绯盏	17	130050000	130050007	130050008	110200007	110200006	130050009	130050010	130050011	130050012
1702023	里芙-狂猎-霜舞盛典	17	130050000	130050013	130050014	110200039	110200038	130050015	130050016	130050017	130050018
1702024	里芙-狂猎-街头规则	17	130050000	130050019	130050020	110200055	110200054	130050021	130050022	130050023	130050024
1702031	里芙-无限之视（默认）	17	130300000	130300002	130300003			130300004	130300005		
1702032	里芙-无限之视-爱意凝晶	17	130300000	130300008	130300007	110200081	110200080	130300010	130300009	130300012	130300011
1702033	里芙-无限之视-引风飒意	17	130300000	130300017	130300016	110200231	110200230	130300019	130300018	130300021	130300020
1702041	里芙-换装3（默认）	17	130550000	130550002	130550003			130550005	130550004		
1702042	里芙-换装3-皮肤	17	130550000	130550010	130550009	110200421	110200420	130550012	130550011	130550014	130550013
1703011	妮塔（默认）	17	130060000	130060002	130060003			130060004	130060005		
1703021	妮塔-悸响（默认）	17	130410000	130410002	130410003			130410005	130410004		
1703022	妮塔-悸响-林间潋滟	17	130410000	130410010	130410009	110200199	110200198	130410012	130410011	130410014	130410013
1703023	妮塔-悸响-轻罗曼舞	17	130410000	130410019	130410018	110200307	110200306	130410021	130410020	130410023	130410022
1704011	芙提雅（默认）	17	130070000	130070002	130070003			130070004	130070005		
1704012	芙提雅-炽热御护	17	130070000	130070007	130070008	110200003	110200002	130070009	130070010	130070011	130070012
1704013	芙提雅-不灭耀心	17	130070000	130070013	130070014	110200074	110200075	130070015	130070016	130070017	130070018
1704014	芙提雅-青叶密裹	17	130070000	130070020	130070019	110200153	110200152	130070022	130070021	130070024	130070023
1704015	芙提雅-炽灼迸裂	17	130070000	130070026	130070025	110200285	110200284	130070028	130070027	130070030	130070029
1704021	芙提雅-缄默（默认）	17	130080000	130080002	130080003			130080004	130080005		
1704022	芙提雅-缄默-行疾脱兔	17	130080000	130220007	130220008	110200015	110200014	130080012	130080009	130080010	130080011
1704023	芙提雅-缄默-狂曲雅跃	17	130080000	130080013	130080014	110200045	110200044	130080018	130080015	130080016	130080017
1704031	芙提雅-驰掣（默认）	17	130350000	130350002	130350003			130350004	130350005		
1704032	芙提雅-驰掣-毛绒派对	17	130350000	130350008	130350007	110200113	110200112	130350010	130350009	130350012	130350011
1704033	芙提雅-驰掣-草莓甜心	17	130350000	130350020	130350019	110200193	110200192	130350022	130350021	130350024	130350023
1704034	芙提雅-驰掣-泳池护卫	17	130350000	130350029	130350028	110200241	110200240	130350031	130350030	130350033	130350032
1704041	芙提雅-炬芯（默认）	17	130530000	130530002	130530003			130530005	130530004		
1704042	芙提雅-炬芯-国主驾到	17	130530000	130530010	130530009	110200403	110200402	130530012	130530011	130530014	130530013
1705011	茉莉安（默认）	17	130090000	130090002	130090003			130090004	130090005		
1705021	茉莉安-雨燕（默认）	17	130100000	130100002	130100003			130100004	130100005		
1705022	茉莉安-雨燕-一掷千金	17	130100000	130100007	130100008	110200023	110200022	130100010	130100009	130100012	130100011
1705023	茉莉安-雨燕-绯染夜幕	17	130100000	130100014	130100013	110200089	110200088	130100016	130100015	130100018	130100017
1705031	茉莉安-幽潮（默认）	17	130340000	130340002	130340003			130340004	130340005		
1705032	茉莉安-幽潮-灿阳一刻	17	130340000	130340008	130340007	110200097	110200096	130340010	130340009	130340012	130340011
