道具大类	道具子类	道具ID	等级	注释	天启被动1	天启被动2	天启被动3	天启被动4	天启被动5	天启属性	临时用升级技能
Genre	Detail	Particular	Level	des	breakskill1	breakskill2	breakskill3	breakskill4	breakskill5	breakgrow	skill4ID
1	1	1	1	安卡希雅-「不予显示」	{100121104}	{100122105}	{100123106}	{100124107}	{100125108}	1001	1001101
1	1	2	1	安卡希雅-辉夜形态	{110121401}	{110122402}	{110123501}	{110124105}	{110125106}	1001	1101101
1	1	3	1	安卡希雅-时之重奏	{120121301}	{120122302}	{120123303}	{120124304}	{120125306}	1001	1201101
1	2	1	1	里芙-星期三	{100221104}	{100222501}	{100223105}	{100224106}	{100225107}	1001	1002201
1	2	2	1	里芙-狂猎形态	{110221501}	{110222103}	{110223502}	{110224105}	{110225403}	1001	1102103
1	2	3	1	里芙-无限之视	{120221103}	{120222104}	{120223105}	{120224106}	{120225107}	1001	1202101
1	3	1	1	妮塔-四手	{100321104}	{100322501}	{100323105}	{100324106}	{100325502}	1001	1003202
1	4	1	1	芙提雅-小太阳	{100421403}	{100422404}	{100423405}	{100424406}	{100425407}	1001	1004401
1	4	2	1	芙提雅-缄默形态	{110421303}	{110422304}	{110423305}	{110424306}	{110425403}	1001	1104301
1	4	3	1	芙提雅-驰掣	{120421103}	{120422104}	{120423105}	{120424106}	{120425107}	1001	1204101
1	5	1	1	茉莉安-绷带小姐	{100521501}	{100522502}	{100523503}	{100524103}	{100525504}	1001	1005101
1	5	2	1	茉莉安-雨燕形态	{110521103}	{110522104}	{110523105}	{110524106}	{110525107}	1001	1105101
1	5	3	1	茉莉安-幽潮	{120521401}	{120522402}	{120523403}	{120524404}	{120525405}	1001	1205101
1	5	4	1	茉莉安-霄鹰	{130521401}	{130522402}	{130523403}	{130524404}	{130525405}	1001	1305401
1	6	1	1	鸣濑晴-旧日王牌	{100621301}	{100622302}	{100623501}	{100624502}	{100625304}	1001	1006301
1	6	2	1	鸣濑晴-藏锋	{110621301}	{110622502}	{110623302}	{110624101}	{110625503}	1001	1106201
1	7	1	1	琴诺-双面	{100721302}	{100722303}	{100723304}	{100724305}	{100725501}	1001	1007301
1	7	2	1	琴诺-悖谬	{110721101}	{110722102}	{110723103}	{110724104}	{110725105}	1001	1107101
1	8	1	1	芬妮-黄金狮子	{100821103}	{100822104}	{100823105}	{100824106}	{100825501}	1001	1008201
