id	注释	试用角色位置1	试用角色位置2	试用角色位置3	阵容位置开关	自身角色池开关（如果要让玩家使用试用角色的所对应自己购买的皮肤，在试用角色ID后增加对应角色的GDPL）	自动上阵	试用上限	可用武器类型	不可用武器类型	禁用角色		
ID	Comments	Trail1	Trail2	Trail3	TrailFlag	SelfFlag	AutoAdd	Limit	WeaponID	WeaponBanID	GirlBanID		
1000	测试	{100002,100009}	{100002,100009}		{1,1,0}	{0,1,0}	0	1					
1101	安卡希雅		{100001}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1102	里芙		{100002}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1103	妮塔		{100003}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1104	芙提雅		{100004}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1105	茉莉安		{100005}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1106	雨燕		{100006}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1107	晴		{100007}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1108	琴诺		{100008}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1109	芬妮		{100009}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1110			{100010}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1111	狂猎		{100011}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1112	肴		{100012}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1113	恩雅		{100013}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1114	缄默		{100014}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1115	辉夜		{100015}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1116	猫汐尔		{100016}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1117	冬至		{100017}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1118	咎冠		{100018}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1119	姬辰星		{100019}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1120	瑟瑞斯		{100020}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1121	云篆		{100021}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1621	藏锋		{100022}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1622	溯影		{100023}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1623	苔丝		{100024}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1624	凯西亚		{100025}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1625	伊切尔		{100026}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1626	恩雅-羽蜕		{100028}	{100011}	{0,1,1}	{0,0,0}	{1,1,1}	1					
1627	悖谬		{100027}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1628	瞬刻		{100029}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1629	里芙-无限		{100030}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1630	芬妮-辉耀		{100031}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1631	龙舌兰		{100032}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1632	凯茜娅·朝翼		{100033}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1633	茉莉安·幽潮		{100034}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1634	芙提雅		{100035}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1635	卜卜		{100036}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1636	辰星-琼弦		{100037}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1637	肴-夜天光		{100038}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1638	恩雅澜风		{100039}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1639	奈莉德		{100040}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1640	薇蒂雅天鹅座		{100041}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1641	凯茜娅狂诗		{100042}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1642	苔丝绮幻		{100043}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1643	克罗瑞娜		{100044}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1644	澄意		{100045}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1645	悠游		{100046}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1646	米娅		{100047}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1647	卜卜换装		{100048}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1648	安卡希雅-时之重奏		{100049}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1649	茉莉安-霄鹰		{100050}		{0,1,0}	{0,0,0}	{1,1,1}	1					
1650	胧嫣		{100051}		{0,1,0}	{0,0,0}	{1,1,1}	1
1651	丽芙		{100052}		{0,1,0}	{0,0,0}	{1,1,1}	1

10102	主线1-2		{101002}		{0,1,0}	{0,0,0}	{1,1,1}	1					
10103	主线1-3	{{1,8,1,1}}	{{1,2,1,1}}		{1,1,0}	{0,0,0}	{1,1,1}	1					
10104	主线1-4	{{1,2,1,1}}	{{1,8,1,1}}		{1,1,0}	{0,0,0}	{1,1,1}	1					
10106	主线1-6		{101004,{1,4,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
10107	主线1-7		{101005,{1,5,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
20107	H主线1-7		{101007,{1,5,1,1}}		{1,1,1}	{1,0,1}	{1,1,1}	1					
10306	主线3-6		{101006,{1,3,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
10501	主线5-1	{101019}	{101020}		{1,1,1}	{1,1,1}	{1,1,1}	2					
