ID	注释	试用角色ID	试用角色等级	试用角色突破次数	试用角色职级	试用角色脊椎等级	试用武器	试用后勤	皮肤ID	武器皮肤ID
ID	des	CardID	CardLevel	CardBreak	CardProLevel	CardSkill	Weapons	SupporterCards	SkinID	WeaponSkinID
100001	安卡希雅	{1,1,1,1}	80	45	3	{9,9,9,9,9,9}	200012	{300127,300128,300129}	{7,1,1,1}	
100002	里芙	{1,2,1,1}	80	45	3	{9,9,9,9,9,9}	200022	{300049,300050,300051}	{7,2,1,1}	
100003	妮塔	{1,3,1,1}	80	45	3	{9,9,9,9,9,9}	200004	{300064,300065,300066}	{7,3,1,1}	
100004	芙提雅	{1,4,1,1}	80	45	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,1,1}	
100005	茉莉安	{1,5,1,1}	80	45	3	{9,9,9,9,9,9}	200025	{300130,300131,300132}	{7,5,1,1}	
100006	雨燕	{1,5,2,1}	80	45	3	{9,9,9,9,9,9}	200007	{300037,300038,300039}	{7,5,2,1}	
100007	晴	{1,6,1,1}	80	45	3	{9,9,9,9,9,9}	200012	{300133,300134,300135}	{7,6,1,1}	
100008	琴诺	{1,7,1,1}	80	45	3	{9,9,9,9,9,9}	200027	{300049,300050,300051}	{7,7,1,1}	
100009	芬妮	{1,8,1,1}	80	45	3	{9,9,9,9,9,9}	200004	{300064,300065,300066}	{7,8,1,1}	
100011	狂猎	{1,2,2,1}	80	45	3	{9,9,9,9,9,9}	200003	{300040,300041,300042}	{7,2,2,1}	
100012	肴	{1,10,1,1}	80	45	3	{9,9,9,9,9,9}	200011	{300070,300071,300072}	{7,10,1,1}	
100013	恩雅	{1,11,1,1}	80	45	3	{9,9,9,9,9,9}	200029	{300043,300044,300045}	{7,11,1,1}	
100014	缄默	{1,4,2,1}	80	45	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,2,1}	
100015	辉夜	{1,1,2,1}	80	45	3	{9,9,9,9,9,9}	200033	{300124,300125,300126}	{7,1,2,1}	
100016	猫汐尔	{1,12,1,1}	80	45	3	{9,9,9,9,9,9}	200030	{300136,300137,300138}	{7,12,1,1}	
100017	冬至	{1,10,2,1}	80	45	3	{9,9,9,9,9,9}	200031	{300070,300071,300072}	{7,10,2,1}	
100018	咎冠	{1,8,2,1}	80	45	3	{9,9,9,9,9,9}	200010	{300139,300140,300141}	{7,8,2,1}	
100019	姬辰星	{1,14,1,1}	80	45	3	{9,9,9,9,9,9}	200013	{300049,300050,300051}	{7,14,1,1}	
