ID	注释	试用武器	试用武器等级	默认装备进化次数（技能等级）	武器突破	试用武器默认配件
ID	des	WeaponID	WeaponLevel	WeaponSkill	WeaponBreak	WeaponParts
200001	玛萨拉酒（禁用 未上线）	{2,4,17,1}	80	1	6	
200002	黑旗鱼（禁用 未上线）	{2,1,4,1}	80	1	6	
200003	星尘回忆	{2,1,17,1}	80	1	6	
200004	小粮食	{2,3,4,1}	80	1	6	
200005	动脉音律（禁用 未上线）	{2,5,18,1}	80	1	6	
200006	夹心巧克力（禁用 未上线）	{2,2,18,1}	80	1	6	
200007	虎鲸号角	{2,2,17,1}	80	1	6	
200008	关键点	{2,4,9,1}	80	1	6	
200009	百战老兵（禁用 未上线）	{2,1,18,1}	80	1	6	
200010	太阳酬金	{2,3,17,1}	80	1	6	
200011	奥林匹斯	{2,2,4,1}	80	1	6	
200012	星辰大海	{2,4,3,1}	80	1	6	
200013	审判前夜	{2,5,3,1}	80	1	6	
200014	魅惑爪痕	{2,2,12,1}	20	1	1	
200015	草莓蛋糕	{2,5,6,1}	10	1	0	
200016	教训	{2,5,1,1}	80	1	6	
200017	锤击	{2,4,1,1}	80	1	6	
200018	无声雷电	{2,1,1,1}	80	1	6	
200019	简易扳手	{2,2,1,1}	80	1	6	
200020	小粮食	{2,3,4,1}	17	1	0	
200021	熔岩骨骼	{2,5,19,1}	17	1	0	
200022	正在施工	{2,1,10,1}	80	1	6	
200023	小粮食	{2,3,4,1}	80	1	6	
200024	熔岩骨骼	{2,5,19,1}	80	1	6	
200025	魅惑爪痕	{2,2,12,1}	80	1	6	
200026	小小工具	{2,4,4,1}	80	1	6	
200027	北极狐	{2,1,11,1}	80	1	6	
200028	小黄鸭	{2,5,11,1}	80	1	6	
200029	彩虹打火机	{2,4,10,1}	80	1	6	
200030	次氯酸	{2,1,13,1}	80	1	6	
200031	太空骑手	{2,2,19,1}	80	1	6	
200032	楼道怪猫	{2,5,7,1}	80	1	6	
200033	松林极光	{2,4,18,1}	80	1	6	
200034	彩虹打火机	{2,4,10,1}	27	1	1	
200035	小黄鸭	{2,5,11,1}	47	1	3	
200036	楼道怪猫	{2,5,7,1}	76	1	6	
200037	楼道怪猫	{2,5,7,1}	40	1	3	
200038	朱书断邪	{2,5,22,1}	55	1	4	
200039	小粮食	{2,3,4,1}	40	1	3	
200040	奥林匹斯	{2,2,4,1}	40	1	3	
200041	友好邻里	{2,1,255,1}	1	1	0	
200042	大宝贝儿	{2,3,14,1}	1	1	0	
200043	草莓蛋糕	{2,5,6,1}	1	1	0	
200044	大宝贝儿	{2,3,14,1}	60	1	5	
200045	星尘回忆	{2,1,17,1}	60	1	5	
200046	朱书断邪	{2,5,22,1}	80	1	6	
200047	草莓蛋糕	{2,5,6,1}	80	1	6	
200048	机械警官	{2,3,11,1}	80	1	6	
200049	关键点	{2,4,9,1}	33	1	2	
200050	1-2芬妮霰弹枪	{2,3,255,1}	1	1	0	
200051	H1-7魅惑爪痕	{2,2,12,1}	25	1	1	
200052	N1-7甜甜灵魂	{2,2,8,1}	20	1	1	
200053	55级朱书断邪	{2,5,22,1}	55	1	4	
200054	55级星尘回忆	{2,1,17,1}	55	1	4	
200055	55级小粮食	{2,3,4,1}	55	1	4	
200056	55级审判前夜	{2,5,3,1}	55	1	4	
200057	55级奥林匹斯	{2,2,4,1}	55	1	4	
200058	55级小黄鸭	{2,5,11,1}	55	1	4	
200059	怒不可遏	{2,5,2,1}	10	1	0	
200060	魅惑爪痕	{2,2,12,1}	10	1	0	
200061	大宝贝儿	{2,3,14,1}	20	1	0	
200062	幸运时刻	{2,4,12,1}	30	1	1	
200063	审判前夜	{2,5,3,1}	55	1	4	
200064	小粮食	{2,3,4,1}	55	1	4	
200065	奥林匹斯	{2,2,4,1}	55	1	4	
200066	普赛克16	{2,4,20,1}	80	1	6	
200067	普赛克16	{2,4,20,1}	45	1	3	
200068	普赛克16	{2,4,20,1}	60	1	5	
200069	普赛克16	{2,4,20,1}	75	1	6	
200070	熔岩骨骼	{2,5,19,1}	45	1	3	
200071	熔岩骨骼	{2,5,19,1}	60	1	5	
200072	熔岩骨骼	{2,5,19,1}	75	1	6	
200073	小粮食	{2,3,4,1}	45	1	3	
200074	小粮食	{2,3,4,1}	60	1	5	
200075	小粮食	{2,3,4,1}	75	1	6	
200076	合金真理80级	{2,1,25,1}	80	1	6	
200077	王牌怪诞	{2,2,22,1}	80	1	6	
200078	王牌怪诞	{2,2,22,1}	45	1	3	
200079	王牌怪诞	{2,2,22,1}	60	1	5	
200080	王牌怪诞	{2,2,22,1}	75	1	6	
200081	朱书断邪	{2,5,22,1}	45	1	3	
200082	朱书断邪	{2,5,22,1}	60	1	5	
200083	朱书断邪	{2,5,22,1}	75	1	6	
200084	星尘回忆	{2,1,17,1}	45	1	3	
200085	星尘回忆	{2,1,17,1}	60	1	5	
200086	星尘回忆	{2,1,17,1}	75	1	6	
200087	海王星	{2,6,4,1}	80	1	6	
200088	夹心巧克力	{2,2,18,1}	30	1	2	
200089	百战老兵	{2,1,18,1}	30	1	2	
200090	虎鲸号角	{2,2,17,1}	30	1	2	
200091	星辰大海	{2,4,3,1}	35	1	2	
200092	星辰大海	{2,4,3,1}	40	1	3	
200093	奥林匹斯	{2,2,4,1}	40	1	3	
200094	太空骑手	{2,2,19,1}	45	1	3	
200095	星辰大海	{2,4,3,1}	45	1	3	
200096	星尘回忆	{2,1,17,1}	45	1	3	
200097	小粮食	{2,3,4,1}	45	1	3	
200098	太阳酬金	{2,3,17,1}	45	1	3	
200099	熔岩骨骼	{2,5,19,1}	45	1	3	
200100	幸运时刻	{2,4,12,1}	50	1	4	
200101	星辰大海	{2,4,3,1}	50	1	4	
200102	星辰大海	{2,4,3,1}	50	1	4	
200103	熔岩骨骼	{2,5,19,1}	50	1	4	
200104	太阳酬金	{2,3,17,1}	55	1	4	
200105	星尘回忆	{2,1,17,1}	55	1	4	
200106	合金真理	{2,1,25,1}	55	1	4	
200107	太空骑手	{2,2,19,1}	60	1	5	
200108	星辰大海	{2,4,3,1}	60	1	5	
200109	虎鲸号角	{2,2,17,1}	60	1	5	
200110	合金真理	{2,1,25,1}	60	1	5	
200111	熔岩骨骼	{2,5,19,1}	63	1	5	
200112	星辰大海	{2,4,3,1}	63	1	5	
200113	太空骑手	{2,2,19,1}	65	1	5	
200114	星辰大海	{2,4,3,1}	65	1	5	
200115	星尘回忆	{2,1,17,1}	65	1	5	
200116	太阳酬金	{2,3,17,1}	65	1	5	
200117	松林极光	{2,4,18,1}	65	1	5	
200118	小粮食	{2,3,4,1}	70	1	6	
200119	虎鲸号角	{2,2,17,1}	70	1	6	
200120	太阳酬金	{2,3,17,1}	70	1	6	
200121	熔岩骨骼	{2,5,19,1}	70	1	6	
200122	星辰大海	{2,4,3,1}	70	1	6	
200123	太空骑手	{2,2,19,1}	75	1	6	
200124	审判前夜	{2,5,3,1}	75	1	6	
200125	小粮食	{2,3,4,1}	75	1	6	
200126	星尘回忆	{2,1,17,1}	75	1	6	
200127	松林极光	{2,4,18,1}	75	1	6	
200128	太阳酬金	{2,3,17,1}	75	1	6	
200129	星尘回忆	{2,1,17,1}	80	1	6	
200130	审判前夜	{2,5,3,1}	80	1	6	
200131	松林极光	{2,4,18,1}	80	1	6	
200132	镭射风虎	{2,3,24,1}	80	1	6	
200133	镭射风虎	{2,3,24,1}	45	1	3	
200134	镭射风虎	{2,3,24,1}	60	1	5	
200135	镭射风虎	{2,3,24,1}	75	1	6	
200136	合金真理	{2,1,25,1}	45	1	3	
200137	合金真理	{2,1,25,1}	60	1	5	
200138	合金真理	{2,1,25,1}	75	1	6	
200139	白夜别诗	{2,1,27,1}	80	1	6	
200140	渊光	{2,4,26,1}	80	1	6	
200141	幸运时刻	{2,4,12,1}	80	1	6	
200142	王权连枷	{2,3,26,1}	80	1	6	
200143	王权连枷	{2,3,26,1}	45	1	3	
200144	王权连枷	{2,3,26,1}	60	1	5	
200145	王权连枷	{2,3,26,1}	75	1	6	
200146	海王星	{2,6,4,1}	45	1	3	
200147	海王星	{2,6,4,1}	60	1	5	
200148	海王星	{2,6,4,1}	75	1	6	
200149	九夜之冕	{2,7,3,1}	80	1	6	
200150	捕心先锋	{2,5,24,1}	80	1	6	
200151	抓拍胜机	{2,4,28,1}	80	1	6	
200152	晴海星埃	{2,5,26,1}	80	1	6	
200153	深渊幽灵	{2,3,28,1}	80	1	6	
200154	极速烈闪	{2,2,24,1}	80	1	6	
200155	流焰融金	{2,4,30,1}	80	1	6	
200156	茜羽破空	{2,8,3,1}	80	1	6	
200157	星熔靛夜	{2,1,29,1}	80	1	6	
200158	玫瑰之荣	{2,4,25,1}	70	1	6	
200159	紫武-暗巷英雄	{2,8,2,1}	70	1	6	
200160	紫武-圣甲	{2,3,25,1}	70	1	6	
200161	紫武-岩蟒	{2,3,15,1}	70	1	6	
200162	紫武-正法	{2,1,28,1}	70	1	6	
200163	紫武-晶棱	{2,3,27,1}	70	1	6	
200164	紫棘	{2,3,30,1}	80	1	6	
200165	紫武-龙胆	{2,6,2,1}	80	5	6	
200166	紫武-岩蟒	{2,3,15,1}	80	5	6	
200167	紫武-荒野微笑	{2,5,10,1}	80	5	6	
200168	紫武-洁白之环	{2,1,26,1}	80	5	6	
200169	紫武-不协和音	{2,3,13,1}	80	5	6	
200170	2.7突击步枪	{2,5,28,1}	80	1	6	
200171	2.7霰弹枪	{2,3,31,1}	80	1	6	
200172	紫武-晚梅	{2,4,29,1}	70	1	6	
200173	真实之空	{2,2,26,1}	80	1	6	
200174	紫武-澄叶	{2,4,27,1}	80	5	6	
200175	紫武-野蜂尾针	{2,4,11,1}	80	5	6	
200176	紫武-像素时代	{2,5,23,1}	80	5	6	
200177	紫武-龙卷风	{2,5,25,1}	80	5	6	
200178	紫武-梦幻捷径	{2,2,23,1}	80	5	6	
200179	紫武-晚梅	{2,4,29,1}	80	5	6	
200180	紫武-蛛网	{2,5,27,1}	80	5	6	
200181	速旋青雨	{2,9,3,1}	80	1	6	
200182	坚者之心	{2,5,30,1}	80	1	6	
200183	瑰翼	{2,1,31,1}	80	1	6	
200184	净空炙星	{2,1,33,1}	80	1	6	
200185	跃洋斑鳍	{2,4,32,1}	80	1	6	
200186	紫武-沼泽之主	{2,3,29,1}	70	5	6	
200187	紫武-蛛网	{2,5,27,1}	70	5	6	
200188	紫武-轮转辉光	{2,7,2,1}	70	5	6	
200189	紫武-像素时代	{2,5,23,1}	70	5	6	
200190	紫武-晶棱	{2,3,27,1}	70	5	6	
200191	紫武-岩蟒	{2,3,15,1}	70	5	6	
200192	5级暗巷英雄	{2,8,2,1}	7	5	0	
200193	15级大宝贝儿	{2,3,14,1}	15	5	0	
200194	15级蛛网	{2,5,27,1}	15	5	0	
200195	15级悠古节拍	{2,3,31,1}	15	2	0	
200196	15级龙卷风	{2,5,25,1}	15	5	0	
200197	20级嵌合	{2,2,25,1}	20	5	1	
200198	20级梦幻捷径	{2,2,23,1}	20	5	1	
200199	20级岩蟒	{2,3,15,1}	20	5	1	
200200	25级嵌合	{2,2,25,1}	25	5	1	
200201	25级稳固色彩	{2,5,29,1}	25	5	1	
200202	25级无限之日	{2,9,2,1}	25	5	1	
200203	30级悠古节拍	{2,3,31,1}	35	2	2	
200204	30级枯萎蔓延	{2,1,30,1}	35	5	2	
200205	30级喧哗现场	{2,2,5,1}	35	5	2	
200206	20级蛛网	{2,5,27,1}	20	5	1	
200207	30级轮转辉光	{2,7,2,1}	35	5	2	
200208	紫武-喧哗现场	{2,2,5,1}	80	5	6	
200209	紫武-轮转辉光	{2,7,2,1}	80	5	6	
200210	紫武-沼泽之主	{2,3,29,1}	80	5	6	
200211	紫武-完美结构	{2,1,32,1}	75	5	6	
200212	紫武-蛛网	{2,5,27,1}	75	5	6	
200213	紫武-远古螺旋	{2,4,31,1}	75	5	6	
200214	紫武-像素时代	{2,5,23,1}	75	5	6	
200215	紫武-爆裂甜蜜-50级	{2,3,32,1}	50	5	4	
200216	紫武-正法-50级	{2,1,28,1}	50	5	4	
200217	紫武-岩蟒-50级	{2,3,15,1}	50	5	4	
200218	紫武-爆裂甜蜜-60级	{2,3,32,1}	60	5	5	
200219	紫武-正法-60级	{2,1,28,1}	60	5	5	
200220	紫武-岩蟒-60级	{2,3,15,1}	60	5	5	
200221	紫武-爆裂甜蜜-70级	{2,3,32,1}	70	5	6	
200222	紫武-正法-70级	{2,1,28,1}	70	5	6	
200223	紫武-岩蟒-70级	{2,3,15,1}	70	5	6	
200224	紫武-爆裂甜蜜-80级	{2,3,32,1}	80	5	6	
200225	紫武-正法-80级	{2,1,28,1}	80	5	6	
200226	紫武-岩蟒-80级	{2,3,15,1}	80	5	6	
200227	织心秘语	{2,3,33,1}	80	1	6	
200228	鸣雷戒律	{2,5,31,1}	80	1	6	
200229	紫武-野蜂尾针	{2,4,11,1}	75	5	6	
200230	紫武-爆裂甜蜜	{2,3,32,1}	75	5	6	
200231	紫武-浮浪	{2,1,14,1}	75	5	6	
200232	紫武-松纸剪影	{2,7,4,1}	75	5	6	
200233	薪烛明痕	{2,7,5,1}	80	1	6	
200234	净空启迪	{2,2,27,1}	80	1	6	
200235	星渊月刃	{2,10,3,1}	80	1	6	
200236	棱光核心	{2,1,35,1}	80	1	6	
200237	紫武-晶棱	{2,3,27,1}	75	5	6	
200238	紫武-？	{2,10,2,1}	75	5	6	
200239	紫武-是！是！船长！	{2,4,15,1}	75	5	6	
200240	紫武-关键点	{2,4,9,1}	75	5	6	
200241	紫武-？	{2,10,2,1}	80	5	6	
200242	净空启迪	{2,2,27,1}	75	1	6	
200243	紫武-？	{2,1,34,1}	75	5	6	
200244	金迷红醉	{2,7,7,1}	80	1	6	
200245	紫武-一线春	{2,7,6,1}	75	5	6	
200246	磁流效应	{2,4,33,1}	80	1	6	
200247	磁流效应	{2,4,33,1}	75	1	6	
200248	紫武-梦幻捷径	{2,2,23,1}	75	5	6	
200249	80级枯萎蔓延	{2,1,30,1}	80	5	6	
200250	矛	{2,11,3,1}	80	1	6	
200251	狙	{2,2,28,1}	80	1	6	
200252	SR矛	{2,11,2,1}	75	5	6	
200253	主线狙	{2,2,28,1}	75	1	6	
