	注释	血量继承	血量	武装继承	武装	攻击继承	攻击	防御继承	防御	暴击率继承	暴击率	暴击加成继承	暴击加成	实弹抗性继承	实弹抗性	火抗继承	火抗	冰抗继承	冰抗	雷抗继承	雷抗	异能抗性继承	异能抗性
ID	Comment	HealthEX	Health	ArmsEX	Arms	AttackEX	Attack	DefenceEX	Defence	CriticalValueEX	CriticalValue	CriticalDamageEX	CriticalDamage	EntityBulletResistanceEX	EntityBulletResistance	FireResistanceEX	FireResistance	IceResistanceEX	IceResistance	ThunderResistanceEX	ThunderResistance	SuperpowersResistanceEX	SuperpowersResistance
10001	星期三小飞机	0	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10002	琴诺泰坦	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10003	茉莉安分身	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10004	肴无人机	0	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10005	琴诺泰坦（巨大化）	120	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10006	姬辰星常规技	50	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10007	瑟瑞丝召唤物	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10008	瑟瑞丝召唤物2	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10009	姬辰星爆发技	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10010	溯影常规技召唤物	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	溯影连携技召唤物	0	999999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10012	姬辰星支援技	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10013	琴诺泰坦肉鸽强化	300	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10014	琴诺泰坦（巨大化）肉鸽强化	340	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10015	羽蜕支援技	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10016	背包肉鸽无人机1	0	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10017	猫汐尔常规技	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10018	猫汐尔支援技	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10019	DLC35多诺活动怪物召唤物	50	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10020	猫汐尔常规技肉鸽专用	300	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
