ID	注释	节点1描述	节点1升级技能ID	节点1(skillfix)	节点1属性	节点2描述	节点2升级技能ID	节点2(skillfix)	节点2属性	节点3描述	节点3升级技能ID	节点3(skillfix)	节点3属性	节点4描述	节点4升级技能ID	节点4(skillfix)	节点4属性	节点5描述	节点5升级技能ID	节点5(skillfix)	节点5属性	节点6描述	节点6升级技能ID	节点6(skillfix)	节点6属性	节点7描述	节点7升级技能ID	节点7(skillfix)	节点7属性	节点8描述	节点8升级技能ID	节点8(skillfix)	节点8属性	节点9描述	节点9升级技能ID	节点9(skillfix)	节点9属性
ID	Comment	Node1des	SkillIDs1	Node1	Attribute1	Node2des	SkillIDs2	Node2	Attribute2	Node3des	SkillIDs3	Node3	Attribute3	Node4des	SkillIDs4	Node4	Attribute4	Node5des	SkillIDs5	Node5	Attribute5	Node6des	SkillIDs6	Node6	Attribute6	Node7des	SkillIDs7	Node7	Attribute7	Node8des	SkillIDs8	Node8	Attribute8	Node9des	SkillIDs9	Node9	Attribute9
100011	安卡希雅1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1010101003	{1001101}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1010101006	{1001101}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1010101009		100111101	
100012	安卡希雅2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1010102003	{1001101}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1010102006	{1001101}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1010102009		100112102	
100013	安卡希雅3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1010103003	{1001401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1010103006	{1001401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1010103009		100113401	
100014	安卡希雅4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1010104003	{1001401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1010104006	{1001401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1010104009		100114402	
100015	安卡希雅5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1010105003	{1001301}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1010105006	{1001301}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1010105009		100115301	
100016	安卡希雅6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1010106003	{1001301}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1010106006	{1001301}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1010106009		100116302	
100021	星期三1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1020101003	{1002201,1002502,1002204}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1020101006	{1002201,1002502,1002204}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1020101009		100211101	
100022	星期三2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1020102003	{1002201,1002502,1002204}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1020102006	{1002201,1002502,1002204}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1020102009		100212102	
100023	星期三3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1020103003	{1002401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1020103006	{1002401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1020103009		100213401	
