套装ID	注释	二件套技能ID	三件套技能ID	二件套技能fixID	三件套技能fixID
ID	Comment	TwoSkillID	ThreeSkillID	TwoSkillFixID	ThreeSkillFixID
10001	阿尔斯特小队	{2030111}	{2030121}		
10002	堤丰小队	{2030211}	{2030221}		
10003	御守小队	{2030311}	{2030321}		
10004	梵灵小队	{2030411}	{2030421}		
10005	“守梦人”小队	{2030511}	{2030521}		
10006	“信使”小队	{2030611}	{2030621}		
10007	梵音小队	{2040111}	{2040121}		
10008	“锻造者”小队	{2040211}	{2040221}		
10009	阿尔戈小队	{2040311}	{2040321}		
10010	鬼怪小队	{2040411}	{2040421}		
10011	“诗人”小队	{2040511}	{2040521}		
10012	绿灵小队	{2040611}	{2040621}		
10013	“鸦眼”小队	{2040711}	{2040721}		
10014	布里吉小队	{2040811}	{2040821}		
10015	精灵小队	{2040911}	{2040921}		
10016	达努小队	{2041011}	{2041021}		
10017	达摩小队	{2050111}	{2050121}		
10018	底比斯小队	{2050211}	{2050221}		
10019	芬尼亚小队	{2050311}	{2050321}		
10020	摩伊拉小队	{2050411}	{2050421}		
10021	梵星小队	{2050511}	{2050521}		
10022	凯夫曼小队	{2050611}	{2050621}		
10023	领航者小队	{2050711}	{2050721}		
10024	天岩户小队	{2050811}	{2050821}		
10025	曙光小队（912为召唤物触发）	{2050911}	{2050921,2050922,2050923,2050924,2050925,2050912}		
10026	水穗小队	{2051011}	{2051021}		
10027	新叶小队	{2051111}	{2051121,2051122}		
10028	明夷小队	{2051211}	{2051221}		
10029	秋津小队	{2051311}	{2051321,2051322,2051323}		
10030	阿玛纳小队	{2051411}	{2051421,2051422}		
10031	心园小队	{2051511}	{2051521,2051522}		
10032	伊莱小队	{2051611}	{2051621,2051622}		
10033	极光小队	{2051711}	{2051721,2051722,2051723}		
10034	祖灵小队	{2051811}	{2051821}		
10035	沙叶小队	{2051911}	{2051921,2051922,2051923}		
10036	金甲小队	{2052011}	{2052021,2052022}		
10037	星朗小队	{2052111}	{2052121}		{220202001}
10038	清乐小队	{2052211}	{2052221}		{220802001}
10039	掠影小队	{2052311}	{2052321,2052322,2052323}		
10040	钢羽小队	{2052411}	{2052421,2052422}		
10041	射影小队	{2052511}	{2052521,2052522}		
10042	超视小队	{2052611}	{2052623}		{220402001}
10043	泽虹小队	{2052711}	{2052721}		{222001001}
10044	新桃小队	{2052811}	{2052821}		{221202001}
10045	闻风小队	{2052911}	{2052921}		{221002001}
10046	微光小队	{2053011}	{2053022}		{221102001}
10047	希德小队	{2053111}	{2053123}		{202102001}
10048	花楸小队	{2053211}	{2053223}		{210302001}
10049	星夜小队	{2053311}	{2053321}		{211802001}
10050	映现小队	{2053411}	{2053423}		{221502001}
10051	秘源小队	{2053511}	{2053522}		{211702001}
10052	祈歌小队	{2053611}	{2053622}		{202202001}
10053	新芽小队	{2053711}	{2053712}		{230802001}
10054	天秤小队	{2053811}	{2053822}		{221302001}
10055	飞云小队	{2053911}	{2053922}		{202302001}
10056	碧空小队	{2054011}	{2054021}		{200602001}
10057	重叶小队	{2054111}	{2054121,2054122}		{212002001}
10058	图征小队	{2058011}	{2058031}		{211202001}
10059	圣树小队	{2054311}	{2054321}		{220102001}
10060	松露小队	{2054411}	{2054422}		{230502001}
10061	向月小队	{2054511}	{2054521}		{202402001}
10062	奇点小队	{2054611}	{2054622}		{230402001}
