道具大类	道具子类	道具ID	等级	//注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	类型图标（手动配置对应小图标）	图标(17+d(xx)+p(xx)+l	使用方式，0不可使用，1自动，2手动  不填为0	获取类型（1默认，2供应站，3活动，4成就，5通行证	获取途径	附加参数1	附加参数2	附加参数3	修正时间	JsonID	皮肤ID	GM投放	商店对应{g,d,p,l}
Genre	Detail	Particular	Level	Comment	Close	LuaType	I18n	Color	Tag	Icon	UseMode	GetType	GetWay	Param1	Param2	Param3	ATime	JsonID	SkinId	GMnum	GoodsItemID
22	1	1	1	安卡希雅病号服动作1		housephoto			5	45012001		1						1100101	70100	1	
22	1	1	2	安卡希雅病号服动作2		housephoto			5	45012002		1						1100102	70100	1	
22	1	1	3	安卡希雅病号服动作3		housephoto			5	45012003		1						1100103	70100	1	
22	1	1	4	安卡希雅病号服动作4		housephoto			5	45012004		1						1100104	70100	1	
22	1	1	5	安卡希雅病号服动作5		housephoto			5	45012005		1						1100105	70100	1	
22	1	1	6	安卡希雅病号服动作6		housephoto			5	45012006		1						1100106	70100	1	
22	1	2	1	里芙病号服动作1		housephoto			5	45022001		1						1100201	70200	1	
22	1	2	2	里芙病号服动作2		housephoto			5	45022002		1						1100202	70200	1	
22	1	2	3	里芙病号服动作3		housephoto			5	45022003		1						1100203	70200	1	
22	1	2	4	里芙病号服动作4		housephoto			5	45022004		1						1100204	70200	1	
22	1	2	5	里芙病号服动作5		housephoto			5	45022005		1						1100205	70200	1	
22	1	2	6	里芙病号服动作6		housephoto			5	45022006		1						1100206	70200	1	
22	1	3	1	妮塔病号服动作1		housephoto			5	45032001		1						1100301	70300	1	
22	1	3	2	妮塔病号服动作2		housephoto			5	45032002		1						1100302	70300	1	
22	1	3	3	妮塔病号服动作3		housephoto			5	45032003		1						1100303	70300	1	
22	1	3	4	妮塔病号服动作4		housephoto			5	45032004		1						1100304	70300	1	
22	1	3	5	妮塔病号服动作5		housephoto			5	45032005		1						1100305	70300	1	
22	1	3	6	妮塔病号服动作6		housephoto			5	45032006		1						1100306	70300	1	
22	1	4	1	芙提雅病号服动作1		housephoto			5	45042001		1						1100401	70400	1	
