道具大类	道具子类	道具ID	等级	注释	禁用道具	类名	名字key	获得条件说明	地区区分	排序（越大越前）	是否可预览（1：可以 0：不可以 不填为0）	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	特殊头像框UMG	封面Spine	封面Spine的偏移	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	附加参数1		附加参数2	附加参数3	成长属性ID	外观ID	最早可使用时间	最晚可使用时间，格式：相对日期直接填天数；绝对日期填2024-04-28T04:00:00(年-月-日T时:分:秒)	分解回收配置，对应recycle.txt中得ID列	GM投放
Genre	Detail	Particular	Level	Comment	Close	LuaType	I18n	GainText	Coverage	Index	PreviewAllow	Color	Icon	FrameUMG	Spine	SpineOffset	UseMode	CanStack	CanEnhance	Param1		Param2	Param3	GrowupID	AppearID	UseStartTime	Expiration	RecycleID	GMnum
9	10	1	1	分析员		profile_face	profile.default01	profile.default01	0	999	1	4	1900001																
9	1	1	1	安卡希雅		profile_face	card.girl011_suits	card.girl011_suits	0	100	0	4	1210009																
9	1	1	2	安卡希雅-辉夜		profile_face	card.girl012_suits	card.girl012_suits	0	99	0	5	1210015																
9	1	1	3	安卡希雅-时之重奏		profile_face	card.girl013_suits	card.girl013_suits	0	99	0	5	1210053																
9	1	2	1	里芙		profile_face	card.girl021_suits	card.girl021_suits	0	98	0	4	1210001																
9	1	2	2	里芙-狂猎		profile_face	card.girl022_suits	card.girl022_suits	0	97	0	5	1210011																
9	1	2	4	里芙-神		profile_face	card.girl024_suits	card.girl024_suits	0	97	0	5	1210058																
9	1	3	1	妮塔		profile_face	card.girl031_suits	card.girl031_suits	0	96	0	4	1210002																
9	1	3	2	妮塔		profile_face	card.girl032_suits	card.girl032_suits	0	95	0	4	1210041																
9	1	4	1	芙提雅		profile_face	card.girl041_suits	card.girl041_suits	0	94	0	4	1210003																
9	1	4	2	芙提雅-缄默		profile_face	card.girl042_suits	card.girl042_suits	0	93	0	5	1210014																
9	1	4	3	芙提雅-2.3芙提雅		profile_face	card.girl043_suits	card.girl043_suits	0	92	0	5	1210035																
9	1	4	4	芙提雅-3.6芙提雅		profile_face	card.girl044_suits	card.girl044_suits	0	92	0	5	1210055																
9	1	5	1	茉莉安		profile_face	card.girl051_suits	card.girl051_suits	0	91	0	4	1210010																
9	1	5	2	茉莉安-雨燕		profile_face	card.girl052_suits	card.girl052_suits	0	90	0	5	1210004																
9	1	5	3	茉莉安幽潮		profile_face	card.girl053_suits	card.girl053_suits	0	89	0	5	1210034																
9	1	5	4	茉莉安-霄鹰		profile_face	card.girl054_suits	card.girl054_suits	0	89	0	5	1210054																
9	1	6	1	晴		profile_face	card.girl061_suits	card.girl061_suits	0	88	0	4	1210005																
9	1	6	2	晴-藏锋		profile_face	card.girl062_suits	card.girl062_suits	0	87	0	5	1210022																
9	1	6	3	晴3.3		profile_face	card.girl063_suits	card.girl063_suits	0	87	0	5	1210050																
9	1	7	1	琴诺		profile_face	card.girl071_suits	card.girl071_suits	0	86	0	4	1210006																
9	1	8	1	芬妮		profile_face	card.girl081_suits	card.girl081_suits	0	85	0	4	1210007																
9	1	8	2	芬妮-咎冠		profile_face	card.girl082_suits	card.girl082_suits	0	84	0	5	1210018																
9	1	8	4	芬妮-澄意		profile_face	card.girl084_suits	card.girl083_suits	0	83	0	5	1210047																
9	1	10	1	肴		profile_face	card.girl101_suits	card.girl101_suits	0	82	0	4	1210012																
9	1	10	2	肴-冬至		profile_face	card.girl102_suits	card.girl102_suits	0	81	0	5	1210016																
9	1	10	3	肴-夜天光		profile_face	card.girl103_suits	card.girl103_suits	0	80	0	5	1210038																
