ID（20+枪械类型（1冲锋枪；2狙击枪；3霰弹枪；4手枪；5突击步枪；6弩）+编号参数（xxxxx)	//备注	定义（11=后勤 12=角色 13=武器 14=武器配件 15=道具 17=角色皮肤 18=家具 19=头像 20=武器皮肤）	图标200*200	图标130*130	武器大图
ID	Comment	Define	P2	P3	P7
20110001	融月流金	20	142100002	142100000	142100001
20120001	春携良缘	20	142100012	142100010	142100011
20130001	忠诚之勋	20	142100038	142100036	142100037
20140001	铂金密信	20	142100047	142100045	142100046
20150001	清波储备	20	142100052	142100050	142100051
20160001	冬愿银装	20	142100062	142100060	142100061
20170001	DLC3.5茉莉安换装花嫁皮肤武器	20	142100072	142100070	142100071
20180001	约束禁律	20	142100082	142100080	142100081
					
20210001	拒绝加班	20	142200002	142200000	142200001
20220001	熊熊突击	20	142200012	142200010	142200011
20230001	爱彻青空	20	142200032	142200030	142200031
20240001	清凉公式	20	142200022	142200020	142200021
20250001	紫晶盛放	20	142200042	142200040	142200041
20260001	赤玫臻言	20	142200052	142200050	142200051
20270001	花影映爱	20	142200062	142200060	142200061
					
20310001	全糖蜜令	20	142300002	142300000	142300001
20320001	未来心跳	20	142300012	142300010	142300011
20330001	澈海之约	20	142300022	142300020	142300021
20340001	豹豹饱饱	20	142300032	142300030	142300031
20350001	聆听本真	20	142300052	142300050	142300051
20360001	危甜信号	20	142300042	142300040	142300041
20370001	深林微光	20	142300062	142300060	142300061
20380001	午夜轻触	20	142300072	142300070	142300071
20390001	寂夜覆纱	20	142300088	142300086	142300087
20310002	迅焰溢彩	20	142300092	142300090	142300091
20310003	DLC3.5米娅中式旗袍枪皮	20	142300102	142300100	142300101
					
20410001	治愈准则	20	142400002	142400000	142400001
20420001	星夜流沙	20	142400012	142400010	142400011
20430001	浅粉印象	20	142400022	142400020	142400021
20440001	软绒紧缚	20	142400032	142400030	142400031
20450001	经典气泡	20	142400042	142400040	142400041
20460001	DLC3.5悠游中式汉服枪皮	20	142400052	142400050	142400051
20470001	龙吟威光	20	142400062	142400060	142400061
					
20510001	恋染花途	20	142500003	142500001	142500002
20520001	碳酸假日	20	142500012	142500010	142500011
20530001	耀舞迎春	20	142500022	142500020	142500021
20540001	游云焕绮	20	142500032	142500030	142500031
20550001	绯霞诫律	20	142500042	142500040	142500041
20560001	白纱奏鸣	20	142500062	142500060	142500061
20570001	渊底警戒	20	142500072	142500070	142500071
20580001	红居覆霜	20	142500082	142500080	142500081
20590001	云游青霄	20	142500092	142500090	142500091
					
20710001	恒冰眷侣	20	142700003	142700001	142700002
20720001	心悦魔法	20	142700012	142700010	142700011
20730001	魅银华饰	20	142700022	142700020	142700021
20740001	玉盘寻鲜	20	142700032	142700030	142700031
					
20810001	终古比翼	20	142800003	142800001	142800002
20820001	灵跃心弦	20	142800012	142800010	142800011
					
20910001	千雪诉情	20	142900003	142900001	142900002
20920001	幻蝶之引	20	142900012	142900010	142900011
					
201010001	DLC3.5安卡希雅新换装花嫁枪皮	20	143000003	143000001	143000002
					
201110001	星羽倾慕	20	143100003	143100001	143100002
