字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
mission_type1	日常挑战	0	脉冲一期任务
mission_type2	高难特训	0	脉冲一期任务
mission_type3	累计成就	0	脉冲一期任务
mission1	强袭挑战·经典连战	0	脉冲一期任务
mission1_des	在【经典连战】关卡内单次消除运载单元%s个	0	脉冲一期任务
mission2	强袭挑战·核心守卫	0	脉冲一期任务
mission2_des	在【核心守卫】关卡内单次消除运载单元%s个	0	脉冲一期任务
mission3	强袭挑战	0	脉冲一期任务
mission3_des	在【任意】脉冲连袭关卡内单次消除运载单元%s个	0	脉冲一期任务
mission4	合作连袭·经典连战	0	脉冲一期任务
mission4_des	在【经典连战】关卡内小队单局总积分达到%s分	0	脉冲一期任务
mission5	合作连袭·核心守卫	0	脉冲一期任务
mission5_des	在【核心守卫】关卡内小队单局总积分达到%s分	0	脉冲一期任务
mission6	合作连袭	0	脉冲一期任务
mission6_des	在【任意】脉冲连袭关卡内小队单局总积分达到%s分	0	脉冲一期任务
mission7	清理轨道·经典连战	0	脉冲一期任务
mission7_des	在【经典连战】关卡内单局消除运载单元%s个	0	脉冲一期任务
mission8	清理轨道·核心守卫	0	脉冲一期任务
mission8_des	在【核心守卫】关卡内单局消除运载单元%s个	0	脉冲一期任务
mission9	清理轨道	0	脉冲一期任务
mission9_des	在【任意】脉冲连袭关卡内单局消除运载单元%s个	0	脉冲一期任务
mission10	战斗达人·经典连战	0	脉冲一期任务
mission10_des	在【经典连战】关卡内单局击败%s个敌人	0	脉冲一期任务
mission11	战斗达人·核心守卫	0	脉冲一期任务
mission11_des	在【核心守卫】关卡内单局击败%s个敌人	0	脉冲一期任务
mission12	战斗达人	0	脉冲一期任务
mission12_des	在【任意】脉冲连袭关卡内单局击败%s个敌人	0	脉冲一期任务
mission13	脉冲强者·一	0	脉冲一期任务
mission13_des	在脉冲连袭中，累计消除%s个运载单元	0	脉冲一期任务
mission13_2	脉冲强者·二	0	脉冲一期任务
mission13_2_des	在脉冲连袭中，累计消除%s个运载单元	0	脉冲一期任务
mission13_3	脉冲强者·三	0	脉冲一期任务
mission13_3_des	在脉冲连袭中，累计消除%s个运载单元	0	脉冲一期任务
mission13_4	脉冲强者·四	0	脉冲一期任务
mission13_4_des	在脉冲连袭中，累计消除%s个运载单元	0	脉冲一期任务
mission14	精锐标杆·一	0	脉冲一期任务
mission14_des	在脉冲连袭中，累计击败%s个敌人	0	脉冲一期任务
mission14_2	精锐标杆·二	0	脉冲一期任务
mission14_2_des	在脉冲连袭中，累计击败%s个敌人	0	脉冲一期任务
mission14_3	精锐标杆·三	0	脉冲一期任务
mission14_3_des	在脉冲连袭中，累计击败%s个敌人	0	脉冲一期任务
mission14_4	精锐标杆·四	0	脉冲一期任务
mission14_4_des	在脉冲连袭中，累计击败%s个敌人	0	脉冲一期任务
mission15	支援专家·一	0	脉冲一期任务
mission15_des	累计使用过%s种脉冲支援	0	脉冲一期任务
mission15_2	支援专家·二	0	脉冲一期任务
mission15_2_des	累计使用过%s种脉冲支援	0	脉冲一期任务
mission15_3	支援专家·三	0	脉冲一期任务
mission15_3_des	累计使用过%s种脉冲支援	0	脉冲一期任务
mission15_4	支援专家·四	0	脉冲一期任务
mission15_4_des	累计使用过%s种脉冲支援	0	脉冲一期任务
mission16	日常训练	0	脉冲一期任务
mission16_des	完成【任意】脉冲连袭关卡%s次	0	脉冲一期任务
mission17	周常训练	0	脉冲一期任务
mission17_des	完成【任意】脉冲连袭关卡%s次	0	脉冲一期任务
mission18	高难特训·一	0	脉冲一期任务
mission18_des	完成【经典连战】关卡%s次	0	脉冲一期任务
mission18_2	高难特训·二	0	脉冲一期任务
mission18_2_des	完成【经典连战】关卡%s次	0	脉冲一期任务
mission18_3	高难特训·三	0	脉冲一期任务
mission18_3_des	完成【经典连战】关卡%s次	0	脉冲一期任务
mission18_4	高难特训·四	0	脉冲一期任务
mission18_4_des	完成【经典连战】关卡%s次	0	脉冲一期任务
mission19	高难特训·一	0	脉冲一期任务
mission19_des	完成【核心守卫】关卡%s次	0	脉冲一期任务
mission19_2	高难特训·二	0	脉冲一期任务
mission19_2_des	完成【核心守卫】关卡%s次	0	脉冲一期任务
mission19_3	高难特训·三	0	脉冲一期任务
mission19_3_des	完成【核心守卫】关卡%s次	0	脉冲一期任务
mission19_4	高难特训·四	0	脉冲一期任务
mission19_4_des	完成【核心守卫】关卡%s次	0	脉冲一期任务
			
unlock	？？？	1000	
			
