字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
FunctionType1	区域轰炸	0	智械大类1
FunctionType2	蜂群打击	0	智械大类2
FunctionType3	钢铁防线	0	3.7赛季2智械大类3
			
ChipsType1	智械	0	智械搭配页签1
ChipsType2	芯片	0	智械搭配页签2
			
ChipsFilterNull	没有符合当前筛选条件的结果，请尝试切换筛选条件	0	筛选为空返回提示
			
ChipsType1_Tag1	智械	0	芯片筛选大类1Tag1
ChipsType1_Tag2	核心芯片	0	芯片筛选大类1Tag2
ChipsType1_Tag3	协同芯片	0	芯片筛选大类1Tag3
			
ChipsType2_Tag1	智械续航	0	芯片筛选大类2Tag1
ChipsType2_Tag2	角色增幅	0	芯片筛选大类2Tag2
ChipsType2_Tag3	智械增幅	0	芯片筛选大类2Tag3
ChipsType2_Tag4	物品破坏	0	芯片筛选大类2Tag4
ChipsType2_Tag5	控制强化	0	芯片筛选大类2Tag5
ChipsType2_Tag6	范围强化	0	芯片筛选大类2Tag6
			
ChipsGroup1	预设1	0	芯片组可保存预设组1
ChipsGroup2	预设2	0	芯片组可保存预设组2
ChipsGroup3	预设3	0	芯片组可保存预设组3
ChipsGroupUse	启用	0	芯片组激活使用
ChipsGroupUsed	启用中	0	芯片组正在使用
ChipsGroupUsedTip	已成功切换至【%s】	0	芯片组成功切换提示
			
SystemAutoEquipByLevel	智械库等级提升，已自动更新智械搭配	0	因智械库等级提升更新装备芯片
SystemAutoEquipByChips	检测到高级芯片迭代，已自动更新智械搭配	0	因分支芯片品质更新装备芯片
SystemAutoEquipName1	战术打击	0	系统推荐1标题
SystemAutoEquipDescription1	使用各种强力的区域轰炸进行火力覆盖，可以对范围内敌方目标造成有效伤害	0	系统推荐1描述
SystemAutoEquipName2	协同作战	0	系统推荐2标题
SystemAutoEquipDescription2	携带各类无人机共同战斗，对敌方目标进行精准攻击的同时，还可以为我方队员提供增幅	0	系统推荐2描述
SystemAutoEquipName3	钢铁防线	0	3.7新增系统推荐3标题
SystemAutoEquipDescription3	可长时间存在的炮台在部署后会自动攻击附近敌方目标，可根据该特性自由搭配，组合成各种临时小型阵地	0	3.7新增系统推荐3描述
			
ActivityPointsName	清理值获取说明	0	限时难度贡献值说明标题
ActivityPointsDescription	【高危禁区】开启期间，每次通关【险境边缘】可获得20点清理值，完成任意一个限时挑战后即可最多额外获得10点清理值；每次通关【高危禁区】可获得30点清理值，完成任意一个限时挑战后即可最多额外获得20点清理值	0	限时难度贡献值说明详情
ActivityPointsFinish	已完成	0	限时难度贡献值说明详情
			
BpUnlock	%s级	0	BP解锁提示
BpActivate	已激活【%s】，获得全域协议后将强化该智械凭证	0	BP激活提示
BPCheck	当前所选【%s】已完全解锁，仅供查看，切换页面后将重置奖励预览	0	满级BP查看提示
BpAutoActivate	当前的【%s】已满级，自动激活未满级的【%s】，相关奖励请前往智械库领取	0	系统自动切换提示
			
Bp1Name	智械凭证·区域轰炸	0	投放BP1名称
Bp1Description	远程呼叫世界树支援，打击指定区域，可造成大范围伤害。通过芯片调整智械功能，使其拥有额外效果；根据安装芯片的不同，智械拥有不同使用间隔和可使用上限	0	投放BP1说明
Bp2Name	智械凭证·蜂群打击	0	投放BP2名称
Bp2Description	作战用蜂群无人机战斗群，可在任务过程中部署无人机。无人机除了自动锁敌外，还可以为天启者们提供增幅。通过芯片调整无人机功能，增强其作战能力	0	投放BP2说明
Bp3Name	智械凭证·钢铁防线	0	投放BP3名称
Bp3Description	可长时间存在的炮台在部署后会自动攻击附近敌方目标，可根据该特性自由搭配，组合成各种临时小型阵地	0	投放BP3说明
			
			
Chips_SkillName1	毁灭爆破	0	智械技能1名称
Chips_SkillName1_use	毁灭爆破	0	智械技能1名称
Chips_SkillDescription1	投放<span color="#437AD4">1</>枚重型炸弹，可造成大范围爆炸，对敌方目标造成动能伤害，对我方队员造成一定比例的动能伤害	0	智械技能1说明
Chips_SkillName2	广域爆破	0	智械技能2名称
Chips_SkillName2_use	广域爆破	0	智械技能2名称
Chips_SkillDescription2	从标记点向前，投放小型炸弹，造成多次小范围爆炸，对敌方目标造成高热伤害，对我方队员造成一定比例的高热伤害	0	智械技能2说明
Chips_SkillName3	轨道光束	0	智械技能3名称
Chips_SkillName3_use	轨道光束	0	智械技能3名称
Chips_SkillDescription3	向标记点发射激光，在<span color="#437AD4">{1}</>秒内每秒对敌方目标造成动能伤害，对我方队员造成一定比例的动能伤害，激光可在一定范围内追踪敌方目标	0	智械技能3说明
Chips_SkillName4	哨戒无人机	0	智械技能4名称
Chips_SkillName4_use	哨戒无人机	0	智械技能4名称
Chips_SkillDescription4	部署<span color="#437AD4">1</>架哨戒无人机跟随我方队员，哨戒无人机使用机枪自动攻击周围的敌方目标，对敌方目标造成动能伤害。哨戒无人机在场时部署者射击伤害提升<span color="#437AD4">{1}%</>、射击速度提升<span color="#437AD4">{2}%</>	0	智械技能4说明
Chips_SkillName5	导弹无人机	0	智械技能5名称
Chips_SkillName5_use	导弹无人机	0	智械技能5名称
Chips_SkillDescription5	布置<span color="#437AD4">1</>架导弹无人机跟随我方队员，周期性发射导弹攻击敌方目标，对敌方目标造成动能伤害，导弹无人机在场一定时间后自动离场；导弹无人机在场时部署者最大生命提升<span color="#437AD4">{1}%</>，移动速度提升<span color="#437AD4">{2}%</>，耐力回复速度提升<span color="#437AD4">{3}%</>	0	智械技能5说明
Chips_SkillName6	焦点无人机	0	智械技能6名称
Chips_SkillName6_use	焦点无人机	0	智械技能6名称
Chips_SkillDescription6	部署<span color="#437AD4">1</>架焦点无人机，无人机锁定敌方目标后持续向目标方向攻击，对敌方目标造成动能伤害；焦点无人机在场时部署者常规技伤害提升<span color="#437AD4">{1}%</>、常规能量回复速度提升<span color="#437AD4">{2}%</>	0	智械技能6说明
Chips_SkillName7	电磁炮台	0	3.7新增智械技能7名称
Chips_SkillName7_use	电磁炮台	0	3.7新增智械技能7名称
