字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
Level1_Name	难度1	0	
Level1_Des	再获荣誉的机会	0	
Level2_Name	难度2	0	
Level2_Des	海岸与烽火	0	
Level3_Name	难度3	0	
Level3_Des	蜂蜜酒	0	
Level4_Name	难度4	0	
Level4_Des	宴会喧嚣	0	
Level5_Name	难度5	0	
Level5_Des	黑夜中的巨影	0	
Level6_Name	难度6	0	
Level6_Des	王的承诺	0	
Level7_Name	难度7	0	
Level7_Des	英雄！英雄！	0	
Level8_Name	难度8	0	
Level8_Des	湖中的女声	0	
Level9_Name	难度9	0	
Level9_Des	契约破裂	0	
Level10_Name	难度10	0	
Level10_Des	一个会犯错的凡人	0	
Defense_Mission	抵御%d波袭击	0	
8300037	减少20%受到的伤害	0	
8300013	换弹速度提升100%	0	
8300042	耐力上限提升50%	0	
8300003	暴击率增加20%	0	
8020903	技能冷却时间减少30%，射速提高40%	0	
8300012	弹夹容量提升30%	0	
8300005	暴击后会提高20%射击速度，持续5秒	0	
8300023	技能伤害提高20%	0	
8300038	使用技能后恢复5%生命值	0	
8300034	使用技能后，减少50%受到伤害，持续2秒	0	
8300004	暴击伤害增加30%	0	
8300019	换弹后第一发子弹的伤害增加30%	0	
8410026	爆发能量为100时，暴击伤害提升80%	0	
8410028	使用常规技能后，射击速度提升30%，持续5秒	0	
8410007	暴击伤害提升50%	0	
8410003	暴击率提升25%	0	
8410016	电击类伤害提升60%	0	
8510004	使用技能后，当前生命回复最大生命3%，触发间隔3秒	0	
8510006	动能类型伤害提升35%	0	
8630001	技能造成伤害后，射击伤害提升40%，持续5秒	0	
8630002	射击命中目标后，有15%的概率攻击力提升2%，持续5秒，该效果最多叠加20层	0	
8630003	射击命中目标后，会为目标添加1层【缺影】印记，使其防御力降低4%，持续3秒，最多叠加5层	0	
8510011	【痛伤】【灼烧】【冻伤】【电涌】【失神】效果伤害提升200%	0	
8510012	支援技造成伤害后使敌方目标受到的技能伤害提升50%，持续3秒，至多叠加4层	0	
Def_Chal_811_All	利用爆破桶同时击败%d个目标	0	
Def_Chal_812	通过非瞄准射击击败目标	0	
Def_Chal_813	使用爆发技同时击败%d个目标	0	
Def_Chal_822	通过攻击弱点部位击败目标	0	
Def_Chal_823	使用爆发技同时击败%d个目标	0	
Def_Chal_912	近距离（10米内）击败目标	0	
Def_Chal_913	使用任意技能同时击败%d个目标	0	
Def_Chal_811_All_UI	利用爆破桶同时击败3个目标	0	
Def_Chal_812_UI	通过非瞄准射击击败50个目标	0	
Def_Chal_813_UI	使用爆发技同时击败4个目标	0	
Def_Chal_822_UI	通过攻击弱点部位击败30个目标	0	
Def_Chal_823_UI	使用爆发技同时击败4个目标	0	
Def_Chal_912_UI	近距离（10米内）击败60个目标	0	
Def_Chal_913_UI	使用任意技能同时击败4个目标	0	
Def_Chal_15	通过非瞄准射击击败目标	0	
Def_Chal_15_UI	通过非瞄准射击击败50个目标	0	
Def_Chal_16	处于移动状态时击败目标	0	
Def_Chal_16_UI	处于移动状态时击败50个目标	0	
Def_Chal_17	连续击败所有目标	0	DLC22死斗新增挑战
Def_Chal_18	连续击败目标达到%d	0	DLC23死斗新增挑战
Def_Chal_18_UI	连续击败目标达到100	0	DLC23死斗新增挑战（固定文本）
craft1	远距离(15米外)击败目标	0	
craft2	近距离（10米内）击败目标	0	
craft3	通过非瞄准射击击败目标	0	
craft4	瞄准射击击败	0	
craft5	通过攻击弱点部位击败目标	0	
craft6	以高热类型伤害击败目标	0	
craft7	以低温类型伤害击败目标	0	
craft8	不移动的前提下击败目标	0	
craft9	处于移动状态时击败目标	0	
craft10	利用爆破桶击败目标	0	
craft11	使用爆发技击败目标	0	
craft12	使用任意技能击败目标	0	
craft13	以动能类型伤害击败目标	0	
