字符串索引	中文简体	1=临时文案  0和不填都=正式文案	//备注
Key	zh_CN	disable	Remark
card_name01	健康配餐	0	DLC2.6纷愿绮梦系统相关文本
card_name02	枸杞饮品	0	DLC2.6纷愿绮梦系统相关文本
card_name03	能量饮料	0	DLC2.6纷愿绮梦系统相关文本
card_name04	浓缩咖啡	0	DLC2.6纷愿绮梦系统相关文本
card_name05	西装外套	0	DLC2.6纷愿绮梦系统相关文本
card_name06	西装裤	0	DLC2.6纷愿绮梦系统相关文本
card_name07	西装领带	0	DLC2.6纷愿绮梦系统相关文本
card_name08	分析员墨镜	0	DLC2.6纷愿绮梦系统相关文本
card_name09	约会日	0	DLC2.6纷愿绮梦系统相关文本
card_name10	安眠枕	0	DLC2.6纷愿绮梦系统相关文本
card_name11	分析员手枪	0	DLC2.6纷愿绮梦系统相关文本
card_name12	钱包	0	DLC2.6纷愿绮梦系统相关文本
card_name13	终端	0	DLC2.6纷愿绮梦系统相关文本
card_name14	夜魇骑士	0	DLC2.6纷愿绮梦系统相关文本
card_name15	点赞	0	DLC2.6纷愿绮梦系统相关文本
card_name16	超级点赞	0	DLC2.6纷愿绮梦系统相关文本
card_name17	基地通行密钥	0	DLC2.6纷愿绮梦系统相关文本
card_name18	再来一瓶	0	DLC2.6纷愿绮梦系统相关文本
card_name19	荧光棒	0	DLC2.6纷愿绮梦系统相关文本
card_name20	麦克风	0	DLC2.6纷愿绮梦系统相关文本
card_name21	小提琴	0	DLC2.6纷愿绮梦系统相关文本
card_name22	4分音符	0	DLC2.6纷愿绮梦系统相关文本
card_name23	16分音符	0	DLC2.6纷愿绮梦系统相关文本
card_name24	八音盒	0	DLC2.6纷愿绮梦系统相关文本
card_name25	乐谱	0	DLC2.6纷愿绮梦系统相关文本
card_name26	演出服饰	0	DLC2.6纷愿绮梦系统相关文本
card_name27	8分音符	0	DLC2.6纷愿绮梦系统相关文本
card_name28	聚光灯	0	DLC2.6纷愿绮梦系统相关文本
card_name29	效果器	0	DLC2.6纷愿绮梦系统相关文本
card_name30	高音谱号	0	DLC2.6纷愿绮梦系统相关文本
card_name31	低音谱号	0	DLC2.6纷愿绮梦系统相关文本
card_name32	口琴	0	DLC2.6纷愿绮梦系统相关文本
card_name33	舞台音响	0	DLC2.6纷愿绮梦系统相关文本
card_name34	游戏币	0	DLC2.6纷愿绮梦系统相关文本
card_name35	跳舞机	0	DLC2.6纷愿绮梦系统相关文本
card_name36	游戏奖杯	0	DLC2.6纷愿绮梦系统相关文本
