字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
10000_name	启程集结	0	
SpecialProtect_detaildes	初报到专属福利： <span color="#FF8F47">10连8折</>\n<span color="#FF8F47">%s次</>共鸣内必出<span color="#FF8F47">橙色</>品质角色	0	
			
common_one	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」「<span color="#FF8F47">%s</>」中进行单次共鸣？	0	
common_ten	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」「<span color="#FF8F47">%s</>」中进行十次共鸣？	0	
			
common_one_100	是否消耗「<span color="#0000FF">%s*%s</>」在「<span color="#0000FF">%s</>」「<span color="#0000FF">%s</>」中进行单次共鸣？	0	
common_ten_100	是否消耗「<span color="#0000FF">%s*%s</>」在「<span color="#0000FF">%s</>」「<span color="#0000FF">%s</>」中进行十次共鸣？	0	
			
			
ProtectType1	特选共鸣	0	
ProtectType2	标准共鸣	0	
			
common_one_resident	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」进行单次共鸣？		
common_ten_resident	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」进行十次共鸣？		
			
			
selectUpRole1	请选择2个角色作为定向共鸣的预选角色	0	
selectUpRole2	是否确认选择「<span color="#FF8F47">%s</>」与「<span color="#FF8F47">%s</>」为定向共鸣的预选角色？	0	
selectUpRole3	<span color="#FF8F47">*可同时选择2个角色作为预选，后续可随时在2个预选间切换选定的定向共鸣角色，且共鸣累积次数保留</>	0	
			
changeUpRole1	是否切换「<span color="#FF8F47">%s</>」为定向共鸣角色？	0	
changeUpRole2	<span color="#FF8F47">*定向共鸣角色可在2名预选间随时切换，且共鸣累积次数保留</>	0	
			
selectUpWeapon1	请选择2个武器作为定向共鸣的预选武器	0	
selectUpWeapon2	是否确认选择「<span color="#FF8F47">%s</>」与「<span color="#FF8F47">%s</>」为定向共鸣的预选武器？	0	
selectUpWeapon3	<span color="#FF8F47">*可同时选择2个武器作为预选，后续可随时在2个预选间切换选定的定向共鸣武器，且共鸣累积次数保留</>	0	
			
changeUpWeapon1	是否切换「<span color="#FF8F47">%s</>」为定向共鸣武器？	0	
changeUpWeapon2	<span color="#FF8F47">*定向共鸣武器可在2名预选间随时切换，且共鸣累积次数保留</>	0	
			
10000_detailtitle1	共鸣说明	0	
10000_detaildes11	【启程集结】为永久开放的共鸣活动，分析员可在本活动中共鸣获得非限定角色与武器。	0	
10000_detaildes12	【启程集结】存在共鸣次数上限，最高为50次，共鸣50次后本共鸣活动将关闭。	0	
10000_detaildes13	【启程集结】共鸣活动需要消耗【天启者共鸣凭证】进行共鸣，分析员可以使用【数据金】购入【天启者共鸣凭证】。		
10000_detaildes14	【启程集结】共鸣活动仅可进行十连共鸣，且只需消耗8个【天启者共鸣凭证】。		
10000_detaildes15	【启程集结】每日共鸣次数上限为9999次。		
10000_detailtitle2	共鸣规则	0	
10000_detaildes21	每进行10次共鸣，必定获得一位紫色或以上品质的角色。	0	
10000_detaildes22	最多50次共鸣必获得橙色品质角色。	0	
10000_detaildes23	通过共鸣获得蓝色品质武器时，会额外获得25个配给识别码。使用识别码可在【循环中心】商店兑换各种道具。		
10000_detaildes24	【启程集结】的共鸣计数与其他共鸣活动的共鸣计数互相独立，互不影响。		
10000_detaildes25	当未达到必出次数，或未触发概率提升规则时，所有概率均适用于基础出率，且基础出率被所有角色或武器等分。		
10000_detaildes26	当橙色品质角色及武器和紫色品质角色及武器保底次数重合的时候，优先生效橙色品质角色及武器的保底次数，紫色品质角色及武器保底次数将会顺延至下一次。		
10000_detailtitle3	重复获得角色	0	
10000_detaildes31	通过任意途径重复获得角色时，将转化为对应角色提取物和嘉奖识别码。	0	
10000_detaildes32	紫色品质角色转化为30个角色提取物和5个嘉奖识别码。	0	
10000_detaildes33	橙色品质角色转化为60个角色提取物和25个嘉奖识别码。	0	
