字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
level00ep01_boss_name	海拉	0	
level00ep01_boss_desc	自始祖泰坦头部降生	0	
level00ep01_scence_name	逃生舱降落地	0	
level00ep01_scence_desc	深水区城区	0	
level0108ep01_boss_name	二型验证机甲	0	
level0108ep01_boss_desc	被盗的世界树重机甲	0	
level0108ep01_scence_name	广场	0	
level0108ep01_scence_desc	缓冲区北部外围	0	
level0212ep01_boss_name	波伏娃13	0	
level0212ep01_boss_desc	人工智能傀儡系统	0	
level0212ep01_scence_name	布里希嘉曼	0	
level0212ep01_scence_desc	散布污染的神秘装置	0	
level0312ep01_boss_name	“野牛”约瑟夫	0	
level0312ep01_boss_desc	郊狼机甲部队教官	0	
level0312ep01_scence_name	“狼王”领地	0	
level0312ep01_scence_desc	缓冲区第三隔离墙	0	
level0412ep01_boss_name	尤弥尔	0	
level0412ep01_boss_desc	始祖泰坦	0	
level0412ep01_scence_name	高楼顶部	0	
level0412ep01_scence_desc	污染区第三隔离墙附近	0	
level0512ep01_boss_name	加文	0	
level0512ep01_boss_desc	降临团净化官	0	
level0512ep01_scence_name	地下讲坛	0	
level0512ep01_scence_desc	缓冲区降临团领地	0	
level0612ep01_boss_name	海拉	0	
level0612ep01_boss_desc	自始祖泰坦头部降生	0	
level0612ep01_scence_name	高架桥下	0	
level0612ep01_scence_desc	污染区城区	0	
level0712ep01_boss_name	萨特	0	
level0712ep01_boss_desc	降临团主事	0	
level0712ep01_scence_name	英灵之路	0	
level0712ep01_scence_desc	天楼降临团仪式场所	0	
level0812ep01_boss_name	刻耳柏洛斯	0	
level0812ep01_boss_desc	逐光者首领无人机	0	
level0812ep01_scence_name	楼间平台	0	
level0812ep01_scence_desc	缓冲区天楼高区	0	
level0912ep01_boss_name	“秃鹫”爱思特	0	
level0912ep01_boss_desc	郊狼激进派代表	0	
level0912ep01_scence_name	庚号大门前	0	
level0912ep01_scence_desc	缓冲区外围隔离墙	0	
level1012ep01_boss_name	尤弥尔	0	
level1012ep01_boss_desc	始祖泰坦	0	
level1012ep01_scence_name	高楼顶部	0	
level1012ep01_scence_desc	深水区泰坦城	0	
leveldlc1ep01_boss_name	未知泰坦	0	
leveldlc1ep01_boss_desc	降临于明灯节的灾祸	0	
leveldlc1ep01_scence_name	燃灯台	0	
leveldlc1ep01_scence_desc	泰古通达零区分部	0	
leveldlc2ep01_boss_name	威尔·安德森	0	
leveldlc2ep01_boss_desc	跳棋小队队长	0	
leveldlc2ep01_scence_name	核心实验室	0	
leveldlc2ep01_scence_desc	深水区第五研究所	0	
leveldlc3ep01_boss_name	透墨索斯	0	
leveldlc3ep01_boss_desc	派对型机器人	0	
leveldlc3ep01_scence_name	遗迹区	0	
leveldlc3ep01_scence_desc	雅卢岛	0	
leveldlc4ep01_boss_name	约瑟夫·顽骨	0	
leveldlc4ep01_boss_desc	炽灼燃烧的郊狼教官	0	
leveldlc4ep01_scence_name	奥斯维尔钢铁厂	0	
leveldlc4ep01_scence_desc	罹难者峡谷	0	
leveldlc5ep01_boss_name	尼亚尔	0	
leveldlc5ep01_boss_desc	赫瓦雷纳的刽子手	0	
leveldlc5ep01_scence_name	纪念碑前	0	
leveldlc5ep01_scence_desc	巴伦支仪器地堡	0	
leveldlc5ep02_boss_name	凯茜娅·克莱因	0	
leveldlc5ep02_boss_desc	再度出现的佣兵	0	
leveldlc5ep02_scence_name	舞会大厅	0	
leveldlc5ep02_scence_desc	奥尔洛夫公馆	0	
leveldlc6ep01_boss_name	耶洛沙之泪	0	
leveldlc6ep01_boss_desc	悬于雪原的泰坦	0	
leveldlc6ep01_scence_name	发射塔内	0	
leveldlc6ep01_scence_desc	苏兹达尔火箭基地	0	
leveldlc7ep01_boss_name	二律背反的盟约	0	
leveldlc7ep01_boss_desc	纯白哀歌	0	
leveldlc7ep01_scence_name	永恒乐土	0	
leveldlc7ep01_scence_desc	零区地下	0	
leveldlc8ep01_boss_name	派·纯净	0	
leveldlc8ep01_boss_desc	盗星者	0	
leveldlc8ep01_scence_name	崩塌世界	0	
leveldlc8ep01_scence_desc	汉诺塔内	0	
leveldlc9ep01_boss_name	初诞的沃坦	0	
leveldlc9ep01_boss_desc	神之暗面	0	
leveldlc9ep01_scence_name	城心	0	
leveldlc9ep01_scence_desc	新恒提罗	0	
leveldlc10ep01_boss_name	极夜幽影	0	
leveldlc10ep01_boss_desc	沉醉的伪神	0	
leveldlc10ep01_scence_name	观景大厅	0	
leveldlc10ep01_scence_desc	沉没的离岛	0	
