字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
scene	互动情景·轻愈	0	
scene_use	通过供应站购买获得	0	
scene_des	睁开些许沉重的眼睑，黄昏的淡淡暖光包裹着一个熟悉的身影，她慢慢靠近，轻轻耳语，接下来的时间都属于彼此。	0	
			
scene01	互动情景·爱凝恒约	0	
scene01_use	通过供应站购买获得	0	
scene01_des	窗边的她似乎还有些拘谨，这是她第一次的盛装，也是她唯一且永恒的誓言，无需多言，她眼里全是长久积累的默契和无可替代的爱意。	0	
			
scene02	互动情景·恋绽恒约	0	
scene02_use	通过供应站购买获得	0	
scene02_des	略显庄严的氛围被她那一抹橙红划破，她一遍又一遍地要求夸奖和表达爱意，丝毫不掩饰积压已久的情感，她爱得坦荡，恋得热烈。	0	
			
scene03	互动情景·绚洋	0	
scene03_use	通过供应站购买获得	0	
scene03_des	湿润的海风吹抚着她深色的长发，夕阳入海的美景也不及眼前的她动人，她说等夜深后有礼物相赠，会是什么呢？	0	
			
scene04	互动情景·婪夜	0	
scene04_use	通过供应站购买获得	0	
scene04_des	夜幕已至，她递过来刚倒满的玻璃杯，杯壁上凝结的水珠滑落到她的手臂上，顺着光滑的肌肤流到地毯上，她凑上来，问要不要继续……	0	
			
scene05	互动情景·红妆恒约	0	
scene05_use	通过供应站购买获得	0	
scene05_des	她抚琴示爱，提笔书情，一如平日里的优雅动人，可当夜色渐深，她竟端起杯子一饮而尽，急不可待地凑近说，当行应尽之事了……	0	
			
scene06	互动情景·暖夜恒约	0	
scene06_use	通过供应站购买获得	0	
scene06_des	传统的仪式有些漫长，但经过谨慎的预习，今天她的表现堪称完美，卸下贵重的饰品后，她恢复平时的随性，直接靠上来说，接下来交给你了……	0	
			
scene07	互动情景·秘林	0	2.7妮塔互动
scene07_use	通过供应站购买获得	0	2.7妮塔互动
scene07_des	她从树上跃下，兴奋地诉说着她在周围有了好多新发现，她迫不及待走上前来牵手，说要去个好地方，想在那里度过最有趣的独处时光。	0	2.7妮塔互动
			
scene08	互动情景·星澜恒约	0	3.0凯西娅互动
scene08_use	通过供应站购买获得	0	3.0凯西娅互动
scene08_des	驾车来到目的地，被承包的乐园只为眼前她亮起灯光，平日里游刃有余，此时敞开心扉的她，脸颊竟泛起了薄红……	0	3.0凯西娅互动
			
scene09	互动情景·光馨恒约	0	3.0苔丝互动
scene09_use	通过供应站购买获得	0	3.0苔丝互动
scene09_des	阳光下格外鲜艳的草坪上，洁白娇小的身影在忙碌着，直到听见熟悉的脚步声，她欣喜地转身跃起，迎来了这场梦幻魔术秀的唯一观众……	0	3.0苔丝互动
			
scene10	互动情景·蜜海	0	3.2芬妮泳装互动
scene10_use	通过供应站购买获得	0	3.2芬妮泳装互动
scene10_des	为了给安定的甜蜜增加一些刺激，她承包了游艇，准备了浪漫的度假流程，在跃入泳池的那一刻，她的身姿一如既往耀眼，她的爱一如既往热烈。	0	3.2芬妮泳装互动
			
scene11	互动情景·澈心	0	3.2瑟瑞斯泳装互动
scene11_use	通过供应站购买获得	0	3.2瑟瑞斯泳装互动
scene11_des	一向懂事谦让的她，难得主动争取到二人独处时间，她满心欢喜地为沐浴做准备，期待的心情随着她轻快的哼歌声传递过来。	0	3.2瑟瑞斯泳装互动
			
scene13	互动情景·绘时恒约	0	DLC3.5安卡希雅互动
scene13_use	通过供应站购买获得	0	DLC3.5安卡希雅互动
scene13_des	堆满宝藏的最终关卡，是她精心设计的游戏结局，经历无数次孤独的胜利后，她终于等来了一同迎接美满结局的挚爱之人。	0	DLC3.5安卡希雅互动
			
			
buttun01	故事	0	
buttun02	心诉	0	
buttun03	恒约	0	
			
tips01	需完成心诉事件后，才能开启恒约事件哦~	0	
			
Confession_17a_02_Standby01_Options_01	你好像很紧张？	0	
Confession_17a_02_Standby01_Options_02	怎么一副被吓到的样子？	0	
Confession_17a_02_Standby02_Options_01	蛋糕无所谓，重要的是你。	0	
Confession_17a_02_Standby02_Options_02	不用道歉。	0	
			
Confession_15b_02_Standby01_Options_01	很惊讶？	0	
Confession_15b_02_Standby01_Options_02	不像我会做的事吗？	0	
Confession_15b_02_Standby02_Options_01	这代表把心交给我吗？	0	
Confession_15b_02_Standby02_Options_02	我一定会好好珍惜的。	0	
			
Game_guide_girl008c_02_SC01_B_01	连续喷射	0	3.2芬妮泳装互动
Game_guide_girl008c_02_SC01_B_02	停止喷射	0	3.2芬妮泳装互动
			
scene12	互动情景·执欲恒约	0	3.5茉莉安恒约互动
scene12_use	通过供应站购买获得	0	3.5茉莉安恒约互动
scene12_des	没有过度奢华夺目的室内装饰，也摒弃了繁琐的仪式流程，她所期望的只属于二人的仪式，是将自己全部交付，舍弃一切身份，只以自己的名义。	0	3.5茉莉安恒约互动
			
Confession_05c_02_Standby01_Options_01	当然不会。	0	DLC3.5茉莉安恒约互动
Confession_05c_02_Standby01_Options_02	为什么会有这个担忧？	0	DLC3.5茉莉安恒约互动
Confession_05c_02_Standby02_Options_01	我们的感情只能被爱定义。	0	DLC3.5茉莉安恒约互动
