字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
DesignationName1_1	绝望的温度	0	通用结算-总伤害占比评价Tag
DesignationName1_2	火线精英Ⅱ	0	通用结算-总伤害占比评价Tag
DesignationName1_3	火线精英Ⅲ	0	通用结算-总伤害占比评价Tag
DesignationName1_4	火线精英Ⅳ	0	通用结算-总伤害占比评价Tag
DesignationName1_5	火线精英Ⅴ	0	通用结算-总伤害占比评价Tag
			
DesignationName2_1	游医Ⅰ	0	通用结算-累计治疗量评价Tag
DesignationName2_2	游医Ⅱ	0	通用结算-累计治疗量评价Tag
DesignationName2_3	游医Ⅲ	0	通用结算-累计治疗量评价Tag
DesignationName2_4	游医Ⅳ	0	通用结算-累计治疗量评价Tag
DesignationName2_5	游医Ⅴ	0	通用结算-累计治疗量评价Tag
			
DesignationName3_1	极致一击Ⅰ	0	通用结算-单次技能伤害Tag
DesignationName3_2	极致一击Ⅱ	0	通用结算-单次技能伤害Tag
DesignationName3_3	极致一击Ⅲ	0	通用结算-单次技能伤害Tag
DesignationName3_4	极致一击Ⅳ	0	通用结算-单次技能伤害Tag
DesignationName3_5	极致一击Ⅴ	0	通用结算-单次技能伤害Tag
			
DesignationName4_1	贯星Ⅰ	0	通用结算-单次射击伤害Tag
DesignationName4_2	贯星Ⅱ	0	通用结算-单次射击伤害Tag
DesignationName4_3	贯星Ⅲ	0	通用结算-单次射击伤害Tag
DesignationName4_4	贯星Ⅳ	0	通用结算-单次射击伤害Tag
DesignationName4_5	贯星Ⅴ	0	通用结算-单次射击伤害Tag
			
DesignationName8	技力均衡III	0	暂时移除的Tag
DesignationName9	技力均衡II	0	暂时移除的Tag
DesignationName10	技力均衡I	0	暂时移除的Tag
DesignationName11	爆发气氛III	0	暂时移除的Tag
DesignationName12	爆发气氛II	0	暂时移除的Tag
DesignationName13	爆发气氛I	0	暂时移除的Tag
DesignationName14	厚心III	0	暂时移除的Tag
DesignationName15	厚心II	0	暂时移除的Tag
DesignationName16	厚心I	0	暂时移除的Tag
			
DesignationDes1	总伤害	0	
DesignationDes2	治疗量	0	
DesignationDes3	常规技使用次数	0	
DesignationDes4	爆发技使用次数	0	
DesignationDes5	受到伤害总量	0	
DesignationDes6	最高技能伤害	0	
DesignationDes7	最高射击伤害	0	
DesignationDes8	伤害占比	0	
CombineHelpDes1	火线突击已开启，可挑战各类随机关卡	0	
CombineHelpDes2	部分关卡会有概率出现紧急任务和突发事件	0	
CombineHelpDes3	成功挑战关卡和完成突击日志中的任务会获得突击经验，可提升突击等级获得相应奖励	0	
CombineHelpDes4	当无法顺利挑战关卡时，可尝试让试用队员上阵	0	
RotateFailTip	关卡切换失败，请重新进入	0	
confirmnightmare	本关卡难度较高，敌方目标全体战斗能力大幅提升，请确认是否进行挑战？	0	
			
			
Forbidzone_WeaponName1	轨道光束	0	
Forbidzone_WeaponDesc1	引导巨大激光束射向指定坐标，持续对敌方目标造成伤害，具备一定追踪能力，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	
Forbidzone_WeaponName2	重烈爆破	0	
Forbidzone_WeaponDesc2	空投1枚重型炸弹，产生1次大范围爆炸，对敌方目标造成大量伤害，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	
Forbidzone_WeaponName3	集束爆破	0	
Forbidzone_WeaponDesc3	往一定范围随机多次投放小型炸弹，造成多次小范围爆炸，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	
Forbidzone_WeaponName4	广面爆破	0	
Forbidzone_WeaponDesc4	从信号点向前，按排投放小型炸弹，造成多次小范围爆炸，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	
Forbidzone_WeaponName5	模拟重力	0	
Forbidzone_WeaponDesc5	在信号点持续制造模拟引力，对敌方目标施加眩晕效果，每2秒对其造成1次真实伤害，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	
Forbidzone_WeaponName6	机枪塔	0	
Forbidzone_WeaponDesc6	布置1台拥有一定弹药数量的可操控机枪塔，存在3分钟后会自动撤除	0	
Forbidzone_WeaponName7	榴弹发射台	0	
Forbidzone_WeaponDesc7	布置1台拥有一定弹药数量的可操控榴弹发射台，存在3分钟后会自动撤除	0	
Forbidzone_WeaponName8	综合补给瓶	0	
Forbidzone_WeaponDesc8	布置1台综合补给器，每名队友均可使用1次综合补给瓶：回复一定生命和50爆发能量，并重置爆发技使用间隔	0	
Forbidzone_WeaponName9	能量	0	
Forbidzone_WeaponDesc9	布置1台能量瓶补给器，存在3分钟后会自动撤除，每名队友均可使用1次能量瓶	0	
Forbidzone_WeaponName10	弹药补给	0	
Forbidzone_WeaponDesc10	布置1台弹药补给装置，范围内队员射击不消耗子弹且射击伤害提升，持续一定时间	0	
Forbidzone_WeaponName11	无缝防护	0	
Forbidzone_WeaponDesc11	布置1台防护罩生成装置，防护罩范围内队员获得无敌状态，持续一定时间	0	
			
Forbidzone_WeaponName21	余焰爆破	0	DLC2.4禁区协议二期
Forbidzone_WeaponDesc21	空投1枚余焰炸弹，对敌方目标造成大量伤害，并施加一段时间的灼烧效果，<span color="#d68238">但也会对我方队员造成一定伤害和灼烧效果</>	0	DLC2.4禁区协议二期
Forbidzone_WeaponName22	电流爆破	0	DLC2.4禁区协议二期
Forbidzone_WeaponDesc22	从空中发生电磁爆破，对范围内目标造成伤害，并施加一段时间的麻痹效果，<span color="#d68238">但也会对我方队员造成一定伤害和麻痹效果</>	0	DLC2.4禁区协议二期
Forbidzone_WeaponName23	重火投射	0	DLC2.4禁区协议二期
Forbidzone_WeaponDesc23	对一定范围内进行多次重枪扫射，每次都可造成小范围爆炸，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	DLC2.4禁区协议二期
Forbidzone_WeaponName24	精准光束	0	DLC2.4禁区协议二期
Forbidzone_WeaponDesc24	激光束自动精准锁定并攻击单个敌方目标，可共进行5次攻击	0	DLC2.4禁区协议二期
Forbidzone_WeaponName25	自动射击台	0	DLC2.4禁区协议二期
Forbidzone_WeaponDesc25	布置1台自动射击台，存在一定时间后会自动撤除	0	DLC2.4禁区协议二期
Forbidzone_WeaponName26	无人机护卫	0	DLC2.4禁区协议二期
Forbidzone_WeaponDesc26	布置1架无人机护卫跟随自身，可自动攻击周围敌方目标，存在一定时间后会自动撤除	0	DLC2.4禁区协议二期
Forbidzone_WeaponName27	爆破布雷	0	DLC2.4禁区协议二期
Forbidzone_WeaponDesc27	散落布置多个地雷，被敌方触碰后会爆炸并造成伤害，<span color="#d68238">但我方队员触碰也会引爆地雷并受到一定伤害</>	0	DLC2.4禁区协议二期
Forbidzone_WeaponName28	模拟黑洞	0	DLC2.4禁区协议二期
Forbidzone_WeaponDesc28	在指定地点布置模拟黑洞，持续吸附敌方目标并造成伤害，<span color="#d68238">但也会吸附我方队员并造成一定伤害</>	0	DLC2.4禁区协议二期
			
Forbidzone_WeaponName29	腐蚀气弹	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc29	在指定区域投下腐蚀气体弹，该气体可持续对敌方目标造成伤害，并使范围内目标受到的伤害提升，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponName30	移动重火	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc30	对一定范围内进行多次重枪扫射，每次都可造成小范围爆炸，且可缓慢向前推进，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponName31	空投燃尘弹	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc31	从空中投下，在矩形范围内产生多个燃烧区域，对范围内目标持续造成伤害，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponName32	切割光束网	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc32	布置一面可存在一定时间的切割光束网，对穿过的目标造成伤害并施加麻痹效果，<span color="#d68238">但也会对我方队员造成一定伤害</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponName33	无人机炮兵	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc33	布置1架无人机炮兵，可自动攻击周围敌方目标，存在一定时间后会自动撤除	0	DLC2.6禁区协议三期
Forbidzone_WeaponName34	高效补给瓶	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc34	布置1台高效能量瓶补给器，队员拾取高效能量瓶后可回复一定生命，并刷新该智械以外其他所有智械的使用间隔	0	DLC2.6禁区协议三期
Forbidzone_WeaponName35	嘲讽罐罐	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc35	嘲讽罐罐会强制一定范围内敌方攻击自身，嘲讽罐罐的生命消耗完或是持续时间结束会直接消失	0	DLC2.6禁区协议三期
Forbidzone_WeaponName36	激光发射台	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc36	布置1台有一定弹药数的可操控激光发射台	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc37	榴弹发射台发射的榴弹爆炸范围扩大	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc38	当榴弹发射台单次攻击命中的目标数量少于2，则该次伤害提升	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc39	重烈爆破的部署时间减少3秒	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc40	重烈爆破的爆炸伤害提升	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc41	广面爆破的爆炸波次增加1次	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc42	广面爆破的爆炸波次间隔减少	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc43	队员进入腐蚀气体范围内时可以持续恢复生命	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc44	腐蚀气弹施加与敌方目标的易伤效果提升	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc45	高效补给瓶为拾取者回复的生命提升至50%	0	DLC2.6禁区协议三期
Forbidzone_WeaponDesc46	高效补给瓶可为拾取者回复50%的爆发能量	0	DLC2.6禁区协议三期
			
Forbidzone_WeaponSpEffect1	持续时间：<span color="#3c3d48">%s秒</>	0	
Forbidzone_WeaponSpEffect2	轰炸时间：<span color="#3c3d48">%s秒</>	0	
Forbidzone_WeaponSpEffect3	机枪子弹：<span color="#3c3d48">%s颗</>	0	
Forbidzone_WeaponSpEffect4	榴弹子弹：<span color="#3c3d48">%s颗</>	0	
Forbidzone_WeaponSpEffect5	生命回复百分比：<span color="#3c3d48">%s%%</>	0	
Forbidzone_WeaponSpEffect6	回复百分比：<span color="#3c3d48">%s%%</>	0	
Forbidzone_WeaponSpEffect7	轰炸波次：<span color="#3c3d48">%s次</>	0	
Forbidzone_WeaponSpEffect8	智械伤害：<span color="#3c3d48">%s%%</>	0	
Forbidzone_WeaponSpEffect9	<span color="#d68238">榴弹发射台发射的榴弹爆炸范围扩大</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect10	<span color="#d68238">当榴弹发射台单次攻击命中的目标数量少于2，则该次伤害提升</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect11	<span color="#d68238">重烈爆破的部署时间减少3秒</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect12	<span color="#d68238">重烈爆破的爆炸伤害提升</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect13	<span color="#d68238">广面爆破的爆炸波次增加1次</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect14	<span color="#d68238">广面爆破的爆炸波次间隔减少</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect15	<span color="#d68238">队员进入腐蚀气体范围内时可以持续恢复生命</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect16	<span color="#d68238">腐蚀气弹施加与敌方目标的易伤效果提升</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect17	<span color="#d68238">高效补给瓶为拾取者回复的生命提升至50%%</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect18	<span color="#d68238">高效补给瓶可为拾取者回复50%%的爆发能量</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect19	激光储能：<span color="#3c3d48">%s</>	0	DLC2.6禁区协议三期
Forbidzone_WeaponSpEffect20	<span color="#d68238">激光发射台的攻击无法穿透目标，但伤害得到一定提升</>	0	DLC3.0禁区协议四期
Forbidzone_WeaponSpEffect21	<span color="#d68238">无人机炮兵每次攻击会锁定多个敌方目标，但伤害会小幅降低</>	0	DLC3.0禁区协议四期
Forbidzone_WeaponSpEffect22	<span color="#d68238">使用机枪塔击败方目标会使机枪塔的伤害提升，该效果最多叠加至10层</>	0	DLC3.0禁区协议四期
Forbidzone_WeaponSpEffect23	<span color="#d68238">使用机枪塔命中同一目标会使机枪塔的伤害提升，该效果最多叠加至10层</>	0	DLC3.0禁区协议四期
Forbidzone_WeaponSpEffect24	<span color="#d68238">模拟黑洞的生效范围扩大</>	0	DLC3.0禁区协议四期
Forbidzone_WeaponSpEffect25	<span color="#d68238">模拟黑洞会对敌方目标施加易伤效果</>	0	DLC3.0禁区协议四期
			
Forbidzone_SkillName1	连战首领	0	DLC2.6禁区协议三期
Forbidzone_SkillDesc1	需要击败多个强大的敌方首领	0	DLC2.6禁区协议三期
Forbidzone_SkillName2	据点争夺	0	DLC2.6禁区协议三期
Forbidzone_SkillDesc2	占领据点，并击败各个方向来袭的敌方	0	DLC2.6禁区协议三期
Forbidzone_SkillName3	综合防御	0	DLC2.6禁区协议三期
Forbidzone_SkillDesc3	击败驻守的敌方目标，并抵御后续敌方进攻	0	DLC2.6禁区协议三期
Forbidzone_SkillName4	极限援救	0	DLC2.6禁区协议三期
Forbidzone_SkillDesc4	解救人质，并抵御敌方进攻	0	DLC2.6禁区协议三期
Forbidzone_SkillName5	高效运转	0	DLC2.6禁区协议三期
Forbidzone_SkillDesc5	所有智械使用间隔降低%s%%	0	DLC2.6禁区协议三期
Forbidzone_SkillName6	量变先行	0	DLC2.6禁区协议三期
Forbidzone_SkillDesc6	所有智械使用次数增加%s	0	DLC2.6禁区协议三期
Forbidzone_SkillName7	原初战力	0	DLC2.6禁区协议三期
Forbidzone_SkillDesc7	队员对敌方目标造成的伤害提升%s%%	0	DLC2.6禁区协议三期
Forbidzone_SkillName8	智械纪元	0	DLC2.6禁区协议三期
Forbidzone_SkillDesc8	智械对敌方目标造成的伤害提升%s%%	0	DLC2.6禁区协议三期
Forbidzone_SkillName9	布局效率	0	DLC2.6禁区协议三期
Forbidzone_SkillDesc9	智械的布置时间减少%s秒	0	DLC2.6禁区协议三期
			
Forbidzone_WeaponExp1	当前智械已满级	0	
Forbidzone_WeaponExp2	等级提升至	0	
Forbidzone_WeaponExp3	切换当前智械效果分支	0	
			
Forbidzone_AttackSuccess	成功占领据点	0	
Forbidzone_DefendSuccess	据点守卫成功	0	
			
Forbidzone_OnlinePoint1	攻防进度	0	
			
Forbidzone_BuffName1	高歌猛进	0	DLC3.0禁区协议四期
Forbidzone_BuffName2	疾风不息	0	DLC3.0禁区协议四期
Forbidzone_BuffName3	领空拓展	0	DLC3.0禁区协议四期
Forbidzone_BuffName4	飞速抵达	0	DLC3.0禁区协议四期
Forbidzone_BuffName5	智能识别	0	DLC3.0禁区协议四期
Forbidzone_BuffName6	延时·交叉	0	DLC3.0禁区协议四期
Forbidzone_BuffName7	延时·重火	0	DLC3.0禁区协议四期
Forbidzone_BuffName8	延时·爆破	0	DLC3.0禁区协议四期
Forbidzone_BuffName9	加点·精准	0	DLC3.0禁区协议四期
Forbidzone_BuffName10	强化·余韵	0	DLC3.0禁区协议四期
Forbidzone_BuffName11	强化·爆破	0	DLC3.0禁区协议四期
Forbidzone_BuffName12	地面列阵	0	DLC3.0禁区协议四期
Forbidzone_BuffName13	沙尘难息	0	DLC3.0禁区协议四期
Forbidzone_BuffName14	领土拓展	0	DLC3.0禁区协议四期
Forbidzone_BuffName15	行军如火	0	DLC3.0禁区协议四期
Forbidzone_BuffName16	攻击校准	0	DLC3.0禁区协议四期
