字符串索引	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否	备注
Key	zh_CN	disable	Remark
chess03_ui_attname1	坚毅	0	
chess03_ui_attname2	智识	0	
chess03_ui_attname3	温柔	0	
chess03_ui_attname4	魅力	0	
chess03_ui_attname5	幽默	0	
chess03_ui_monday	星期一	0	
chess03_ui_tuesday	星期二	0	
chess03_ui_wednesday	星期三	0	
chess03_ui_thursday	星期四	0	
chess03_ui_friday	星期五	0	
chess03_ui_saturday	星期六	0	
chess03_ui_sunday	星期日	0	
chess03_ui_reviewer	管理员	0	
chess03_tips1	运动大会开始了，快和心动的少女一起去参加吧	0	
chess03_tips2	烟花庆典开始了，快和心动的少女一起去看看吧	0	
chess03_tips3	收纳挑战！帮少女整理好她们的鞋子吧~	0	
chess03_tips4	分析员阁下，一周过去啦！少女等着和您约会呢~	0	
chess03_tips5	分析员阁下，恭喜你完成了一轮心动派对体验！哇，有人给你发来了甜蜜邀约哦~	0	
chess03_tips6	分析员阁下，一周过去啦！你怎么好像……越来越迷人了！	0	
chess03_tips7	分析员阁下，恭喜你完成了一轮心动派对体验！小鹿乱撞的感觉很不错吧，要不要再来一次？	0	
chess03_tips8	是否使用%s，进入活动周？	0	
chess03_tips9	回答错误	0	
chess03_loading1	社区加载中……	0	
chess03_loading2	甜蜜约会中……	0	
chess03_holiday1name	运动大会	0	
chess03_holiday1des	青春、汗水与肾上腺素，时刻把握每一次的心动。	0	
chess03_holiday2name	烟花庆典	0	
chess03_holiday2des	烟花升空爆裂时，可以把藏在心底的话都说出来~	0	
chess03_btnname1	我全都要	0	
chess03_tabname1	定格一瞬	0	
chess03_tabname2	成就收集	0	
			
chess03_dice_name	心动骰子	0	
chess03_dice_des	用于在心动派对中进行社区体验。用骰子掷出不同的点数前进，能在心动派对中遇到各种未知的趣事。	0	
chess03_dice_use	心动派对 体验道具	0	
			
lifuweekname1	手心温度	1000	
lifuweekname2	认定的你	1000	
lifuweekname3	深海遨游	1000	
lifuweekname4	街机体验	1000	
fenniweekname1	甜蜜定格	1000	
fenniweekname2	对视挑战	1000	
fenniweekname3	鬼屋心跳	1000	
fenniweekname4	舌尖欢愉	1000	
mlaweekname1	极限运动	1000	
mlaweekname2	摩天游览	1000	
mlaweekname3	味蕾共感	1000	
mlaweekname4	恒久瞬间	1000	
			
lifuspecial1name1	里芙特殊周1剧情1	1000	
lifuspecial1name2	里芙特殊周1剧情2	1000	
