字符串索引	中文简体	1=临时文案  0和不填都=正式文案
Key	zh_CN	disable
season_title_name1	塑界一	0
season_title_name2	塑界二	0
season_level_des1	当前难度：1	0
season_level_des2	当前难度：2	0
season_level_des3	当前难度：3	0
season_level_des4	当前难度：4	0
season_level_des5	当前难度：5	0
season_mission_title1	塑界1 探知	0
season_mission_title2	塑界1 深潜	0
season_mission_title3	塑界1 排异	0
season_mission_title4	塑界1 噬灭	0
season_mission_title5	塑界1 降临	0
season_mission_title6	塑界2 探知	0
season_mission_title7	塑界2 深潜	0
season_mission_title8	塑界2 排异	0
season_mission_title9	塑界2 噬灭	0
season_mission_title10	塑界2 降临	0
season_mission_title11	塑界1 探知	0
season_mission_title12	塑界1 深潜	0
season_mission_title13	塑界1 排异	0
season_mission_title14	塑界1 噬灭	0
season_mission_title15	塑界1 降临	0
season_mission_title16	塑界2 探知	0
season_mission_title17	塑界2 深潜	0
season_mission_title18	塑界2 排异	0
season_mission_title19	塑界2 噬灭	0
season_mission_title20	塑界2 降临	0
season_mission_des1	通关噬神斗场·生域 塑界1 难度1	0
season_mission_des2	通关噬神斗场·生域 塑界1 难度2	0
season_mission_des3	通关噬神斗场·生域 塑界1 难度3	0
season_mission_des4	通关噬神斗场·生域 塑界1 难度4	0
season_mission_des5	参与噬神斗场·生域 塑界1 难度5	0
season_mission_des6	通关噬神斗场·生域 塑界2 难度1	0
season_mission_des7	通关噬神斗场·生域 塑界2 难度2	0
season_mission_des8	通关噬神斗场·生域 塑界2 难度3	0
season_mission_des9	通关噬神斗场·生域 塑界2 难度4	0
season_mission_des10	参与噬神斗场·生域 塑界2 难度5	0
season_mission_des11	通关噬神斗场·冥域 塑界1 难度1	0
season_mission_des12	通关噬神斗场·冥域 塑界1 难度2	0
season_mission_des13	通关噬神斗场·冥域 塑界1 难度3	0
season_mission_des14	通关噬神斗场·冥域 塑界1 难度4	0
season_mission_des15	参与噬神斗场·冥域 塑界1 难度5	0
season_mission_des16	通关噬神斗场·冥域 塑界2 难度1	0
season_mission_des17	通关噬神斗场·冥域 塑界2 难度2	0
season_mission_des18	通关噬神斗场·冥域 塑界2 难度3	0
season_mission_des19	通关噬神斗场·冥域 塑界2 难度4	0
season_mission_des20	参与噬神斗场·冥域 塑界2 难度5	0
seasonbossname1	爆裂跃击	0
seasonbossname2	蓄能暗噬	0
