字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
shop1.Name	常规物资	0	
shop2.Name	定时刷新	0	
shop3.Name	手动刷新	0	
shop4.Name	限时商店	0	
shop5.Name	兑换商店	0	
shop6.Name	比特节点	0	
shop7.Name	分解交易	0	
shop8.Name	商场8	0	
shop9.Name	商场9	0	
shop10.Name	活动商店	0	
shop11.Name	角色兑换	0	
shop12.Name	后勤人事	0	
shop13.Name	人事部门	0	
shop14.Name	禁区探索	0	
shop15.Name	循环中心	0	
shop16.Name	地下清理	0	
shop17.Name	精神拟境	0	
shop18.Name	数据百货	0	
shop19.Name	时装商店	0	
shop20.Name	精选嘉奖	0	
shop21.Name	优质配给	0	
shop22.Name	武器置换	0	
shop23.Name	甄选好物	0	
shop24.Name	精英后勤人事	0	
shop25.Name	惠享武器置换	0	
shop26.Name	配件补给	0	
shop27.Name	战备好物	0	3.5月卡商店细分
shop28.Name	私享好物	0	3.5月卡商店细分
shop29.Name	社交好物	0	3.5月卡商店细分
shop30.Name	装扮好物	0	3.5月卡商店细分
shop31.Name	超元链接	1	3.7新增超元链接常驻商店
			
shop.weaponpart	配件工坊	0	
shop.weaponpart01	冲锋枪配件	0	
shop.weaponpart02	霰弹枪配件	0	
shop.weaponpart03	狙击枪配件	0	
shop.weaponpart04	步枪配件	0	
shop.weaponpart05	手枪配件	0	
shop.giftpackage	后勤接口	0	
shop.giftpackage01	常规封包	0	
shop.giftpackage02	定制申请	0	
shop3.GroupName	活动兑换	0	
shop4.GroupName	循环中心	0	
shop5.GroupName	兑换商店	0	
shop6.GroupName	商城组6	0	
shop7.GroupName	商城组7	0	
shop8.GroupName	商城组8	0	
shop9.GroupName	商城组9	0	
shop10.GroupName	商城组10	0	
shop1.GroupName1	特供商品	0	
shop1.GroupName2	货币兑换	0	
shop1.GroupName3	商城组1商场3	0	
shop2.GroupName1	商城组2商场1	0	
shop2.GroupName2	商城组2商场2	0	
shop2.GroupName3	商城组2商场3	0	
shop3.GroupName1	商城组3商场1	0	
shop3.GroupName2	商城组3商场2	0	
shop3.GroupName3	商城组3商场3	0	
shop4.GroupName1	商城组4商场1	0	
shop4.GroupName2	商城组4商场2	0	
shop4.GroupName3	商城组4商场3	0	
shop5.GroupName1	A配件	0	
shop5.GroupName2	B配件	0	
shop5.GroupName3	C配件	0	
test_shop.GroupName1	补给商店	1000	
shop.PaySuccess	支付成功	0	
shop.PayFail	支付失败	0	
shop.PayCancel	用户取消支付	0	
shop.PayProgress	支付中，请稍后	0	
shop.PayOthers	支付其他信息	0	
mall	商城	0	
mall.GroupName1	推荐	0	
mall.Name1	比特金兑换	0	
mall.Name2	数据金兑换	0	
mall.Name3	补给箱	0	
mall.Name4	时装	0	
mall.Name5	员工惠利	0	
mall.Name6	跃升补给	0	
mall.Name7	限时补给箱	0	
mall.Name8	日常补给箱	0	
