字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
vircapture_base01	下班		
vircapture_base02	cost已达上限		
vircapture_base03	编队数量上限：%s		
vircapture_base04	每队Cost上限：%s		
vircapture_base05	开拓进程		
vircapture_base06	开拓奖励列表		
vircapture_base07	当前开拓进度	1	
vircapture_base08	是否消耗【再来一次】快速为当前区域补货？		
vircapture_base09	星球环境似乎对天启者影响很大，队员的战斗能力将大幅降低	1	
vircapture_base10	伙伴等级：%s		
vircapture_base11	【再来一次】数量不足		
vircapture_base12	编队数量已达上限		
vircapture_base13	提升开拓等级后解锁		
vircapture_base14	受星球环境影响，敌人和伙伴战斗能力大幅增强		
vircapture_base15	开拓等级达到%s后可领取		
vircapture_base16	解雇		
vircapture_base17	编队中伙伴不可解雇		
vircapture_base18	开拓等级达到%s级后解锁		
vircapture_base19	本次行动尚未完成，是否提前结算？		
vircapture_base20	下一阶		
vircapture_base21	右键新建：新建文件夹！		
vircapture_base22	收编名额不够了，请先解雇部分伙伴		
vircapture_base23	超强目标已出现！！！		
vircapture_base24	升阶成功		
vircapture_base25	本日【%s】可劝降次数已达上限		
vircapture_base26	本日劝降可获得经验已达上限		
vircapture_TrialEnd	距离试炼结束		
vircapture_TrialStart	距离试炼开启		
vircapture_TrialTips	本轮试炼已结束，麻烦下次赶早！		
vircapture_BossLock	超强目标候场中		
vircapture_BossLockTips	伙伴岛解锁【遗迹区】后，超强目标正式登场！		
vircapture_BossLockTips2	探险岛解锁【岩谷区】后，超强目标正式登场！		
vircapture_BossLockTips3	是否快速前往伙伴岛遗迹区与尖尖耳对话，了解探险岛解锁线索？		
vircapture_BossLockTips4	在开拓等级低于%s级期间，每次获得开拓经验均有1.5倍的加成效果。		
vircapture_TPLockTips	伙伴岛【遗迹区】尚未解锁		
			
vircapture_ADTitle	不删档测试开启，玩到就是赚到！		
vircapture_ADContent	不一样的地图（虽然很小），更强大的伙伴（虽然不多），全新的冒险！期待你的加入！		
vircapture_ADContent2	【新星开拓】这可是安卡希雅打造的全新力作！独树一帜的探索劝降玩法！分析员可以自由地探索游戏世界，劝降收编各色目标组建自己的队伍。还有钓鱼的等更多趣味内容等待着分析员哦！	0	新星开拓常驻活动页介绍
vircapture_ADTitle2	分析员专属测试服，体验最新版本内容	0	新星开拓常驻活动页副标题
			
vircapture_GachaTips	温馨提示：\n·通过快捷劝降直接入队的伙伴，无法获得开拓经验。\n·开拓等级会影响各品质伙伴的出现概率，超强目标暂无法通过快捷劝降获取。\n·劝降名单中已解锁的伙伴，在每次快捷劝降时出现概率更高。\n\n概率详情：		
vircapture_GachaTips2	\n\n·开拓等级%s：<span color="#2FDFFF">一般目标</>出现概率%s%%、<span color="#C97BFF">厉害目标</>出现概率%s%%、<span color="#FFA751">强力目标</>出现概率%s%%		
vircapture_GachaTitle	劝降伙伴		
			
vircapture_chapter01	第1层		
vircapture_chapter02	第2层		
vircapture_chapter03	第3层		
vircapture_chapter04	第4层		
vircapture_chapter05	第5层		
vircapture_chapter06	第6层		
			
mon_camp_01	郊狼		
mon_camp_02	降临团		
mon_camp_03	逐光者		
mon_camp_04	泰坦		
mon_camp_05	其他		
mon_type_01	一般目标		
mon_type_02	厉害目标		
mon_type_03	强力目标		
mon_type_04	超强目标		
mon_desc_00	简介		
mon_desc_01	很常见的近战杂兵，“常见”是他最大的优点了。		
mon_desc_02	虽然穿衣风格很嘻哈，但是并不会说唱。		
mon_desc_03	曾经膝盖中过箭，因此非常注重膝盖的防护。		
mon_desc_04	几乎所有时间都戴着帽子，因为发型很乱不想打理。		
mon_desc_05	不是很聪明，常常因为自己的背包被打爆而受伤。		
mon_desc_06	很方便的机器，不怕疼也不需要休息，报废了可以换新的。		
mon_desc_07	梳着脏辫，也不会说唱，但会跳街舞，所以体术还不错。		
mon_desc_08	不战斗的时候，会用盾牌当桌子吃饭，深受同伴们喜爱。		
mon_desc_09	非常可靠的老大哥，但因肚腩被同伴吐槽了而决定减肥。		
mon_desc_10	铁锤的好伙伴，擅长远程作战，近期并没有减肥的打算。		
mon_desc_11	带的炸弹太重了，导致他一直弯腰驼背。		
mon_desc_12	外表有点像法师，实际上攻击距离并不远。		
mon_desc_13	与其他同伴相比，很擅长找掩体躲起来摸鱼。		
mon_desc_14	杂兵里的高智商选手，深知科技改变生活的道理。		
mon_desc_15	臂力惊人，准度可靠，经常弓着背是为了耍帅，腰没问题。		
mon_desc_16	臂力惊人，人没刀长，喜欢在出招后摆造型。		
mon_desc_17	一边转圈圈一边闪避的优雅大姐姐，战斗力也值得信任。		
mon_desc_18	体魄强健但并不擅长接近战，更喜欢保持距离搓火球。		
mon_desc_19	速度快，招式华丽，一把年纪了还爱出风头。		
mon_desc_20	有非常强的作战能力，但武器是本体，没了武器就废了。		
mon_desc_21	很常见的无人机，AI不是很聪明，但勉强能用。		
mon_desc_22	粗壮了许多的无人机，为什么能飞起来一直是个谜。		
mon_desc_23	背着各种导弹，堪称移动的武器库，但移动速度堪忧。		
mon_desc_24	外表比较憨厚，攻击手段不算多，但跑得还挺快。		
mon_desc_25	看上去应该是主坦克，实际攻击距离很远。		
mon_desc_26	表情看上去很痛苦，但只是战斗时太兴奋了。		
mon_desc_27	认为头部比较重要，所以只有头部有衣物遮挡。		
mon_desc_28	兴奋起来容易到处乱窜，攻击性强，据说是植入了吉娃娃犬的习性。		
mon_desc_29	为了保护自己而持有巨大的盾，却因为盾太重了而走不快。		
mon_desc_30	十分珍惜自己的长刀，有空的时候都会用破烂的衣服擦拭长刀。		
mon_desc_31	仿照爱思特做的野生伙伴，没有获得肖像使用权，请帮忙保密。		
mon_desc_32	作为敌人的时候很棘手，但作为伙伴的时候很可爱。		
mon_desc_33	担心跑步姿势不够优雅而被嘲笑，所以喜欢用飞的，尽管这样移动速度有点慢。		
mon_desc_34	外形和名称都充满沉稳之感，可以用电墙限制对手移动，但对灵活移动的物体就没那么从容了。		
mon_desc_35	在没人看到的地方喜欢挥舞着钳子……不对，是晃动着机械部件练习独特舞步。		
mon_desc_36	对自己亮眼纤细的外形十分满意，最讨厌的一个词是“华而不实”。		
