字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	disable	Remark
gun1256	友好邻里	0	
gun1256_des	阴极科技最早出品的冲锋枪，性能已经不及新一代，但价格低廉，经久耐用，依然很受欢迎	0	
gun1001	无声雷电	0	
gun1001_des	阴极科技订制生产的高精度冲锋枪，各项性能均按照星期三的使用习惯专门调校	0	
gun1002	铸铁卫士	0	
gun1002_des	前线工委出品的现代化改造枪械，最大限度保留了原型性能可靠生产快捷的特点，并可通过模块替换快速换用不同类型的子弹	0	
gun1003	旧日叹息	0	
gun1003_des	前线工委出品，换装木质部件的复古版本冲锋枪，为了让大家牢记人类曾拿着这样的工具相互攻击	0	
gun1004	黑旗鱼	0	
gun1004_des	前线工委出品的现代化改造枪械，全枪采用复合材料并使用动能溶胶替代传统润滑油，运作更加稳定顺滑	0	
gun1005	归来	0	
gun1005_des	采用类肤材质制造的枪身，为使用者带来莫名亲切的触感与繁琐的保养步骤	0	
gun1006	偏头痛	0	
gun1006_des	希尔伯特-阿瑟出品低烈度战斗用冲锋枪，可使用多种口径的手枪弹	0	
gun1007	黑衣拿破仑	0	
gun1007_des	希尔伯特-阿瑟的经典握把供弹式冲锋枪，零件通用性非常好，足以应付各种零件损坏的特殊情况	0	
gun1008	安全线	0	
gun1008_des	主要为海姆达尔部队定向设计和制造符合其特殊作战需求的武器，很少向普通市场销售	0	
gun1009	电离水母	0	
gun1009_des	整体镀上反光膜材质之后，从战场利器摇身一变成为直播节目里最醒目的存在	0	
gun1010	正在施工	0	
gun1010_des	当拆除工作进度不理想的时候，就用它告诉拖拉的工程师们该如何加快施工进度吧	0	
gun1011	北极狐	0	
gun1011_des	曾经入选槲寄生空间站航天员自卫装备的改进型号，重点抑制后坐力与枪口焰	0	
gun1012	军舰鸟	0	
gun1012_des	海上救援船只配发的防身武器，调整了配重以方便单手射击	0	
gun1013	次氯酸	0	
gun1013_des	为了适应对泰坦作战而使用了特殊弹药，导致散发淡淡酸味，让人误以为它刚做完消毒	0	
gun1014	浮浪	0	
gun1014_des	逍遥钢铁的纪念款冲锋枪，其特殊的涂装是邀请著名画师设计，宣传武力应当用于保护文化的理念	0	
gun1015	隧蜂	0	
gun1015_des	充满蜂类昆虫的元素，整体给人一种需要警戒的感觉	0	
gun1016	锈色幸运	0	
gun1016_des	阴极科技推出的冲锋枪，标志性的前卫造型基础上，整体结构进行了最大程度的精简化，牺牲一部分手感，上手时间大大缩短	0	
gun1017	星尘回忆	0	
gun1017_des	根据某型号近地轨道用机甲驾驶员反馈，充分调整射击模式的先进冲锋枪，可完美适应无重力环境	0	
gun1018	百战老兵	0	
gun1018_des	由一位身经百战的光荣退役老兵捐赠给海姆达尔部队的纪念武器	0	
gun1019	天鹅座之心	0	
gun1019_des	前线工委曾经的转型作，优雅的外观使其备受关注，但由于前线工委放弃转型，或将绝版	0	
gun1020	秘密永恒	0	
gun1020_des	综合能力优秀，保养简单，但由于其低生产量和复杂先进的部件导致的高昂价格，亦很少有人会买得起	0	
gun1021	中庭前线	0	
gun1021_des	造型精简但别致，远低于同类产品的重量和超大弹容是其主要特点	0	
gun1022	卫兵	0	
gun1022_des	希尔伯特-阿瑟责任有限公司专供给世界树公司的冲锋枪，其稳定优秀的工艺质量一直受世界树青睐	0	
gun1023	浅蓝触碰	0	
gun1023_des	配件插槽的可调节度已是李氏防务的最高水平，几乎兼容所有常规配件，列举不适配的配件是该枪爱好者最喜欢的话题	0	
gun1024	阳光水纹	0	
gun1024_des	配件插槽的可调节度已是李氏防务的最高水平，几乎兼容所有常规配件，列举不适配的配件是该枪爱好者最喜欢的话题	0	
gun1025	合金真理	0	
gun1025_des	拉美西斯集团和逍遥钢铁首款合作武器，采用香蒲文明常见配色和纹样，传闻其使用了香蒲文明的古代秘密科技，拉美西斯集团对此没有任何回应	0	
gun1026	洁白之环	0	
gun1026_des	希尔伯特-阿瑟责任有限公司成立五十周年时的纪念款产品，以“维护和平，散布光明”为主题，目前主要用于针对异化人的清理作战	0	
gun1027	白夜别诗	0	
gun1027_des	光子女妖创始人退休前最后设计的作品，极其凸显华丽、特立独行的个人风格，同时也包含了对热爱事业的不舍	0	
gun1028	正法	0	
gun1028_des	希尔伯特-阿瑟责任有限公司于朔州地区限定发售的产品，涂装中融入了一些朔州文化，深受当地年轻人欢迎	0	
gun1029	星熔靛夜	0	
gun1029_des	参考朔州自古流传的炼制古法制造了外壳，其坚韧程度在这个时代也难逢对手	0	
gun1030	枯萎蔓延	0	
gun1030_des	前线工委在产品外观设计上突破最大的产品之一，但为了性能，枪体结构依然经典。	0	
gun1031	瑰翼	0	
gun1031_des	把造型优美准则贯彻到底的产品，以至于售后服务包含了配套特殊配件定制，厂商的说法是希望使用者在注重武器威力的同时注意保持优雅	0	
gun1032	完美结构	0	
gun1032_des	响应武器轻便化风潮的一款产品，本着减轻重量和简化结构的原则而进行了一系列改进，但最终为了保证威力，减轻的重量未能达到原定目标	0	
gun1033	净空炙星	0	
gun1033_des	希尔伯特-阿瑟责任有限公司高端产品线“星海”系列最后一款产品，枪体全部都非常奢侈地使用了专利材料，其在极端环境的测试表现已经远超公司其他产品	0	
gun1034	绶礼荣辉	0	3.5武器
gun1034_des	阴极科技面向菲洛索亚地区设计的一款基础型冲锋枪，枪身的流线设计特意运用了菲洛索亚传统的技法。	0	3.5武器
gun1035	棱光核心	0	3.5武器
gun1035_des	阴极科技顶尖团队联合研发的特级产品。从外观到枪身部件共十三项全新专利，曾经的概念化武器如今不再只是一纸空谈	0	3.5武器
			
gun2256	初勇者	0	
gun2256_des	李氏防务研发的首批专门应对小型泰坦怪物的狙击枪，由于情况紧急，生产时间不足，设计上选择了最简洁的方案	0	
gun2001	简易扳手	0	
