BufferID	Buffer蓝图资源	货币GDPL	价格	动态随机	图标	buff名称	描述	描述备注（带数值）	获得次数	稀有度	每次获得的增益	归属流派（ 0.无 1.攻击 2.防御 3.快射 4.慢射 5.技能 6.控制 7.特效）
ID	BufferBlueprint	GDPL	Price	Dynamic	Icon	Name	Desc	DescComment	Count	Rarity	BuffParamPerCount	BuildType
101	RandomBuff_1	{5,12,1,1}	40	1	1001008	雀跃	在战斗中，冲刺状态耐力消耗降低%s%%		1	3	{{100}}	{0}
102	RandomBuff_15	{5,12,1,1}	40	1	1001003	精胜于量	降低%s%%射击速度,提升%s%%射击伤害		1	3	{{25},{33}}	{0}
103	RandomBuff_16	{5,12,1,1}	40	1	1001003	机会有限	降低%s%%弹匣容量,提升%s%%射击伤害		1	3	{{25},{33}}	{0}
104	RandomBuff_2	{5,12,1,1}	40	1	1001008	伤不着我	冲刺状态时受到的伤害降低%s%%		1	3	{{75}}	{0}
105	RandomBuff_21	{5,12,1,1}	40	1	1001003	零点火力	瞄准射击的伤害提升%s%%		3	3	{{15,30,45}}	{0}
106	RandomBuff_23	{5,12,1,1}	40	1	1001002	技能强化	常规技能伤害提升%s%%		3	3	{{15,30,45}}	{0}
107	RandomBuff_27	{5,12,1,2}	40	1	1001001	正当防卫	受到攻击常规技能伤害提升%s%%,持续%s秒		1	3	{{33},{3}}	{0}
108	RandomBuff_3	{5,12,1,1}	40	1	1001001	靶心	暴击率提升%s%%		3	3	{{15,30,45}}	{0}
109	RandomBuff_33	{5,12,1,2}	40	1	1001004	彩虹猛攻	攻击处于异常状态的敌人最终伤害增加%s%%		1	3	{{33}}	{0}
110	RandomBuff_34	{5,12,1,2}	40	1	1001005	技能防护	使用常规技能后,受到伤害降低%s%%,持续%s秒		3	3	{{50,70,90},{5,5,5}}	{0}
111	RandomBuff_37	{5,12,1,2}	40	1	1001005	综合防御	受到伤害降低%s%%		3	3	{{20,40,60}}	{0}
112	RandomBuff_38	{5,12,1,2}	40	1	1001006	兼顾治疗	使用常规技能后,恢复%s%%最大生命，冷却时间%s秒		1	3	{{8},{10}}	{0}
113	RandomBuff_39	{5,12,1,2}	40	1	1001006	安全体型	最大生命提升%s%%		3	3	{{20,40,60}}	{0}
114	RandomBuff_4	{5,12,1,1}	40	1	1001000	沸点	暴击伤害提升%s%%		3	3	{{20,40,60}}	{0}
115	RandomBuff_40	{5,12,1,2}	40	1	1001006	及时治疗	在受到伤害后,恢复%s%%生命值,冷却时间%s秒		1	3	{{8},{5}}	{0}
116	RandomBuff_41	{5,12,1,2}	40	1	1001006	无法共生	每击倒1个敌方目标,最大生命永久提升%s%%		1	3	{{3}}	{0}
117	RandomBuff_42	{5,12,1,2}	40	1	1001008	耐力充足	耐力上限提升%s%%		1	3	{{50}}	{0}
118	RandomBuff_43	{5,12,1,2}	40	1	1001008	灵巧闪避	闪避的体力消耗减少%s%%		1	3	{{50}}	{0}
119	RandomBuff_44	{5,12,1,2}	40	1	1001005	安心一刻	换弹附带无敌效果,持续%s秒		1	3	{{2}}	{0}
120	RandomBuff_45	{5,12,1,2}	40	1	1001002	无路可退	冲刺状态耐力消耗提升%s%%,常规技能伤害提升%s%%		1	3	{{100},{33}}	{0}
121	RandomBuff_47	{5,12,1,2}	40	1	1001002	鹰眼	与目标距离越远，瞄准射击伤害提升		1	3		{0}
122	RandomBuff_48	{5,12,1,2}	40	1	1001002	锐化	常规技能对护盾伤害提升%s%%		1	3	{{33}}	{0}
123	RandomBuff_49	{5,12,1,2}	40	1	1001002	敏捷优势	%s秒未受伤害,常规技能伤害提升%s%%		1	3	{{5},{33}}	{0}
124	RandomBuff_6	{5,12,1,1}	40	1	1001006	以攻为守	暴击后恢复%s%%生命,触发间隔%s秒		1	3	{{5},{2}}	{0}
125	RandomBuff_8	{5,12,1,1}	40	1	1001007	节能模式	爆发技能量获取效率提升%s%%		3	3	{{20,40,60}}	{0}
126	RandomBuff_12	{5,12,1,1}	40	1	1001009	常规扩容	弹匣容量提升%s%%		2	3	{{50,100}}	{0}
127	RandomBuff_13	{5,12,1,1}	40	1	1001009	流畅换弹	换弹速度提升%s%%		1	3	{{100}}	{0}
201	RandomBuff_9	{5,12,1,1}	80	1	1001007	生息	冲刺状态时每%s秒可获取%s点大招能量		1	4	{{1},{2}}	{0}
202	RandomBuff_10	{5,12,1,1}	80	1	1001007	连携加速	连携技能使用间隔降低%s%%		1	4	{{50}}	{0}
203	RandomBuff_11	{5,12,1,1}	80	1	1001009	物资回收	击倒敌方目标后,立刻回满弹药		1	4		{0}
204	RandomBuff_14	{5,12,1,1}	80	1	1001003	精准指令	击倒目标后,伤害提升%s%%,持续%s秒		1	4	{{50},{5}}	{0}
205	RandomBuff_18	{5,12,1,1}	80	1	1001003	动能适配	动能类型伤害提升%s%%		1	4	{{20}}	{0}
206	RandomBuff_20	{5,12,1,1}	80	1	1001003	有备无患	弹匣内子弹数量大于%s%%时,射击的伤害提升%s%%		1	4	{{50},{33}}	{0}
207	RandomBuff_25	{5,12,1,2}	80	1	1001000	致胜觉悟	最大生命降低%s%%,所有伤害提升%s%%		1	4	{{33},{33}}	{0}
208	RandomBuff_26	{5,12,1,2}	80	1	1001002	破釜沉舟	最大生命降低%s%%,常规技能伤害提升%s%%		1	4	{{33},{33}}	{0}
209	RandomBuff_28	{5,12,1,2}	80	1	1001004	高温适配	高温类型伤害提升%s%%		1	4	{{20}}	{0}
210	RandomBuff_29	{5,12,1,2}	80	1	1001004	低温适配	低温类型伤害提升%s%%		1	4	{{20}}	{0}
211	RandomBuff_30	{5,12,1,2}	80	1	1001004	异能适配	异能类型伤害提升%s%%		1	4	{{20}}	{0}
212	RandomBuff_31	{5,12,1,2}	80	1	1001004	电击适配	电击类型伤害提升%s%%		1	4	{{20}}	{0}
213	RandomBuff_32	{5,12,1,2}	80	1	1001004	全面适配	所有元素类型的伤害增加%s%%		1	4	{{15}}	{0}
214	RandomBuff_36	{5,12,1,2}	80	1	1001006	扭转生机	射击命中时恢复%s%%最大生命值,触发间隔%s秒		1	4	{{2},{1}}	{0}
215	RandomBuff_5	{5,12,1,1}	80	1	1001003	疾射	暴击后射击速度提升%s%%,持续%s秒		1	4	{{33},{5}}	{0}
216	RandomBuff_50	{5,12,1,2}	80	1	1001002	双响	最大爆发能量和当前已获取爆发能量均提升%s%%		1	4	{{100}}	{0}
217	RandomBuff_7	{5,12,1,1}	80	1	1001002	流畅循环	击倒敌方目标后,常规技能使用间隔减少%s秒		1	4	{{1}}	{0}
301	RandomBuff_17	{5,12,1,1}	120	1	1001003	能量转移	爆发能量值为100后每秒减少%s点,期间射击伤害提高%s%%,且期间无法获得爆发能量直至爆发能量完全消耗		1	5	{{3},{50}}	{0}
302	RandomBuff_19	{5,12,1,1}	120	1	1001000	强势首发	弹匣内第一发子弹的伤害提升%s%%		1	5	{{100}}	{0}
303	RandomBuff_22	{5,12,1,1}	120	1	1001002	冷却加速	技能急速增加%s%		1	5	{{100}}	{0}
304	RandomBuff_24	{5,12,1,1}	120	1	1001003	技不抵力	常规技能伤害降低%s%%,瞄准射击伤害提升%s%%		1	5	{{50},{50}}	{0}
305	RandomBuff_35	{5,12,1,2}	120	1	1001005	最后一搏	受到极大伤害时,全伤害提高%s%%并获得无敌,持续%s秒,每秒恢复%s%%最大生命值。冷却时间%s秒		1	5	{{50},{15},{3},{120}}	{0}
306	RandomBuff_46	{5,12,1,2}	120	1	1001002	完备	爆发能量值为100时,常规技能伤害提升%s%%		1	5	{{50}}	{0}
308	RandomBuff_51	{5,12,1,1}	80	1	1001001	精准预热	使用常规技能可以增加暴击率%s%%，持续%s秒		1	4	{{15},{8}}	{0}
309	RandomBuff_52	{5,12,1,1}	40	1	1001001	合理热身	每击败1个敌方目标，暴击率提升%s%%		1	3	{{0.5}}	{0}
310	RandomBuff_53	{5,12,1,1}	40	1	1001001	战术退让	闪避后常规技能伤害提升%s%%，持续%s秒，该效果最多叠加%s层，使用技能后层数清零		1	3	{{5},{4},{3}}	{0}
311	RandomBuff_54	{5,12,1,1}	40	1	1001000	逐渐熟练	每击败1个敌方目标，暴击伤害提升%s%%		1	3	{{1}}	{0}
312	RandomBuff_55	{5,12,1,1}	40	1	1001000	士气正盛	爆发能量为100时，暴击伤害提升%s%%		1	3	{{20}}	{0}
313	RandomBuff_56	{5,12,1,1}	80	1	1001008	补给一瞬	闪避消耗的体力更多，但同时弹匣填充至满		1	4		{0}
314	RandomBuff_57	{5,12,1,1}	80	1	1001003	压制时机	暴击后射击伤害提升%s%%，持续%s秒，该效果最多叠加5层		1	4	{{3},{3}}	{0}
315	RandomBuff_58	{5,12,1,1}	40	1	1001007	命中激励	暴击后可恢复少量爆发能量		1	3		{0}
316	RandomBuff_59	{5,12,1,1}	40	1	1001006	生路	冲刺状态下，每秒回复%s%%的最大生命		1	3	{{1}}	{0}
317	RandomBuff_60	{5,12,1,1}	80	1	1001007	速攻	击败敌方目标后，射击速度提升%s%%，持续%s秒		1	4	{{30},{5}}	{0}
318	RandomBuff_61	{5,12,1,1}	40	1	1001007	主动提速	使用常规技能后，射击速度提升%s%%，持续%s秒		1	3	{{10},{10}}	{0}
321	RandomBuff_64	{5,12,1,1}	80	1	1001005	极限方案	生命低于%s%%时，获得一个最大生命%s%%的护盾，触发间隔%s秒		1	4	{{60},{15},{30}}	{0}
322	RandomBuff_65	{5,12,1,1}	40	1	1001004	烧掠	射击命中目标时，有%s%%的概率对其施加【灼烧】状态，持续造成高热类型伤害		1	3	{{15}}	{0}
323	RandomBuff_66	{5,12,1,1}	120	1	1001004	电气标记	命中目标时，添加1层【电气】印记，当印记达到%s层时触发1次电击类型伤害，并施加麻痹状态，持续%s秒		1	5	{{20},{2}}	{0}
324	RandomBuff_67	{5,12,1,1}	80	1	1001004	特异追袭	射击暴击后，有%s%%概率额外造成1次特异类型伤害，触发间隔%s秒		1	4	{{50},{5}}	{0}
325	RandomBuff_68	{5,12,1,1}	80	1	1001004	低温追袭	射击命中目标时，有%s%%概率额外造成1次低温类型伤害		1	4	{{10}}	{0}
327	RandomBuff_70	{5,12,1,1}	120	1	1001004	特异冲击	射击命中目标时，有%s%%概率引发1次特异震荡波，对范围内的所有地方目标造成特异类型伤害		1	5	{{5}}	{0}
