怪物id	//备注	积分对应等级
MonsterId	Comment	Point
-1	通用小怪波次	30
-2	通用精英波次	160
-3	通用boss波次	820
4001409	污染机兵	45
4001217	怪潮甲型异化人	9
4002004	螺帽-郊狼	14
4001008	钻头	5
4002006	喷壶-郊狼	27
4001410	金鱼	36
4001005	钢珠-郊狼	14
400131005	噬咬球换皮	14
4001007	通条	27
4001114	散射会员-降临团	27
4001603	伪趟子手	54
4001004	螺帽-郊狼	14
4001108	会员-降临团	14
4001602	鼯鼠无人机（换皮）	5
4001605	伪镖头	27
4002604	霰弹兵	27
4002605	步枪兵	27
4001003	螺钉-郊狼	54
4001103	长刀会员-降临团	63
4001106	爆破会员-降临团	18
4001112	连弩会员-降临团	18
4001116	降临火花-降临团	5
400130105	埃罗换皮	14
4001604	伪镖师	27
4002103	长刀会员-降临团	63
5001001	炉子-郊狼	77
5001009	自走炮-郊狼	77
5001018	猛火-郊狼	144
5001019	重壁-郊狼	173
5001607	伪造泰坦	288
5003010	加特林兵	192
6001003	约瑟夫-郊狼	816
6001206	尼亚尔-军方	1020
6001102	加文-降临团	714
6001204	海拉·怒棘	765
6001302	透墨索斯	816
6001004	爱思特-郊狼	510
6001303	尘白恶魔	1122
6001005	二型验证机甲-郊狼	816
