BufferID	描述备注	类型备注	强度备注	价格	第1波概率	第2波概率	第3波概率	第4波概率	第5波概率	第6波概率	第7波概率	第8波概率	第9波概率	第10波概率	第11波概率	第12波概率
BufferID	DesComment	TypeComment	RarityComment	Price	probability1	probability2	probability3	probability4	probability5	probability6	probability7	probability8	probability9	probability10	probability11	probability12
4000	红色祖玛加分1	红色祖玛的基础得分+10	1	0	100	100	50	0	0	0	0	0	0	0	0	0
4001	红色祖玛加分2	红色祖玛的基础得分+20	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4002	红色祖玛加分3	红色祖玛的基础得分+30	3	0	0	0	50	0	100	100	0	0	0	0	0	0
4003	红色祖玛加分4	红色祖玛的基础得分+2倍	1	0	100	100	50	0	0	0	0	0	0	0	0	0
4004	红色祖玛加分5	红色祖玛的基础得分+4倍	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4005	红色祖玛加分6	红色祖玛的基础得分+6倍	3	0	0	0	50	0	100	100	0	0	0	0	0	0
4006	红色祖玛加分7	红色祖玛的基础得分*2倍	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4007	红色祖玛加分8	红色祖玛的基础得分*3倍	3	0	0	50	50	0	100	100	0	0	0	0	0	0
4008	红色祖玛加分9	红色祖玛的基础得分*4倍	4	0	0	0	0	0	50	200	0	0	0	0	0	0
4009	蓝色祖玛加分1	蓝色祖玛的基础得分+10	1	0	100	100	50	0	0	0	0	0	0	0	0	0
4010	蓝色祖玛加分2	蓝色祖玛的基础得分+20	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4011	蓝色祖玛加分3	蓝色祖玛的基础得分+30	3	0	0	0	50	0	100	100	0	0	0	0	0	0
4012	蓝色祖玛加分4	蓝色祖玛的基础得分+2倍	1	0	100	100	50	0	0	0	0	0	0	0	0	0
4013	蓝色祖玛加分5	蓝色祖玛的基础得分+4倍	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4014	蓝色祖玛加分6	蓝色祖玛的基础得分+6倍	3	0	0	0	50	0	100	100	0	0	0	0	0	0
4015	蓝色祖玛加分7	蓝色祖玛的基础得分*2倍	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4016	蓝色祖玛加分8	蓝色祖玛的基础得分*3倍	3	0	0	50	50	0	100	100	0	0	0	0	0	0
4017	蓝色祖玛加分9	蓝色祖玛的基础得分*4倍	4	0	0	0	0	0	50	200	0	0	0	0	0	0
4018	绿色祖玛加分1	绿色祖玛的基础得分+10	1	0	100	100	50	0	0	0	0	0	0	0	0	0
4019	绿色祖玛加分2	绿色祖玛的基础得分+20	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4020	绿色祖玛加分3	绿色祖玛的基础得分+30	3	0	0	0	50	0	100	100	0	0	0	0	0	0
4021	绿色祖玛加分4	绿色祖玛的基础得分+2倍	1	0	100	100	50	0	0	0	0	0	0	0	0	0
4022	绿色祖玛加分5	绿色祖玛的基础得分+4倍	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4023	绿色祖玛加分6	绿色祖玛的基础得分+6倍	3	0	0	0	50	0	100	100	0	0	0	0	0	0
4024	绿色祖玛加分7	绿色祖玛的基础得分*2倍	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4025	绿色祖玛加分8	绿色祖玛的基础得分*3倍	3	0	0	50	50	0	100	100	0	0	0	0	0	0
4026	绿色祖玛加分9	绿色祖玛的基础得分*4倍	4	0	0	0	0	0	50	200	0	0	0	0	0	0
4027	黄色祖玛加分1	黄色祖玛的基础得分+10	1	0	100	100	50	0	0	0	0	0	0	0	0	0
4028	黄色祖玛加分2	黄色祖玛的基础得分+20	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4029	黄色祖玛加分3	黄色祖玛的基础得分+30	3	0	0	0	50	0	100	100	0	0	0	0	0	0
4030	黄色祖玛加分4	黄色祖玛的基础得分+2倍	1	0	100	100	50	0	0	0	0	0	0	0	0	0
4031	黄色祖玛加分5	黄色祖玛的基础得分+4倍	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4032	黄色祖玛加分6	黄色祖玛的基础得分+6倍	3	0	0	0	50	0	100	100	0	0	0	0	0	0
4033	黄色祖玛加分7	黄色祖玛的基础得分*2倍	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4034	黄色祖玛加分8	黄色祖玛的基础得分*3倍	3	0	0	50	50	0	100	100	0	0	0	0	0	0
4035	黄色祖玛加分9	黄色祖玛的基础得分*4倍	4	0	0	0	0	0	50	200	0	0	0	0	0	0
4036	三消加分1	完成连续三消时，积分增加30	1	0	100	100	50	0	0	0	0	0	0	0	0	0
4037	三消加分2	完成连续三消时，积分增加60	2	0	50	100	100	0	100	0	0	0	0	0	0	0
4038	三消加分3	完成连续三消时，积分增加90	3	0	0	0	50	0	100	100	0	0	0	0	0	0
4039	击败加分1	消灭单个祖玛获得的积分增加10，连续消灭单个祖玛可累计	2	0	100	100	100	0	0	0	0	0	0	0	0	0
4040	击败加分2	消灭单个祖玛获得的积分增加20，连续消灭单个祖玛可累计	3	0	0	50	50	0	100	50	0	0	0	0	0	0
4041	击败加分3	消灭单个祖玛获得的积分增加30，连续消灭单个祖玛可累计	4	0	0	0	0	0	100	100	0	0	0	0	0	0
4042	红色击败1	连续消灭红色的祖玛积分增加20	2	0	100	100	100	0	0	0	0	0	0	0	0	0
4043	红色击败2	连续消灭红色的祖玛积分增加40	3	0	0	50	50	0	100	50	0	0	0	0	0	0
4044	红色击败3	连续消灭红色的祖玛积分增加60	4	0	0	0	0	0	100	100	0	0	0	0	0	0
4045	绿色击败1	连续消灭绿色的祖玛积分增加20	2	0	100	100	100	0	0	0	0	0	0	0	0	0
4046	绿色击败2	连续消灭绿色的祖玛积分增加40	3	0	0	50	50	0	100	100	0	0	0	0	0	0
4047	绿色击败3	连续消灭绿色的祖玛积分增加60	4	0	0	0	0	0	100	100	0	0	0	0	0	0
4048	蓝色击败1	连续消灭蓝色的祖玛积分增加20	2	0	100	100	100	0	0	0	0	0	0	0	0	0
4049	蓝色击败2	连续消灭蓝色的祖玛积分增加40	3	0	0	50	50	0	100	100	0	0	0	0	0	0
4050	蓝色击败3	连续消灭蓝色的祖玛积分增加60	4	0	0	0	0	0	100	100	0	0	0	0	0	0
4051	黄色击败1	连续消灭黄色的祖玛积分增加20	2	0	100	100	100	0	0	0	0	0	0	0	0	0
4052	黄色击败2	连续消灭黄色的祖玛积分增加40	3	0	0	50	50	0	100	50	0	0	0	0	0	0
4053	黄色击败3	连续消灭黄色的祖玛积分增加60	4	0	0	0	0	0	100	100	0	0	0	0	0	0
