Id	备注	关卡类型(0、通常关,1、Boss关,2、剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机)	场景类型1	关卡名字	关卡Icon	地图ID	战斗逻辑配置ID	解锁条件	体力消耗(包含进入和通关)	出场怪物信息{{G,D,P,L}}	关联growintensity怪物强度模板	推荐战力	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	词缀ID-Skill（table）	词缀ID-Modifire（table）	不添加效果的怪物类型（table 0普通怪 1精英怪 2BOSS）	激活的subtask（string）	支线任务ID	怪物等级	荣誉积分（每个task）	显示积分	词缀图标	词缀品质	任务图标	说明图	荣誉结算分	通关加成积分	关卡词缀(禁域协议)
Id	Comments	Type	MapType	LevelName	LevelIcon	MapID	FightID	Condition	ConsumeVigor	Monster	LevelStrength	RecommendPower	PlayerExp	RoleExp	TeamRule	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	PictureLevel	TaskPath	tbMonsSkillToAdd	tbMonsModifierToAdd	tbMonsBuffLimitType	ActiveDataOnBegin	Subtaskid	MonsterLevel	HonorScore	ShowHonorScore	affixpic	affixpiclevel	levelpic	levelTeachingPic	HonorScore2	TimeScore	tbLevelAffix
101	咫尺尖兵	6	99	ui.TxtOnlineLevel1		101	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/Task_Multi_01.Task_Multi_01															
102	咫尺尖兵	6	99	ui.TxtOnlineLevel1		102	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/Task_Multi_02.Task_Multi_02															
103	巨垒之下	6	99	ui.TxtOnlineLevel1		103	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/Task_Multi_03.Task_Multi_03															
104	咫尺尖兵	6	99	ui.TxtOnlineLevel1		104	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/Task_Multi_04.Task_Multi_04															
105	咫尺尖兵	6	99	ui.TxtOnlineLevel1		105	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/Task_Multi_02test.Task_Multi_02test															
120	盒屋群落	6	1	ui.TxtOnlineLevel2	1804057	120	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_120															
121	盒屋群落	6	1	ui.TxtOnlineLevel2	1804057	120	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_120															
122	盒屋群落	6	1	ui.TxtOnlineLevel2	1804057	120	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_120															
123	盒屋群落	6	1	ui.TxtOnlineLevel2	1804057	120	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_120															
124	盒屋群落	6	1	ui.TxtOnlineLevel2	1804057	120	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_120															
125	盒屋群落	6	1	ui.TxtOnlineLevel2	1804057	121	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_121															
126	盒屋群落	6	1	ui.TxtOnlineLevel2	1804057	121	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_121															
127	盒屋群落	6	1	ui.TxtOnlineLevel2	1804057	122	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_122															
128	盒屋群落	6	1	ui.TxtOnlineLevel2	1804057	122	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_122															
130	失重斗场	6	2	ui.TxtOnlineLevel3	1804056	130	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_130															
131	失重斗场	6	2	ui.TxtOnlineLevel3	1804056	130	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_130															
132	失重斗场	6	2	ui.TxtOnlineLevel3	1804056	130	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_130															
133	失重斗场	6	2	ui.TxtOnlineLevel3	1804056	131	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_131															
134	失重斗场	6	2	ui.TxtOnlineLevel3	1804056	131	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_131															
135	失重斗场	6	2	ui.TxtOnlineLevel3	1804056	132	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_132															
136	失重斗场	6	2	ui.TxtOnlineLevel3	1804056	132	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_132															
137	失重斗场	6	2	ui.TxtOnlineLevel3	1804056	133	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_133															
138	失重斗场	6	2	ui.TxtOnlineLevel3	1804056	133	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_133															
110	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	110	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
111	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	110	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
112	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	110	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
113	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	110	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
114	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	110	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
115	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	110	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
116	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	110	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
117	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	110	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
118	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	111	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
119	尘晶地宫	6	3	ui.TxtOnlineLevel1	1804058	111	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_110															
140	牢笼街道	6	4	ui.TxtOnlineLevel4	1804060	140	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_140															
141	牢笼街道	6	4	ui.TxtOnlineLevel4	1804060	140	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_140															
142	牢笼街道	6	4	ui.TxtOnlineLevel4	1804060	140	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_140															
143	牢笼街道	6	4	ui.TxtOnlineLevel4	1804060	141	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_141															
144	牢笼街道	6	4	ui.TxtOnlineLevel4	1804060	141	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_141															
145	牢笼街道	6	4	ui.TxtOnlineLevel4	1804060	142	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_142															
146	牢笼街道	6	4	ui.TxtOnlineLevel4	1804060	142	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_142															
147	牢笼街道	6	4	ui.TxtOnlineLevel4	1804060	144	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_142															
148	牢笼街道	6	4	ui.TxtOnlineLevel4	1804060	144	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_142															
149	牢笼街道	6	99	ui.TxtOnlineLevel4	1804060	143	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_143															
150	雾中迷城-路线1	6	5	ui.TxtOnlineLevel5	1804059	150	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_150															
151	雾中迷城-路线2	6	5	ui.TxtOnlineLevel5	1804059	151	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_151															
152	雾中迷城-路线3	6	5	ui.TxtOnlineLevel5	1804059	152	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_152															
153	雾中迷城-路线4	6	5	ui.TxtOnlineLevel5	1804059	153	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_153															
160	雾中迷城-路线5	6	5	ui.TxtOnlineLevel5	1804059	160	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_160															
161	雾中迷城-路线5	6	5	ui.TxtOnlineLevel5	1804059	160	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_160															
162	雾中迷城-路线6	6	5	ui.TxtOnlineLevel5	1804059	161	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_161															
163	雾中迷城-路线6	6	5	ui.TxtOnlineLevel5	1804059	161	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_161															
164	雾中迷城-路线7	6	5	ui.TxtOnlineLevel5	1804059	162	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_162															
165	雾中迷城-路线7	6	5	ui.TxtOnlineLevel5	1804059	162	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_162															
166	雾中迷城-路线7	6	5	ui.TxtOnlineLevel5	1804059	162	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_162															
167	雾中迷城-路线7	6	5	ui.TxtOnlineLevel5	1804059	162	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_162															
170	联机BOSS挑战（路线1）	6	6	ui.TxtOnlineLevel3	1804056	106	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_170															
171	联机BOSS挑战（路线2）	6	6	ui.TxtOnlineLevel3	1804056	170	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_170															
172	联机BOSS挑战（路线3）	6	6	ui.TxtOnlineLevel3	1804056	170	10			{{1,2,1,1}}	9	12345	0	0		1									MultiTask/RandomTest/MultTask_170															
173	联机BOSS挑战（路线3）	6	7	ui.TxtOnlineLevel3	1804056	171	10			{{1,2,1,1}}	9	12345	0	0		1		6004		{{4,3,2,1,1},{5,3,1,3,1},{4,3,1,1,1}}	{{5,6,1,2,1}}				MultiTask/RandomTest/MultTask_170															
174	联机BOSS挑战（路线3）	6	7	ui.TxtOnlineLevel3	1804056	171	10			{{1,2,1,1}}	9	12345	0	0		1		6004		{{4,3,2,1,1},{5,3,1,3,1},{4,3,1,1,1}}	{{5,6,1,2,1}}				MultiTask/RandomTest/MultTask_170															
175	联机BOSS挑战（路线3）	6	7	ui.TxtOnlineLevel3	1804056	171	10			{{1,2,1,1}}	9	12345	0	0		1		6004		{{4,3,2,1,1},{5,3,1,3,1},{4,3,1,1,1}}	{{5,6,1,2,1}}				MultiTask/RandomTest/MultTask_170															
176	联机BOSS挑战（路线3）	6	99	ui.TxtOnlineLevel3	1804056	171	10			{{1,2,1,1}}	9	12345	0	0		1		6004		{{4,3,2,1,1},{5,3,1,3,1},{4,3,1,1,1}}	{{5,6,1,2,1}}				MultiTask/RandomTest/MultTask_170															
177	联机BOSS挑战（路线3）	6	99	ui.TxtOnlineLevel3	1804056	171	10			{{1,2,1,1}}	9	12345	0	0		1		6004		{{4,3,2,1,1},{5,3,1,3,1},{4,3,1,1,1}}	{{5,6,1,2,1}}				MultiTask/RandomTest/MultTask_170															
180	永续连战	6	81	ui.TxtOnlineLevel5	1804059	180	10			{{1,2,1,1}}	11	12345	0	0		1									MultiTask/MultTask_180															
181	永续连战	6	80	ui.TxtOnlineLevel5	1804059	181	10			{{1,2,1,1}}	10	12345	0	0		1									MultiTask/MultTask_181															
182	永续连战	6	82	ui.TxtOnlineLevel5	1804059	182	10			{{1,2,1,1}}	10	12345	0	0		1									MultiTask/MultTask_182															
183	永续连战	6	83	ui.TxtOnlineLevel5	1804059	183	10			{{1,2,1,1}}	11	12345	0	0		1									MultiTask/MultTask_183															
184	DLC5永续连战184	6	84	ui.TxtOnlineLevel5	1804059	184	10			{{1,2,1,1}}	10	12345	0	0		1									MultiTask/MultTask_184															
185	DLC5永续连战185	6	85	ui.TxtOnlineLevel5	1804059	185	10			{{1,2,1,1}}	11	12345	0	0		1									MultiTask/MultTask_185															
186	DLC7永续连战186	6	88	ui.TxtOnlineLevel5	1804059	186	10			{{1,2,1,1}}	10	12345	0	0		1									MultiTask/MultTask_180															
