活动Id	备注文本	玩法名称（难度名称）	玩法类型(1普通2永续3勇者4联机boss5绝地6火线7海姆8禁区9脉冲10航海11绘梦沙盘)	分组(填外壳id)	分组名字(外层玩法名称)	难度(1普通2困难)	开放时间(周几开放 {...})	起始时间	结束时间	领奖结束时间	时间段(单位小时)	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具）	最大人数	匹配最长等待时间（秒），不填或填0则会一直等待匹配，直到人满	轮换关卡	每期增益角色轮换	增益角色按时间配置（优先用此规则，未配置时，按老的GainRole规则）	每个角色增益的百分比(100)	试用角色	场景词缀（0玩家，1怪物）	体力消耗(进入)	未正常通关返还百分比(0-1)	代币门槛(类型3{代币Id,消耗数量,每日累积最大体力,多少体力给1代币})	玩法卡面背景	玩法卡面ICON	玩法说明	玩法介绍(helpimages.txt里面id)	地图预览图	自定义数据(防守玩法时:{活动id(关联任务，没有配0),可获得积分,推荐等级}3类型:{活动id}4类型:{最大伤害,怪物等级}5类型:{BP期数(联机BP，没有配0),可获得积分,推荐等级}8类型:{BP期数(联机BP，没有配0),可获得积分,推荐等级,武器数据版本号默认1}9类型:{BP期数(联机BP，没有配0),可获得积分,推荐等级,插槽数量,收藏期数（每期不同）}10类型:{BP期数(联机BP，没有配0),推荐等级,模组期数（每期不同）,代币id} 12类型{{期数},{需要清理的货币id}}13进击行动{关联赛季id, 推荐等级})	常规隐藏(1隐藏)	单机训练关卡(5类型使用)	地区限制目前可填：{zh_CN,....},不填则无限制）	禁区协议关卡轮换时间（小时）
Id	Common	Name	Type	Group	GroupName	Diff	Date	StartTime	EndTime	AwardTime	OpenHour	Condition	MaxPlayer	MatchDuration	ResetLevel	GainRole	GainRoleTimeMode	GainRoleRate	TrialID	Buff	ConsumeVigor	ReturnVigor	Cash	BG	Icon	Intro	HelpImgId	SencesPictureID	CustomData	Hide	Training	LanguageLimit	ResetTime
1	<常驻>_区域镇压	ui.TxtOnlineEvent4	1				{1,2,3,4,5,6,7}	[202307051000]	[202602020400]				3		{{3,5},{2,4},{1,2},{3,4},{4,5},{1,3}}	{{{14,3},{10,3},{8,3},{13,2},{2,3},{12,2}},{{14,3},{10,3},{8,3},{13,2},{2,3},{7,1}},{{14,3},{10,3},{8,3},{13,2},{2,3},{3,1}},{{14,3},{10,3},{8,3},{13,2},{2,3},{8,1}},{{14,3},{5,3},{8,3},{13,2},{10,2},{8,1}},{{14,3},{5,3},{8,3},{13,2},{10,2},{8,1}},{{14,3},{10,3},{8,3},{13,2},{2,3},{16,1}}}	{15,16,17,18}	10			0	1		1803014		ui.TxtOnlineEvent5	12						
2	<DLC2>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	2	ui.TxtOnlineEvent14	1		[202309221000]	[202310090400]	[202310090400]		{{1,30}}	3		{{80}}	{{{14,2},{2,2},{8,2},{10,2},{6,2},{10,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{32,230,40}				
3	<公测>勇者游戏	ui.TxtBraveGame	3					[202308310400]	[202309100400]	[202309100400]		{{1,20}}	3		{{7}}	{{{1,2},{2,2},{8,2},{14,2},{10,2},{4,1},{10,1}}}		10			0	1	{15,1,400,200}	1803016		ui.online_boss_LevelDes	53						
4	<DLC2>永续联战-困难	ui.online_defend_difficult2	2	2	ui.TxtOnlineEvent14	2		[202309290400]	[202310090400]	[202310090400]		{{1,30}}	3		{{81}}	{{{14,2},{2,2},{8,2},{10,2},{6,2},{10,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{32,330,80}				
5	<DLC3>联机boss第1期	ui.TxtOnlineBossItem5	4					[202312010400]	[202312130400]			{{16,1600000}}	3		{{94}}						0	1		1804055		ui.TxtOnlineBossDes2			{1047398,80}	1			
6	<DLC4>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	6	ui.TxtOnlineEvent14	1		[202401041000]	[202401180400]	[202401180400]		{{1,30}}	3		{{82}}	{{{14,2},{12,2},{8,2},{17,1},{6,2},{10,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{52,200,40}				
7	<DLC4>永续联战-困难	ui.online_defend_difficult2	2	6	ui.TxtOnlineEvent14	2		[202401081000]	[202401180400]	[202401180400]		{{1,30}}	3		{{83}}	{{{14,2},{12,2},{8,2},{17,1},{6,2},{10,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{52,300,80}				
8	<DLC4>联机boss第2期	ui.TxtOnlineBossItem5	4					[202312240400]	[202401030400]			{{16,900000}}	3		{{94}}						0	1		1804055		chapter.level_des_9014			{705902,80}	1			
9	<DLC5>联机boss第3期	ui.TxtOnlineBossItem5	4					[202401260400]	[202402050400]			{{16,750000}}	3		{{94}}						0	1		1804055		chapter.level_des_9024			{484785,80}	1			
