特效ID	特效备注	特效路径	是否合批	是否全员可见（ID60之后的生效,0否1是）	Attach的骨骼点(如果Attach特效才填)
ID	Comment	path	isComposite	isMulti	AttachSocket
1		/Game/Effects/Environments/DLC11/tangdouren/e_SaveLoad_p.e_SaveLoad_p	0		
2		/Game/Effects/Environments/DLC11/tangdouren/e_Reborn_p.e_Reborn_p	0		
3		/Game/Effects/Environments/DLC11/tangdouren/e_Win_p.e_Win_p	0		
4		/Game/Effects/Environments/DLC11/tangdouren/e_Hit_ChracterQ_p.e_Hit_ChracterQ_p	0		
5		/Game/Effects/Environments/DLC11/tangdouren/e_LocateCharacter_p.e_LocateCharacter_p	0		
6		/Game/Effects/Environments/DLC11/tangdouren/e_Trampoline_p.e_Trampoline_p	0		
7		/Game/Effects/Environments/DLC11/tangdouren/e_Platform_disappear_p.e_Platform_disappear_p	0		
8		/Game/Effects/Environments/DLC11/tangdouren/e_Door_disappear_p.e_Door_disappear_p	0		
9		/Game/Effects/Environments/DLC11/tangdouren/e_RollBall_begin_p.e_RollBall_begin_p	0		
10		/Game/Effects/Environments/DLC11/tangdouren/e_RollBall_disappear_p.e_RollBall_disappear_p	0		
11		/Game/Effects/Environments/DLC11/tangdouren/e_Circle_Score_self01_p.e_Circle_Score_self01_p	0		
12		/Game/Effects/Environments/DLC11/tangdouren/e_Collection_Score_p.e_Collection_Score_p	0		
13		/Game/Effects/Environments/DLC14/tangdouren2/e_Prop_gone_P.e_Prop_gone_P'	0		
14		/Game/Effects/Environments/DLC14/tangdouren2/e_Bomb_boom_p.e_Bomb_boom_p	0		
15		/Game/Effects/Environments/DLC14/tangdouren2/e_ExtensibleHammer_p.e_ExtensibleHammer_p	0		
16		/Game/Effects/Environments/DLC14/tangdouren2/e_Zoomball_p.e_Zoomball_p	0		
17		/Game/Effects/Environments/DLC14/tangdouren2/e_Character_cover_p.e_Character_cover_p	0		
18		/Game/Effects/Environments/DLC14/tangdouren2/e_Bomb_putdown_p.e_Bomb_putdown_p	0		
19		/Game/Effects/Environments/DLC14/tangdouren2/e_Slime_p.e_Slime_p	0		
20		/Game/Effects/Environments/DLC14/tangdouren2/e_Slime_02_p.e_Slime_02_p	0		
21		/Game/Effects/Environments/DLC14/tangdouren2/e_Character_rush_p.e_Character_rush_p	0		
22		/Game/Effects/Environments/DLC14/tangdouren2/e_Character_collisions_p.e_Character_collisions_p	0		
23		/Game/Effects/Environments/DLC36/tandouren2/e_arrowpoint_q_p.e_arrowpoint_q_p	0		
24		/Game/Effects/Environments/DLC27/tangdouren/e_transport_p.e_transport_p	0		
25		/Game/Effects/Environments/DLC27/tangdouren/e_uncover_p.e_uncover_p	0		
26		/Game/Effects/Environments/DLC27/tangdouren/e_boomrange_p.e_boomrange_p	0		
27		/Game/Effects/Environments/DLC27/tangdouren/e_catch_p.e_catch_p	0		
28		/Game/Effects/Environments/DLC11/tangdouren/e_girl_q_jump_p.e_girl_q_jump_p	0		
29		/Game/Effects/Environments/DLC32/Zbug/e_wp003q_hit11_composite_p.e_wp003q_hit11_composite_p	0		
30		/Game/Effects/Environments/DLC32/Zbug/e_Zbug_p.e_Zbug_p	0		
31		/Game/Effects/Environments/DLC32/Zbug/e_Hero_p.e_Hero_p	0		
32		/Game/Effects/Environments/DLC32/Zbug/e_wp001q_hit11_composite_p.e_wp001q_hit11_composite_p	1		
33		/Game/Effects/Environments/DLC32/Zbug/e_wp001q_gunfire01_p.e_wp001q_gunfire01_p	0		Fire_socket
34		/Game/Effects/Environments/DLC32/Zbug/e_wp002q_hit11_composite_p.e_wp002q_hit11_composite_p	1		
35		/Game/Effects/Environments/DLC32/Zbug/e_wp002q_gunfire01_p.e_wp002q_gunfire01_p	0		Fire_socket
36		/Game/Effects/Environments/DLC32/Zbug/e_wp003q_gunfire01_p.e_wp003q_gunfire01_p	0		Fire_socket
37		/Game/Effects/Environments/DLC32/Zbug/e_wp003q_hit11_composite_p.e_wp003q_hit11_composite_p	1		
38		/Game/Effects/Environments/DLC32/Zbug/e_TurnZbug_p.e_TurnZbug_p	0		
39		/Game/Effects/Environments/DLC32/Zbug/e_ZbugReborn_p.e_ZbugReborn_p	0		
40		/Game/Effects/Environments/DLC32/Zbug/e_LevelUp_Q_p.e_LevelUp_Q_p	0		
41		/Game/Effects/Environments/DLC32/Zbug/e_FeatherJump_p.e_FeatherJump_p	0		
42		/Game/Effects/Environments/DLC32/Zbug/e_Lurk_p.e_Lurk_p	0		
43		/Game/Effects/Environments/DLC32/Zbug/e_ZbugBoom_p.e_ZbugBoom_p	0		
44		/Game/Effects/Environments/DLC32/Zbug/e_nSpeedUp_03_p.e_nSpeedUp_03_p	0		
45		/Game/Effects/Environments/DLC32/Zbug/e_nSpeedUp_02_p.e_nSpeedUp_02_p	0		
