等级	升级到下一级需要的经验	体力上限	升到此等级后赠送体力字段	好友上限	升到此等级后赠送体力字段
Level	MaxExp	MaxVigor	GainVigor	MaxFriends	GiftItems
1	6	240	240	60	
2	6	240		60	
3	6	240		60	
4	12	240		60	
5	33	240		60	{{4,2,1,3,1}}
6	34	240		70	
7	35	240		70	{{4,2,1,3,1}}
8	42	240		70	
9	47	240		70	{{4,2,1,3,1}}
10	55	240		70	
11	61	240		80	{{4,2,1,3,1}}
12	68	240		80	
13	75	240		80	{{4,2,1,3,1}}
14	83	240		80	
15	90	240		80	{{4,2,1,3,1}}
16	95	240		90	{{4,2,1,3,1}}
17	100	240		90	{{4,2,1,3,1}}
18	105	240		90	{{4,2,1,3,1}}
19	110	240		90	{{4,2,1,3,1}}
20	115	240		90	{{4,2,1,3,1}}
21	115	240		100	{{4,2,1,3,1}}
22	115	240		100	{{4,2,1,3,1}}
23	115	240		100	{{4,2,1,3,1}}
24	115	240		100	{{4,2,1,3,1}}
25	120	240		100	{{4,2,1,3,1}}
26	120	240		110	{{4,2,1,3,1}}
27	120	240		110	{{4,2,1,3,1}}
28	120	240		110	{{4,2,1,3,1}}
29	120	240		110	{{4,2,1,3,1}}
30	125	240		110	{{4,2,1,3,1}}
31	130	240		120	{{4,2,1,3,1}}
32	135	240		120	{{4,2,1,3,1}}
33	140	240		120	{{4,2,1,3,1}}
34	145	240		120	{{4,2,1,3,1}}
35	150	240		120	{{4,2,1,3,1}}
36	155	240		120	{{4,2,1,3,1}}
37	160	240		120	{{4,2,1,3,1}}
38	165	240		120	{{4,2,1,3,1}}
39	180	240		120	{{4,2,1,3,1}}
40	280	240		120	{{4,2,1,3,1}}
41	320	240		130	{{4,2,1,3,1}}
42	360	240		130	{{4,2,1,3,1}}
43	400	240		130	{{4,2,1,3,1}}
44	440	240		130	{{4,2,1,3,1}}
45	480	240		130	{{4,2,1,3,1}}
46	520	240		130	{{4,2,1,3,1}}
47	560	240		130	{{4,2,1,3,1}}
48	600	240		130	{{4,2,1,3,1}}
49	640	240		130	{{4,2,1,3,1}}
50	640	240		130	{{4,2,1,3,1}}
51	670	240		140	{{4,2,1,3,1}}
52	700	240		140	{{4,2,1,3,1}}
53	730	240		140	{{4,2,1,3,1}}
54	750	240		140	{{4,2,1,3,1}}
55	780	240		140	{{4,2,1,3,1}}
56	850	240		140	{{4,2,1,3,1}}
57	900	240		140	{{4,2,1,3,1}}
58	950	240		140	{{4,2,1,3,1}}
59	1000	240		140	{{4,2,1,3,1}}
60	1050	240		140	{{4,2,1,3,1}}
61	1100	240		150	{{4,2,1,3,1}}
62	1150	240		150	{{4,2,1,3,1}}
63	1200	240		150	{{4,2,1,3,1}}
64	1250	240		150	{{4,2,1,3,1}}
65	1300	240		150	{{4,2,1,3,1}}
66	1350	240		150	{{4,2,1,3,1}}
67	1400	240		150	{{4,2,1,3,1}}
68	1450	240		150	{{4,2,1,3,1}}
69	1500	240		150	{{4,2,1,3,1}}
70	1600	240		150	{{4,2,1,3,1}}
71	1700	240		150	{{4,2,1,3,1}}
72	1800	240		150	{{4,2,1,3,1}}
73	1900	240		150	{{4,2,1,3,1}}
74	2000	240		150	{{4,2,1,3,1}}
75	2100	240		150	{{4,2,1,3,1}}
76	2200	240		150	{{4,2,1,3,1}}
77	2300	240		150	{{4,2,1,3,1}}
78	2400	240		150	{{4,2,1,3,1}}
79	2500	240		150	{{4,2,1,3,1}}
80	3200	240		150	{{4,2,1,3,1}}
81	3400	240		150	{{4,2,1,3,1}}
82	3600	240		150	{{4,2,1,3,1}}
83	3800	240		150	{{4,2,1,3,1}}
84	4000	240		150	{{4,2,1,3,1}}
85	4200	240		150	{{4,2,1,3,1}}
86	4400	240		150	{{4,2,1,3,1}}
87	4600	240		150	{{4,2,1,3,1}}
88	4800	240		150	{{4,2,1,3,1}}
89	5000	240		150	{{4,2,1,3,1}}
90	5500	240		150	{{4,2,1,3,1}}
91	6000	240		150	{{4,2,1,3,1}}
92	6500	240		150	{{4,2,1,3,1}}
93	7000	240		150	{{4,2,1,3,1}}
94	7500	240		150	{{4,2,1,3,1}}
95	8000	240		150	{{4,2,1,3,1}}
96	8500	240		150	{{4,2,1,3,1}}
97	9000	240		150	{{4,2,1,3,1}}
98	9500	240		150	{{4,2,1,3,1}}
99	10000	240		150	{{4,2,1,3,1}}
100	 - 	240		150	{{4,2,1,3,1}}
