riki表种的ID	语音顺序	Voices_wwise表中的ID	备注	角色音频ID	UI表中的key	备注2	角色形态
rikiID	index	VoiceID	remark	CharacterID	UIkey	remark2	Characterform
5003	1	rikienterlevel1	战斗开始1	110201	ui.RikiskinSound10	宵宴绯盏	
5003	2	rikienterlevel2	战斗开始2	110201	ui.RikiskinSound11	宵宴绯盏	
5003	3	rikiwin1	战斗胜利1	110201	ui.RikiskinSound12	宵宴绯盏	
5003	4	rikiwin2	战斗胜利2	110201	ui.RikiskinSound13	宵宴绯盏	
5003	5	rikimain001	看板娘展示1	110201	ui.RikiskinSound3	宵宴绯盏	
5003	6	rikimain002	看板娘展示2	110201	ui.RikiskinSound4	宵宴绯盏	
5003	7	rikimain003	看板娘展示3	110201	ui.RikiskinSound5	宵宴绯盏	
5003	8	rikimain101	看板娘展示4	110201	ui.RikiskinSound6	宵宴绯盏	
5003	9	rikimain201	看板娘展示5	110201	ui.RikiskinSound7	宵宴绯盏	
							
							
							
							
5005	1	rikienterlevel1	战斗开始1	110401	ui.RikiskinSound10	行疾脱兔	
5005	3	rikiwin1	战斗胜利1	110401	ui.RikiskinSound12	行疾脱兔	
5005	4	rikiwin2	战斗胜利2	110401	ui.RikiskinSound13	行疾脱兔	
5005	6	rikimain002	看板娘展示2	110401	ui.RikiskinSound4	行疾脱兔	
5005	7	rikimain003	看板娘展示3	110401	ui.RikiskinSound5	行疾脱兔	
5005	8	rikimain101	看板娘展示4	110401	ui.RikiskinSound6	行疾脱兔	
5005	9	rikimain201	看板娘展示5	110401	ui.RikiskinSound7	行疾脱兔	
							
							
5007	3	rikiwin1	战斗胜利1	110601	ui.RikiskinSound12	凛冽冬花	
5007	4	rikiwin2	战斗胜利2	110601	ui.RikiskinSound13	凛冽冬花	
5007	5	rikimain001	看板娘展示1	110601	ui.RikiskinSound3	凛冽冬花	
5007	6	rikimain002	看板娘展示2	110601	ui.RikiskinSound4	凛冽冬花	
5007	7	rikimain003	看板娘展示3	110601	ui.RikiskinSound5	凛冽冬花	
5007	8	rikimain101	看板娘展示4	110601	ui.RikiskinSound6	凛冽冬花	
5007	9	rikimain201	看板娘展示5	110601	ui.RikiskinSound7	凛冽冬花	
							
							
							
							
							
							
							
							
							
5013	3	rikiwin1	战斗胜利1	101101	ui.RikiskinSound12	情迷炎日	
5013	4	rikiwin2	战斗胜利2	101101	ui.RikiskinSound13	情迷炎日	
5013	5	rikimain001	看板娘展示1	101101	ui.RikiskinSound3	情迷炎日	
5013	6	rikimain002	看板娘展示2	101101	ui.RikiskinSound4	情迷炎日	
5013	7	rikimain003	看板娘展示3	101101	ui.RikiskinSound5	情迷炎日	
5013	8	rikimain101	看板娘展示4	101101	ui.RikiskinSound6	情迷炎日	
5013	9	rikimain201	看板娘展示5	101101	ui.RikiskinSound7	情迷炎日	
							
							
5014	5	rikimain001	看板娘展示1	101201	ui.RikiskinSound3	魂灵缚痕	
5014	6	rikimain002	看板娘展示2	101201	ui.RikiskinSound4	魂灵缚痕	
5014	7	rikimain003	看板娘展示3	101201	ui.RikiskinSound5	魂灵缚痕	
							
							
5015	1	rikienterlevel1	战斗开始1	111201	ui.RikiskinSound10	灼阳假期	
5015	2	rikienterlevel2	战斗开始2	111201	ui.RikiskinSound11	灼阳假期	
5015	3	rikiwin1	战斗胜利1	111201	ui.RikiskinSound12	灼阳假期	
5015	4	rikiwin2	战斗胜利2	111201	ui.RikiskinSound13	灼阳假期	
5015	5	rikimain001	看板娘展示1	111201	ui.RikiskinSound3	灼阳假期	
5015	6	rikimain002	看板娘展示2	111201	ui.RikiskinSound4	灼阳假期	
5015	7	rikimain003	看板娘展示3	111201	ui.RikiskinSound5	灼阳假期	
5015	8	rikimain101	看板娘展示4	111201	ui.RikiskinSound6	灼阳假期	
5015	9	rikimain201	看板娘展示5	111201	ui.RikiskinSound7	灼阳假期	
							
							
							
							
5017	1	rikienterlevel1	战斗开始1	111401	ui.RikiskinSound10	波光倩影	
5017	2	rikienterlevel2	战斗开始2	111401	ui.RikiskinSound11	波光倩影	
5017	3	rikiwin1	战斗胜利1	111401	ui.RikiskinSound12	波光倩影	
5017	5	rikimain001	看板娘展示1	111401	ui.RikiskinSound3	波光倩影	
5017	6	rikimain002	看板娘展示2	111401	ui.RikiskinSound4	波光倩影	
5017	7	rikimain003	看板娘展示3	111401	ui.RikiskinSound5	波光倩影	
5017	8	rikimain101	看板娘展示4	111401	ui.RikiskinSound6	波光倩影	
5017	9	rikimain201	看板娘展示5	111401	ui.RikiskinSound7	波光倩影	
							
							
5019	3	rikiwin1	战斗胜利1	110202	ui.RikiskinSound12	霜舞盛典	
5019	4	rikiwin2	战斗胜利2	110202	ui.RikiskinSound13	霜舞盛典	
5019	5	rikimain001	看板娘展示1	110202	ui.RikiskinSound3	霜舞盛典	
5019	6	rikimain002	看板娘展示2	110202	ui.RikiskinSound4	霜舞盛典	
5019	7	rikimain003	看板娘展示3	110202	ui.RikiskinSound5	霜舞盛典	
5019	8	rikimain101	看板娘展示4	110202	ui.RikiskinSound6	霜舞盛典	
5019	9	rikimain201	看板娘展示5	110202	ui.RikiskinSound7	霜舞盛典	
							
							
							
							
5020	3	rikiwin1	战斗胜利1	110801	ui.RikiskinSound12	初晴金雪	
5020	4	rikiwin2	战斗胜利2	110801	ui.RikiskinSound13	初晴金雪	
5020	5	rikimain001	看板娘展示1	110801	ui.RikiskinSound3	初晴金雪	
5020	6	rikimain002	看板娘展示2	110801	ui.RikiskinSound4	初晴金雪	
5020	7	rikimain003	看板娘展示3	110801	ui.RikiskinSound5	初晴金雪	
5020	8	rikimain101	看板娘展示4	110801	ui.RikiskinSound6	初晴金雪	
5020	9	rikimain201	看板娘展示5	110801	ui.RikiskinSound7	初晴金雪	
							
							
							
							
5018	1	rikienterlevel1	战斗开始1	101701	ui.RikiskinSound10	流放欢愉	
5018	2	rikienterlevel2	战斗开始2	101701	ui.RikiskinSound11	流放欢愉	
5018	3	rikiwin1	战斗胜利1	101701	ui.RikiskinSound12	流放欢愉	
5018	4	rikiwin2	战斗胜利2	101701	ui.RikiskinSound13	流放欢愉	
5018	5	rikimain001	看板娘展示1	101701	ui.RikiskinSound3	流放欢愉	
5018	6	rikimain002	看板娘展示2	101701	ui.RikiskinSound4	流放欢愉	
5018	7	rikimain003	看板娘展示3	101701	ui.RikiskinSound5	流放欢愉	
5018	8	rikimain101	看板娘展示4	101701	ui.RikiskinSound6	流放欢愉	
5018	9	rikimain201	看板娘展示5	101701	ui.RikiskinSound7	流放欢愉	
							
							
							
							
5022	1	rikienterlevel1	战斗开始1	101501	ui.RikiskinSound10	远曲独舞	
5022	2	rikienterlevel2	战斗开始2	101501	ui.RikiskinSound11	远曲独舞	
5022	3	rikiwin1	战斗胜利1	101501	ui.RikiskinSound12	远曲独舞	
5022	4	rikiwin2	战斗胜利2	101501	ui.RikiskinSound13	远曲独舞	
5022	5	rikimain001	看板娘展示1	101501	ui.RikiskinSound3	远曲独舞	
5022	6	rikimain002	看板娘展示2	101501	ui.RikiskinSound4	远曲独舞	
5022	7	rikimain003	看板娘展示3	101501	ui.RikiskinSound5	远曲独舞	
5022	8	rikimain101	看板娘展示4	101501	ui.RikiskinSound6	远曲独舞	
5022	9	rikimain201	看板娘展示5	101501	ui.RikiskinSound7	远曲独舞	
							
							
							
							
5023	3	rikiwin1	战斗胜利1	110402	ui.RikiskinSound12	狂曲雅跃	
5023	4	rikiwin2	战斗胜利2	110402	ui.RikiskinSound13	狂曲雅跃	
5023	6	rikimain002	看板娘展示2	110402	ui.RikiskinSound4	狂曲雅跃	
5023	7	rikimain003	看板娘展示3	110402	ui.RikiskinSound5	狂曲雅跃	
5023	8	rikimain101	看板娘展示4	110402	ui.RikiskinSound6	狂曲雅跃	
5023	9	rikimain201	看板娘展示5	110402	ui.RikiskinSound7	狂曲雅跃	
							
							
							
							
5026	1	rikienterlevel1	战斗开始1	110102	ui.RikiskinSound10	东流映荷	
5026	2	rikienterlevel2	战斗开始2	110102	ui.RikiskinSound11	东流映荷	
5026	3	rikiwin1	战斗胜利1	110102	ui.RikiskinSound12	东流映荷	
5026	4	rikiwin2	战斗胜利2	110102	ui.RikiskinSound13	东流映荷	
5026	5	rikimain001	看板娘展示1	110102	ui.RikiskinSound3	东流映荷	
5026	6	rikimain002	看板娘展示2	110102	ui.RikiskinSound4	东流映荷	
5026	7	rikimain003	看板娘展示3	110102	ui.RikiskinSound5	东流映荷	
5026	8	rikimain101	看板娘展示4	110102	ui.RikiskinSound6	东流映荷	
5026	9	rikimain201	看板娘展示5	110102	ui.RikiskinSound7	东流映荷	
							
							
							
							
5029	3	rikiwin1	战斗胜利1	101601	ui.RikiskinSound12	迟到花蕾	
5029	4	rikiwin2	战斗胜利2	101601	ui.RikiskinSound13	迟到花蕾	
5029	1	rikienterlevel1	战斗开始1	101601	ui.RikiskinSound10	迟到花蕾	
5029	2	rikienterlevel2	战斗开始2	101601	ui.RikiskinSound11	迟到花蕾	
5029	5	rikimain001	看板娘展示1	101601	ui.RikiskinSound3	迟到花蕾	
5029	6	rikimain002	看板娘展示2	101601	ui.RikiskinSound4	迟到花蕾	
5029	7	rikimain003	看板娘展示3	101601	ui.RikiskinSound5	迟到花蕾	
5029	8	rikimain101	看板娘展示4	101601	ui.RikiskinSound6	迟到花蕾	
5029	9	rikimain201	看板娘展示5	101601	ui.RikiskinSound7	迟到花蕾	
							
							
							
							
5028	3	rikiwin1	战斗胜利1	110803	ui.RikiskinSound12	甜蜜统治	
5028	4	rikiwin2	战斗胜利2	110803	ui.RikiskinSound13	甜蜜统治	
5028	1	rikienterlevel1	战斗开始1	110803	ui.RikiskinSound10	甜蜜统治	
