riki表种的ID	语音顺序	Voices_wwise表中的ID	备注1	角色ID	UI表中的key	角色形态
rikiID	index	VoiceID	remark	CharacterID	UIkey	Characterform
1011	1	main001	登陆	1001	ui.RikiRoleSound1	
1011	2	gacha	抽卡	1001	ui.RikiRoleSound2	
1011	3	main002	看板娘展示1	1001	ui.RikiRoleSound3	
1011	4	main003	看板娘展示2	1001	ui.RikiRoleSound4	
1011	5	rikienterlevel1	战斗开始1	1001	ui.RikiRoleSound5_1	
1011	6	rikienterlevel2	战斗开始2	1001	ui.RikiRoleSound5_2	
1011	7	rikiwin1	战斗胜利1	1001	ui.RikiRoleSound6_1	
1011	8	rikiwin2	战斗胜利2	1001	ui.RikiRoleSound6_2	
1011	9	lose	战斗失败	1001	ui.RikiRoleSound7	
1011	12	skill04	连携技/QTE	1001	ui.RikiRoleSound13	
1011	13	skill03	大招	1001	ui.RikiRoleSound14	
1011	14	reload	换弹	1001	ui.RikiRoleSound15	
1011	15	touch	场景交互	1001	ui.RikiRoleSound16	
1011	16	taskfinish	报告阶段目标达成	1001	ui.RikiRoleSound17	
1011	23	rikiexchange1	人物切换登场	1001	ui.RikiRoleSound24	
1011	18	wavelittle	少量敌人出现	1001	ui.RikiRoleSound19	
1011	19	wavemany	大量敌人出现	1001	ui.RikiRoleSound20	
1011	20	killmonster001	消灭普通敌人	1001	ui.RikiRoleSound21	
1011	21	killmonster002	消灭精英敌人	1001	ui.RikiRoleSound22	
1011	22	killmonster003	消灭boss	1001	ui.RikiRoleSound23	
1011	24	rikiexchange2	人物切换登场	1001	ui.RikiRoleSound25	
1012	1	main099	登陆	1101	ui.RikiRoleSound1	
1012	2	gacha	抽卡	1101	ui.RikiRoleSound2	
1012	3	main001	看板娘展示1	1101	ui.RikiRoleSound3	
1012	4	rikimain002	看板娘展示2	1101	ui.RikiRoleSound4	
1012	5	main101	看板娘展示3	1101	ui.RikiRoleSound9	
1012	6	main201	看板娘展示4	1101	ui.RikiRoleSound10	
1012	7	rikienterlevel1	战斗开始1	1101	ui.RikiRoleSound5_1	
1012	8	rikienterlevel2	战斗开始2	1101	ui.RikiRoleSound5_2	
1012	9	rikiwin1	战斗胜利1	1101	ui.RikiRoleSound6_1	
1012	10	rikiwin2	战斗胜利2	1101	ui.RikiRoleSound6_2	
1012	11	lose	战斗失败	1101	ui.RikiRoleSound7	
1012	12	skill04	连携技/QTE	1101	ui.RikiRoleSound13	
1012	13	skill03	大招	1101	ui.RikiRoleSound14	
1012	14	reload	换弹	1101	ui.RikiRoleSound15	
1012	15	touch	场景交互	1101	ui.RikiRoleSound16	
1012	16	taskfinish	报告阶段目标达成	1101	ui.RikiRoleSound17	
1012	23	rikiexchange1	人物切换登场	1101	ui.RikiRoleSound24	
1012	18	wavelittle	少量敌人出现	1101	ui.RikiRoleSound19	
1012	19	wavemany	大量敌人出现	1101	ui.RikiRoleSound20	
1012	20	killmonster001	消灭普通敌人	1101	ui.RikiRoleSound21	
1012	21	killmonster002	消灭精英敌人	1101	ui.RikiRoleSound22	
1012	22	killmonster003	消灭boss	1101	ui.RikiRoleSound23	
1012	24	rikiexchange2	人物切换登场	1101	ui.RikiRoleSound25	
1021	1	main003	登陆	1002	ui.RikiRoleSound1	
1021	2	gacha	抽卡	1002	ui.RikiRoleSound2	
1021	3	main001	看板娘展示1	1002	ui.RikiRoleSound3	
1021	4	main002	看板娘展示2	1002	ui.RikiRoleSound4	
1021	5	rikienterlevel1	战斗开始1	1002	ui.RikiRoleSound5_1	
1021	6	rikienterlevel2	战斗开始2	1002	ui.RikiRoleSound5_2	
1021	7	rikiwin1	战斗胜利1	1002	ui.RikiRoleSound6_1	
1021	8	rikiwin2	战斗胜利2	1002	ui.RikiRoleSound6_2	
1021	9	lose	战斗失败	1002	ui.RikiRoleSound7	
1021	12	skill04	连携技/QTE	1002	ui.RikiRoleSound13	
1021	13	skill03	大招	1002	ui.RikiRoleSound14	
1021	14	reload	换弹	1002	ui.RikiRoleSound15	
1021	15	touch	场景交互	1002	ui.RikiRoleSound16	
1021	16	taskfinish	报告阶段目标达成	1002	ui.RikiRoleSound17	
1021	23	rikiexchange1	人物切换登场	1002	ui.RikiRoleSound24	
1021	18	wavelittle	少量敌人出现	1002	ui.RikiRoleSound19	
1021	19	wavemany	大量敌人出现	1002	ui.RikiRoleSound20	
1021	20	killmonster001	消灭普通敌人	1002	ui.RikiRoleSound21	
1021	21	killmonster002	消灭精英敌人	1002	ui.RikiRoleSound22	
1021	22	killmonster003	消灭boss	1002	ui.RikiRoleSound23	
1021	24	rikiexchange2	人物切换登场	1002	ui.RikiRoleSound25	
1022	1	main099	登陆	1102	ui.RikiRoleSound1	
1022	2	gacha	抽卡	1102	ui.RikiRoleSound2	
1022	3	main001	看板娘展示1	1102	ui.RikiRoleSound3	
1022	4	main003	看板娘展示2	1102	ui.RikiRoleSound4	
1022	5	rikienterlevel1	战斗开始1	1102	ui.RikiRoleSound5_1	
1022	6	rikienterlevel2	战斗开始2	1102	ui.RikiRoleSound5_2	
1022	7	rikiwin1	战斗胜利1	1102	ui.RikiRoleSound6_1	
1022	8	rikiwin2	战斗胜利2	1102	ui.RikiRoleSound6_2	
1022	9	lose	战斗失败	1102	ui.RikiRoleSound7	
1022	12	skill04	连携技/QTE	1102	ui.RikiRoleSound13	
1022	13	skill03	大招	1102	ui.RikiRoleSound14	
1022	14	reload	换弹	1102	ui.RikiRoleSound15	
1022	15	touch	场景交互	1102	ui.RikiRoleSound16	
1022	16	taskfinish	报告阶段目标达成	1102	ui.RikiRoleSound17	
1022	23	rikiexchange1	人物切换登场	1102	ui.RikiRoleSound24	
1022	18	wavelittle	少量敌人出现	1102	ui.RikiRoleSound19	
1022	19	wavemany	大量敌人出现	1102	ui.RikiRoleSound20	
1022	20	killmonster001	消灭普通敌人	1102	ui.RikiRoleSound21	
1022	21	killmonster002	消灭精英敌人	1102	ui.RikiRoleSound22	
1022	22	killmonster003	消灭boss	1102	ui.RikiRoleSound23	
1022	24	rikiexchange2	人物切换登场	1102	ui.RikiRoleSound25	
1023	1	rikimain001	登陆	1202	ui.RikiRoleSound1	
