mapid	结算关卡名（关联路径\T\Content\Blueprints\LevelTask\Level\SeqLevel）	备注列	角色id																																																																																																																																																																							
Id	SeqLevel	Null	girl001	girl001_02	girl001_03	girl001a	girl001a_02	girl001a_03	girl001b	girl001b_02	girl002	girl002_02	girl002_03	girl002_04	girl002a	girl002a_02	girl002a_03	girl002a_04	girl002b	girl002b_02	girl002b_03	girl003	girl003a	girl003a_02	girl004	girl004_02	girl004_04	girl004_05	girl004_06	girl004a	girl004a_02	girl004a_03	girl004b	girl004b_02	girl004b_03	girl004b_04	girl004c	girl004c_02	girl005	girl005a	girl005a_02	girl005a_03	girl005b	girl005b_02	girl005b_03	girl005b_04	girl005c	girl005c_02	girl006	girl006_02	girl006a	girl006a_02	girl006a_03	girl006b	girl006b_02	girl006b_03	girl007	girl007a	girl007a_02	girl007a_04	girl007a_05	girl008	girl008_02	girl008_03	girl008_05	girl008a	girl008a_02	girl008a_03	girl008a_04	girl008a_05	girl008b	girl008b_02	girl008b_03	girl008b_04	girl008b_05	girl008c	girl008c_02	girl008c_03	girl008c_04	girl010	girl010_02	girl010_03	girl010_04	girl010a	girl010a_02	girl010a_03	girl010a_04	girl010b	girl010b_02	girl010b_04	girl011	girl011_02	girl011_03	girl011a	girl011a_02	girl011a_03	girl011a_04	girl011b	girl011b_02	girl011b_03	girl011b_04	girl012	girl012_02	girl012a	girl012a_02	girl012a_03	girl012b	girl012b_02	girl013	girl013_03	girl013a	girl013a_02	girl013a_03	girl013a_04	girl013a_05	girl013b	girl013b_02	girl013b_03	girl014	girl014_02	girl014a	girl014a_02	girl014a_03	girl014a_04	girl014b	girl014b_02	girl014b_03	girl014b_04	girl015	girl015_02	girl015_03	girl015_04	girl015_05	girl015_06	girl015a	girl015a_02	girl015a_03	girl015a_04	girl015b	girl015b_02	girl015b_03	girl016	girl016_02	girl016_03	girl016_04	girl017	girl017_02	girl017_04	girl017a	girl017a_02	girl018	girl018_02	girl018_03	girl018a	girl018a_02	girl018a_03	girl020	girl020a	girl020a_02	girl020_02	girl020_03	girl021	girl021_02	girl021_03	girl021_04	girl023	girl023_02	girl023_03	girl024	girl024_02
10100	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10101	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10102	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10103	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10104	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10105	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10106	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10107	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10108	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10109	area01_seq_1		2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
