UI名称	注释	资源路径	层级	显示优先级	类型(0、Stack 1、Child 2、Top)	界面背景音乐	Child类型打开其他Child时是否隐藏(默认1)	界面打开音效【主界面格式为 （首次音效ID|重复进入音效ID），只有一个音效默认只配一个ID】
Name	Comment	UIWidgetClass	Order	Priority	Type	Music	HideOnOpenOther	Sound
OpenHouseThrow	沙滩游戏主界面	/Game/UI/UMG/Throw/umg_throw_main.umg_throw_main_C	0	-1	0		1	
HouseThrowAnim	沙滩游戏Anim	/Game/UI/UMG/Throw/umg_throw_anim.umg_throw_anim_C	0	-1	0		1	
HouseThrowAnim1	沙滩游戏Anim1	/Game/UI/UMG/Throw/umg_throw_anim01.umg_throw_anim01_C	-1	-1	1		0	
HouseThrowselected	沙滩游戏选择食材	/Game/UI/UMG/Throw/umg_throw_selected.umg_throw_selected_C	0	-1	0		1	
HouseThrowInteract	沙滩游戏游玩	/Game/UI/UMG/Throw/umg_throw_interact.umg_throw_interact_C	0	-1	0		1	
HouseThrowTips	沙滩游戏提示	/Game/UI/UMG/Throw/umg_throw_tip.umg_throw_tip_C	0	-1	0		1	
HouseThrowSettlement	沙滩游戏结算	/Game/UI/UMG/Throw/umg_throw_settlement.umg_throw_settlement_C	0	-1	0		1	
HouseThrowRiki	沙滩游戏图鉴界面	/Game/UI/UMG/Throw/umg_throw_riki.umg_throw_riki_C	0	-1	0		1	
HouseThrowLoading	沙滩游戏转场过度界面	/Game/UI/UMG/Throw/umg_throw_loading.umg_throw_loading_C	0	-1	0		1	
HouseThrowReward	沙滩游戏奖励界面	/Game/UI/UMG/Throw/umg_throw_reward.umg_throw_reward_C	0	-1	0		1	
HouseMaskWithInOut	宿舍新通用黑屏	/Game/UI/UMG/Dorm/Widgets/umg_dorm_mask_inout.umg_dorm_mask_inout_C	100	1000	2		1	
Dlc32Main	DLC32主界面	/Game/UI/UMG/DLC32/umg_dlc32_main.umg_dlc32_main_C	0	-1	0	BGM|UI|DLC32_Theme	1	
Dlc32Mission	DLC32任务	/Game/UI/UMG/DLC32/umg_dlc32_mission.umg_dlc32_mission_C	0	-1	0		1	
Dlc32Refresh	DLC32复刷	/Game/UI/UMG/DLC32/umg_dlc32_refresh.umg_dlc32_refresh_C	0	-1	0		1	
Dlc32Shop	DLC32商店	/Game/UI/UMG/DLC32/umg_dlc32_shop.umg_dlc32_shop_C	0	-1	0		1	
Dlc32Story	DLC32主线	/Game/UI/UMG/DLC32/umg_dlc32_story.umg_dlc32_story_C	0	-1	0	BGM|UI|DLC32_Theme	1	
Dlc32StoryAward	DLC32主线奖励	/Game/UI/UMG/DLC32/umg_dlc32_award.umg_dlc32_award_C	0	-1	1		1	
